match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_accurateOppositionHalfPasses,stat_totalCross,stat_accurateCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_dispossessed,stat_totalContest,stat_wonContest,stat_blockedScoringAttempt,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_fouls,stat_keyPass,captain,stat_aerialLost,stat_clearanceOffLine,stat_outfielderBlock,stat_wasFouled,stat_bigChanceCreated,stat_challengeLost,stat_unsuccessfulTouch,stat_goalAssist,stat_totalOffside,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_goals,stat_bigChanceMissed,stat_hitWoodwork
10385360,home,Manchester United,David De Gea,,,david-de-gea,D. De Gea,G,43,192,23723,M,d_degea,69378,EUR,657936000,G,1,1,False,32.0,24.0,11.0,3.0,24.0,24.0,8.0,2.0,4.0,1.0,4.0,1.0,1.0,1.0,90.0,38.0,7.9,8.0,0.0,0.0,5.186e-05,0,0.8401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10385360,home,Manchester United,Diogo Dalot,,,diogo-dalot,D. Dalot,M,2,184,22996,M,DDalot,843200,EUR,921715200,D,20,20,False,31.0,24.0,4.0,4.0,14.0,18.0,17.0,5.0,5.0,,,,,,90.0,59.0,8.2,11.0,0.0303,0.0,0.0894244,1,,12.0,4.0,2.0,2.0,2.0,7.0,1.0,1.0,1.0,1.0,3.0,4.0,4.0,1.0,4.0,,,,,,,,,,,,,,,
10385360,home,Manchester United,Harry Maguire,,,harry-maguire,H. Maguire,D,5,194,28057,M,harrymaguire93,149380,EUR,731289600,D,5,5,False,51.0,42.0,5.0,1.0,33.0,33.0,18.0,8.0,,,,,,,90.0,65.0,7.9,10.0,0.0,0.0,0.00339332,0,,9.0,,,2.0,2.0,3.0,,1.0,,,,1.0,,,,True,1.0,1.0,3.0,,,,,,,,,,,
10385360,home,Manchester United,Lisandro Martínez,,,lisandro-martinez,L. Martínez,D,6,175,51689,M,LichaMartínez,859999,EUR,885081600,D,6,6,False,65.0,60.0,3.0,1.0,40.0,41.0,24.0,3.0,3.0,,,,,,90.0,81.0,7.9,6.0,0.0,0.0,0.0253788,0,,20.0,,,1.0,2.0,5.0,,1.0,1.0,,1.0,2.0,1.0,,,,2.0,,4.0,1.0,,,,,,,,,,
10385360,home,Manchester United,Luke Shaw,,,luke-shaw,L. Shaw,D,23,178,17970,M,lukeshaw23,190839,EUR,805507200,D,23,23,False,46.0,38.0,,,14.0,15.0,36.0,1.0,5.0,,,,,,90.0,66.0,7.3,15.0,0.0,0.0,0.133567,0,,25.0,5.0,1.0,3.0,7.0,7.0,1.0,2.0,,,,3.0,2.0,3.0,2.0,,1.0,,,1.0,1.0,,,,,,,,,
10385360,home,Manchester United,Casemiro,,,casemiro,Casemiro,M,18,185,86039,M,Casemiro,122951,EUR,698803200,M,18,18,False,64.0,52.0,10.0,5.0,26.0,30.0,35.0,4.0,9.0,,,,,,90.0,79.0,7.1,15.0,0.0,0.0,0.035975,0,,26.0,1.0,,4.0,6.0,8.0,,1.0,1.0,,1.0,2.0,2.0,4.0,1.0,,1.0,,,1.0,,1.0,2.0,,,,,,,
10385360,home,Manchester United,Christian Eriksen,,,christian-eriksen,C. Eriksen,M,24,182,20866,M,chriseriksen8,105734,EUR,698025600,M,14,14,False,74.0,60.0,6.0,4.0,21.0,25.0,54.0,2.0,11.0,,,,,,79.0,85.0,7.8,19.0,0.0,0.0,0.549481,0,,41.0,5.0,2.0,,2.0,1.0,1.0,,,,1.0,1.0,1.0,,3.0,,1.0,,,,1.0,,1.0,1.0,1.0,,,,,
10385360,home,Manchester United,Anthony Elanga,,,anthony-elanga,A. Elanga,M,20,178,10434,M,anthonyelanga,979232,EUR,1019865600,M,36,36,False,13.0,11.0,,,5.0,6.0,7.0,,2.0,,,,,,61.0,23.0,6.5,4.0,0.0904,0.0,0.00539533,2,,6.0,,,,3.0,,1.0,,,,,,,,,,2.0,,,,,,,,,2.0,,,,
10385360,home,Manchester United,Bruno Fernandes,,,bruno-fernandes,B. Fernandes,M,8,179,235526,M,BrunoFernandes,288205,EUR,778982400,M,8,8,False,50.0,42.0,6.0,3.0,10.0,15.0,37.0,1.0,7.0,,,,,,90.0,67.0,7.4,11.0,0.0184,0.0,0.216749,1,,33.0,2.0,1.0,,7.0,10.0,1.0,1.0,1.0,1.0,,5.0,5.0,3.0,1.0,,2.0,,,4.0,,1.0,1.0,,,,,,,
10385360,home,Manchester United,Marcus Rashford,,,marcus-rashford,M. Rashford,M,14,185,357139,M,Rashford,814590,EUR,878256000,M,10,10,False,26.0,22.0,,,4.0,4.0,22.0,,4.0,,,,,,90.0,45.0,7.1,12.0,0.5598,0.7648,0.0558198,5,,18.0,,,,9.0,2.0,3.0,2.0,,1.0,1.0,,,1.0,1.0,,2.0,,,2.0,,1.0,3.0,,,2.0,2.0,1.0,,
