match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_goalAssist,stat_totalCross,stat_aerialLost,stat_duelLost,stat_dispossessed,stat_totalContest,stat_bigChanceCreated,stat_onTargetScoringAttempt,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_penaltyWon,stat_keyPass,stat_outfielderBlock,captain,stat_accurateCross,stat_challengeLost,stat_wonContest,stat_shotOffTarget,stat_goals,stat_totalOffside,stat_penaltyFaced,stat_blockedScoringAttempt,stat_penaltyConceded,stat_bigChanceMissed
10438028,away,Santa Clara,Bruno Jordão,,,bruno-jordao,B. Jordão,M,6,180,275,M,845791,EUR,908150400,M,6,6,False,33.0,26.0,5.0,5.0,12.0,13.0,14.0,20.0,1.0,4.0,8.0,,,,90.0,45.0,6.8,10.0,2,,,1.0,2.0,1.0,1.0,,1.0,1.0,,,,,2.0,,,,,,,,1.0,1.0,,,,,,
10438028,away,Santa Clara,Adriano Firmino,,,adriano-firmino,A. Firmino,M,6,187,127,M,989383,EUR,941673600,M,20,20,False,42.0,38.0,2.0,1.0,20.0,21.0,18.0,22.0,1.0,5.0,7.0,,,,75.0,49.0,6.6,7.0,0,,1.0,,5.0,1.0,3.0,,,,,2.0,1.0,,,2.0,,1.0,,,,1.0,2.0,,,,,,,
10438028,away,Santa Clara,Ricardinho,,,ricardinho,Ricardinho,M,21,178,116,M,1094399,EUR,902361600,M,10,10,False,18.0,14.0,1.0,,5.0,6.0,10.0,13.0,1.0,6.0,1.0,,,,90.0,38.0,5.8,14.0,1,,1.0,,11.0,4.0,4.0,,,,,4.0,3.0,2.0,1.0,1.0,,,,,1.0,2.0,,,,,,1.0,,
10438028,away,Santa Clara,Costinha,,,costinha,Costinha,F,10,170,38,M,805190,EUR,714700800,M,11,11,False,21.0,16.0,,,5.0,5.0,11.0,17.0,,1.0,1.0,,,,45.0,24.0,6.2,7.0,0,,1.0,,2.0,,,,,,,,,1.0,1.0,,,,,,,2.0,,,,1.0,,,,
10438028,away,Santa Clara,Allano,,,allano,Allano,M,29,182,485,M,796925,EUR,798681600,M,7,7,False,16.0,13.0,1.0,1.0,7.0,8.0,6.0,11.0,2.0,4.0,,,,,45.0,22.0,6.4,6.0,1,,3.0,,2.0,,,,,,,1.0,,,1.0,2.0,,,,,,,,1.0,,1.0,,,1.0,
10438028,away,Santa Clara,Matheus Babi,,,matheus-babi,Matheus Babi,F,17,191,462,M,1007431,EUR,869184000,F,39,39,False,6.0,3.0,1.0,,1.0,1.0,2.0,5.0,1.0,2.0,,,,,45.0,12.0,6.4,5.0,1,,,2.0,4.0,,1.0,,,,,,,1.0,1.0,1.0,,,,,,,,1.0,,,,,,
10438028,away,Santa Clara,Matheus Araújo,Matheus,,matheus-araujo,M. Araújo,D,32,185,323,M,1105841,EUR,983404800,M,32,32,True,27.0,21.0,4.0,1.0,15.0,17.0,6.0,12.0,,3.0,2.0,,,,45.0,40.0,6.6,11.0,0,,2.0,1.0,7.0,2.0,2.0,1.0,,1.0,,2.0,2.0,,,2.0,,1.0,,,,1.0,1.0,,,,,,,
10438028,away,Santa Clara,Kyosuke Tagawa,,,kyosuke-tagawa,K. Tagawa,F,11,181,119,M,858886,EUR,918691200,F,9,9,True,7.0,6.0,,,2.0,3.0,4.0,4.0,,1.0,1.0,,,,45.0,12.0,6.5,4.0,0,,,,1.0,1.0,,,,,,,,2.0,1.0,,,1.0,,,,,,,,1.0,,,,
10438028,away,Santa Clara,Gabriel Silva,Gabriel Silva,,gabriel-silva,Gabriel Silva,F,10,177,795,M,1046794,EUR,1016755200,F,49,49,True,10.0,9.0,,,4.0,4.0,7.0,11.0,,3.0,5.0,,,,45.0,30.0,6.8,9.0,4,,5.0,1.0,3.0,1.0,1.0,,1.0,,,,,2.0,2.0,1.0,,3.0,,,2.0,,1.0,3.0,,,,,,2.0
10438028,away,Santa Clara,Rildo,,,rildo,Rildo,F,37,178,262,M,1047095,EUR,948412800,F,37,37,True,4.0,2.0,1.0,,,1.0,3.0,5.0,,3.0,1.0,,,,25.0,12.0,7.1,6.0,0,,2.0,1.0,1.0,,2.0,1.0,,,,1.0,1.0,3.0,,,,1.0,,,1.0,,2.0,,,,,,,
10438028,away,Santa Clara,Andrézinho,Andrézinho,,andrezinho,Andrézinho,M,7,174,88,M,1065957,EUR,849398400,F,21,21,True,9.0,9.0,,,4.0,4.0,5.0,6.0,,1.0,1.0,,,,15.0,13.0,6.5,3.0,0,,1.0,,3.0,2.0,,,,,,,,,1.0,,,1.0,,,,1.0,,,,,,,,
10438028,away,Santa Clara,Marcos Díaz,,,marcos-diaz,M. Díaz,G,,186,29,M,105935,EUR,507945600,G,74,74,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10438028,away,Santa Clara,Ítalo,,,italo,Ítalo,D,16,191,58,M,1110161,EUR,1013990400,D,44,44,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10438028,away,Santa Clara,Diogo Calila,,,diogo-calila,D. Calila,M,2,173,593,M,892083,EUR,907977600,D,13,13,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10438028,away,Santa Clara,Kento Misao,,,kento-misao,K. Misao,M,6,180,90,M,358988,EUR,829612800,M,40,40,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
