match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_accurateOppositionHalfPasses,stat_totalCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,player_sofascoreId,stat_aerialLost,stat_shotOffTarget,stat_totalClearance,stat_expectedGoals,player_firstName,player_lastName,stat_totalContest,stat_outfielderBlock,stat_interceptionWon,stat_accurateCross,stat_bigChanceCreated,stat_keyPass,stat_wonContest,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,captain,stat_bigChanceMissed,stat_blockedScoringAttempt,stat_hitWoodwork,stat_goals,stat_ownGoals,stat_goodHighClaim,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_totalOffside
12504424,home,Roma,Mile Svilar,svilar-mile,M. Svilar,G,99,189,4489,M,793986,EUR,935712000,G,99,99,False,39.0,35.0,7.0,3.0,0.0,35.0,36.0,3.0,7.0,1.0,2.0,90.0,43.0,6.7,4.0,0.00012669,0,-0.6698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12504424,home,Roma,Gianluca Mancini,gianluca-mancini,G. Mancini,D,23,190,4038,M,611210,EUR,829699200,D,23,23,False,55.0,50.0,6.0,2.0,0.0,35.0,35.0,22.0,5.0,,,90.0,64.0,6.5,10.0,0.00893343,0,,15.0,2.0,1.0,7.0,4.0,1.0,2.0,1.0,1.0,1.0,2.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,
12504424,home,Roma,Mats Hummels,mats-hummels,M. Hummels,D,15,191,4596,M,16632,EUR,598233600,D,15,15,False,43.0,37.0,2.0,2.0,0.0,26.0,27.0,16.0,4.0,,,76.0,51.0,6.6,6.0,0.0048171,1,,11.0,,3.0,4.0,6.0,1.0,,3.0,,,,1.0,aussenrist15,2.0,1.0,2.0,0.0131,,,,,,,,,,,,,,,,,,,,,
12504424,home,Roma,Evan Ndicka,evan-ndicka,E. Ndicka,D,5,190,9220,M,848287,EUR,935107200,D,5,5,False,73.0,63.0,8.0,4.0,0.0,45.0,50.0,23.0,8.0,,,90.0,84.0,7.1,12.0,0.00520201,0,,18.0,,4.0,3.0,7.0,,,3.0,1.0,1.0,,1.0,evanndicka,2.0,,1.0,,,,1.0,1.0,2.0,,,,,,,,,,,,,,,,
12504424,home,Roma,Alexis Saelemaekers,alexis-saelemaekers,A. Saelemaekers,M,56,180,7592,M,901891,EUR,930441600,M,56,56,False,35.0,30.0,2.0,1.0,0.0,16.0,17.0,25.0,3.0,,,76.0,54.0,7.1,11.0,0.429329,2,,16.0,7.0,,3.0,,1.0,1.0,,,,,,AS56,1.0,2.0,1.0,0.0759,,,,,1.0,2.0,1.0,2.0,,,,,,,,,,,,,
12504424,home,Roma,Manu Koné,manu-kone,M. Koné,M,17,186,6943,M,974087,EUR,990057600,M,17,17,False,46.0,43.0,3.0,3.0,0.0,14.0,15.0,31.0,4.0,,,90.0,64.0,7.0,8.0,0.0346893,0,,29.0,,,3.0,7.0,,2.0,1.0,1.0,2.0,4.0,,,,,,,,,3.0,,1.0,,,1.0,2.0,,,,,,,,,,,,
12504424,home,Roma,Leandro Paredes,leandro-paredes,L. Paredes,M,5,180,25603,M,255389,EUR,772848000,M,16,16,False,73.0,66.0,10.0,6.0,0.0,32.0,33.0,42.0,6.0,,,90.0,84.0,7.5,8.0,0.0327425,2,,35.0,2.0,,3.0,2.0,1.0,,1.0,,,1.0,2.0,LeoParedes,1.0,,2.0,0.0976,,,,,2.0,1.0,,3.0,,2.0,0.4092,,,,,,,,,,
12504424,home,Roma,Lorenzo Pellegrini,lorenzo-pellegrini,L. Pellegrini,M,7,186,5687,M,555540,EUR,835142400,M,7,7,False,16.0,15.0,,,0.0,10.0,10.0,7.0,,,,45.0,21.0,6.3,4.0,0.0397969,1,,5.0,1.0,,2.0,1.0,,2.0,1.0,1.0,,,,lorepelle7,,,,0.6434,,,,,,,,,,1.0,0.705,True,1.0,,,,,,,,
12504424,home,Roma,Angeliño,angelino,Angeliño,M,3,171,3336,M,848355,EUR,852336000,M,3,3,False,41.0,36.0,6.0,3.0,0.0,19.0,20.0,22.0,2.0,,,90.0,58.0,7.2,6.0,0.0790317,0,,18.0,1.0,,4.0,5.0,,,2.0,2.0,,1.0,1.0,,2.0,,3.0,,,,3.0,,1.0,1.0,,2.0,2.0,,,,,,,,,,,,
12504424,home,Roma,Paulo Dybala,paulo-dybala,P. Dybala,F,21,177,117714,M,256219,EUR,753321600,F,21,21,False,30.0,23.0,3.0,1.0,1.0,9.0,11.0,20.0,4.0,,,84.0,48.0,7.8,12.0,0.0276863,3,,14.0,1.0,1.0,5.0,6.0,,3.0,1.0,1.0,,3.0,2.0,LaJoya,,1.0,,0.3091,,,1.0,,,,,1.0,1.0,1.0,0.1816,,,1.0,1.0,,,,,,
