match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_interceptionWon,stat_unsuccessfulTouch,stat_totalTackle,stat_wasFouled,stat_totalCross,stat_blockedScoringAttempt,stat_penaltyWon,stat_expectedGoals,stat_keyPass,stat_accurateCross,stat_aerialLost,stat_dispossessed,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,captain,stat_totalContest,stat_wonContest,stat_outfielderBlock,stat_fouls,player_firstName,player_lastName,player_sofascoreId,stat_shotOffTarget,stat_errorLeadToAGoal,stat_goals,stat_wonTackle,stat_bigChanceCreated,stat_totalOffside,stat_bigChanceMissed,stat_goodHighClaim,stat_penaltyFaced,stat_penaltyConceded
12763974,home,Atalanta,Marco Carnesecchi,marco-carnesecchi,M. Carnesecchi,G,29,192,3216,M,865646,EUR,962409600,G,29,29,False,13.0,8.0,7.0,3.0,0.0,6.0,8.0,2.0,5.0,2.0,2.0,2.0,3.0,2.0,2.0,90.0,20.0,6.7,6.0,0.00047009,0,-1.0922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12763974,home,Atalanta,Berat Djimsiti,berat-djimsiti,B. Djimsiti,D,19,190,2164,M,151003,EUR,730080000,D,19,19,False,40.0,36.0,2.0,2.0,0.0,21.0,23.0,15.0,17.0,2.0,2.0,,,,,74.0,48.0,6.2,5.0,0.0159764,0,,1.0,2.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12763974,home,Atalanta,Isak Hien,hien-isak,I. Hien,D,4,191,2307,M,1157713,EUR,916185600,D,4,4,False,55.0,49.0,1.0,1.0,0.0,32.0,36.0,17.0,19.0,2.0,9.0,,,,,90.0,62.0,6.3,7.0,0.0229701,0,,,2.0,3.0,2.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12763974,home,Atalanta,Sead Kolašinac,sead-kolasinac,S. Kolašinac,D,23,183,3300,M,142148,EUR,740534400,D,23,23,False,50.0,46.0,,,0.0,22.0,23.0,24.0,28.0,,3.0,,,,,90.0,58.0,6.9,5.0,0.195805,1,,,,1.0,,1.0,,,1.0,1.0,1.0,1.0,0.1692,1.0,,,,,,,,,,,,,,,,,,,,,,,
12763974,home,Atalanta,Raoul Bellanova,raoul-bellanova,R. Bellanova,M,16,188,2482,M,826185,EUR,958521600,M,16,16,False,38.0,32.0,1.0,1.0,0.0,15.0,18.0,18.0,29.0,,6.0,,,,,75.0,61.0,6.6,18.0,0.194063,1,,1.0,4.0,4.0,1.0,,2.0,2.0,1.0,9.0,,,0.092,1.0,1.0,1.0,2.0,1.0,0.1708,,,,,,,,,,,,,,,,,,
12763974,home,Atalanta,Marten de Roon,marten-de-roon,M. de Roon,M,15,185,1875,M,100389,EUR,670204800,M,15,15,False,76.0,69.0,5.0,3.0,0.0,39.0,42.0,30.0,36.0,1.0,3.0,,,,,90.0,88.0,6.7,10.0,0.0288907,0,,,6.0,4.0,4.0,,1.0,3.0,,2.0,,,,2.0,,,,,,True,1.0,1.0,1.0,2.0,,,,,,,,,,,,,
12763974,home,Atalanta,Éderson,ederson,Éderson,M,13,183,7727,M,946888,EUR,931305600,M,13,13,False,70.0,65.0,1.0,1.0,0.0,21.0,21.0,45.0,51.0,2.0,11.0,,,,,90.0,87.0,7.1,7.0,0.113094,2,,2.0,3.0,8.0,1.0,2.0,1.0,,4.0,2.0,1.0,,0.1054,1.0,1.0,1.0,,,,,2.0,2.0,,1.0,,,ederson99,1.0,1.0,,,,,,,,
12763974,home,Atalanta,Matteo Ruggeri,matteo-ruggeri,M. Ruggeri,M,3,187,2530,M,965011,EUR,1026345600,M,22,22,False,59.0,56.0,4.0,2.0,0.0,21.0,23.0,37.0,41.0,1.0,8.0,,,,,87.0,84.0,7.1,11.0,0.1176,1,,,5.0,1.0,1.0,3.0,2.0,1.0,,5.0,,,0.1426,4.0,2.0,,2.0,,,,,,,2.0,,,,1.0,,,,,,,,,
12763974,home,Atalanta,Mario Pašalić,mario-pasalic,M. Pašalić,M,8,189,7391,M,190437,EUR,792288000,F,8,8,False,48.0,41.0,3.0,1.0,0.0,12.0,13.0,29.0,35.0,,4.0,,,,,58.0,51.0,6.7,8.0,0.0457802,0,,,4.0,2.0,2.0,,1.0,1.0,,,,,,,,,,,,,1.0,1.0,,2.0,,,pasalicmario,,,,,,,,,,
12763974,home,Atalanta,Charles De Ketelaere,charles-de-ketelaere,C. De Ketelaere,F,17,192,14750,M,960441,EUR,984182400,F,17,17,False,28.0,23.0,2.0,1.0,0.0,4.0,5.0,19.0,25.0,,1.0,,,,,74.0,48.0,7.6,14.0,0.126612,3,,1.0,7.0,7.0,,,2.0,1.0,3.0,2.0,,,0.9366,2.0,,,4.0,2.0,1.2837,,3.0,2.0,,3.0,,,cdk,1.0,,1.0,1.0,,,,,,
