match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_shotOffTarget,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_fouls,stat_totalOffside,captain,stat_unsuccessfulTouch,stat_goalAssist,stat_totalCross,stat_accurateCross,stat_totalContest,stat_wonContest,stat_bigChanceCreated,stat_keyPass,player_firstName,player_lastName,stat_dispossessed,stat_bigChanceMissed,stat_blockedScoringAttempt,stat_onTargetScoringAttempt,stat_goals,stat_penaltyWon,stat_penaltyFaced,stat_penaltyConceded
11396455,home,SV Werder Bremen,Jiří Pavlenka,jiri-pavlenka,J. Pavlenka,G,1,196,521,M,154040,EUR,703209600,G,1,1,False,25.0,16.0,14.0,5.0,13.0,15.0,3.0,10.0,2.0,10.0,2.0,3.0,3.0,1.0,1.0,1.0,90.0,39.0,7.6,9.0,0.0,0.0,0.00100656,0,0.6656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11396455,home,SV Werder Bremen,Amos Pieper,amos-pieper,A. Pieper,D,5,191,299,M,851254,EUR,884995200,D,5,5,False,40.0,26.0,8.0,4.0,10.0,19.0,16.0,21.0,7.0,3.0,,,,,,,90.0,58.0,7.6,14.0,0.2152,0.0,0.0118814,2,,3.0,5.0,5.0,7.0,2.0,2.0,1.0,3.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
11396455,home,SV Werder Bremen,Niklas Stark,niklas-stark,N. Stark,D,4,190,247,M,229544,EUR,797817600,D,4,4,False,39.0,28.0,8.0,4.0,18.0,24.0,10.0,15.0,7.0,4.0,,,,,,,90.0,56.0,7.4,11.0,0.0,0.0,0.0176189,0,,2.0,3.0,6.0,9.0,,,,2.0,6.0,3.0,,4.0,1.0,,,,,,,,,,,,,,,,,,,
11396455,home,SV Werder Bremen,Marco Friedl,marco-friedl,M. Friedl,D,32,187,536,M,825771,EUR,890006400,D,32,32,False,33.0,25.0,9.0,3.0,13.0,15.0,12.0,18.0,6.0,3.0,,,,,,,90.0,55.0,7.4,9.0,0.0,0.0,0.0221985,0,,3.0,3.0,4.0,7.0,,,1.0,3.0,1.0,,4.0,2.0,,True,1.0,,,,,,,,,,,,,,,,,
11396455,home,SV Werder Bremen,Mitchell Weiser,mitchell-weiser,M. Weiser,M,8,176,1411,M,138150,EUR,766886400,M,8,8,False,32.0,22.0,2.0,1.0,7.0,10.0,16.0,23.0,,7.0,,,,,,,86.0,58.0,7.6,18.0,0.0,0.0,0.506897,0,,2.0,,9.0,7.0,1.0,,1.0,,4.0,3.0,2.0,4.0,,,3.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0,,,,,,,,,,
11396455,home,SV Werder Bremen,Romano Schmid,romano-schmid,R. Schmid,M,20,168,1020,M,830127,EUR,948931200,M,20,20,False,57.0,49.0,5.0,5.0,14.0,18.0,36.0,42.0,3.0,12.0,,,,,,,90.0,76.0,7.8,16.0,0.2718,0.0,0.832581,1,,,1.0,7.0,4.0,1.0,1.0,,,1.0,,1.0,2.0,,,2.0,1.0,3.0,1.0,4.0,1.0,2.0,3.0,,,1.0,1.0,,,,,,
11396455,home,SV Werder Bremen,Christian Groß,christian-gross,C. Groß,D,,182,27,M,40323,EUR,602899200,M,36,36,False,28.0,18.0,,,10.0,16.0,8.0,12.0,1.0,5.0,,,,,,,76.0,36.0,6.2,14.0,0.0769,0.0,0.00250492,1,,1.0,,6.0,,3.0,,,,,,,1.0,,,3.0,,,,,,,,,,1.0,,1.0,,,,,
11396455,home,SV Werder Bremen,Jens Stage,jens-stage,J. Stage,M,6,187,697,M,830142,EUR,847411200,M,6,6,False,30.0,19.0,1.0,,9.0,11.0,10.0,19.0,,6.0,,,,,,,76.0,38.0,7.5,11.0,0.1316,0.7284,0.020431,3,,2.0,5.0,5.0,8.0,,,,,3.0,1.0,,3.0,,,,,,,,,,1.0,,,,,1.0,2.0,1.0,,,
11396455,home,SV Werder Bremen,Anthony Jung,anthony-jung,A. Jung,D,5,186,138,M,103442,EUR,689126400,M,3,3,False,43.0,31.0,9.0,3.0,17.0,22.0,15.0,23.0,4.0,8.0,,,,,,,90.0,69.0,7.2,20.0,0.0,0.0,0.054311,0,,1.0,3.0,2.0,6.0,1.0,,,1.0,,,2.0,,,,,,2.0,1.0,1.0,1.0,,1.0,,,,,,,,,,
11396455,home,SV Werder Bremen,Dawid Kownacki,dawid-kownacki,D. Kownacki,F,9,186,2579,M,286103,EUR,858297600,F,9,9,False,20.0,9.0,,,2.0,5.0,7.0,16.0,1.0,1.0,,,,,,,76.0,27.0,7.2,13.0,0.0485,0.0,0.467161,2,,7.0,8.0,7.0,10.0,,2.0,,,,,1.0,,,,1.0,,1.0,,1.0,1.0,,1.0,,,,,,,,,,
