match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,player_firstName,player_lastName,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_challengeLost,stat_bigChanceCreated,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_keyPass,captain,stat_aerialWon,stat_wasFouled,stat_fouls,stat_interceptionWon,stat_totalContest,player_sofascoreId,stat_dispossessed,stat_wonContest,stat_shotOffTarget,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_goals,stat_savedShotsFromInsideTheBox,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_totalOffside,stat_hitWoodwork
12624893,home,Al-Kholood,Marcelo Grohe,marcelo-grohe,M. Grohe,G,43,188.0,626,M,39427,EUR,537494400,G,34,34,False,30.0,12.0,24.0,6.0,0.0,9.0,14.0,3.0,16.0,1.0,8.0,1.0,2.0,90.0,35.0,6.8,18.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12624893,home,Al-Kholood,Abdullah Al-Hawsawi,abdullah-al-hawsawi,A. Al-Hawsawi,D,24,176.0,23,M,1127819,EUR,823132800,D,24,24,False,29.0,27.0,2.0,1.0,1.0,20.0,21.0,9.0,10.0,2.0,8.0,,,90.0,52.0,7.8,5.0,0,Abdullah Al-Hawsawi,,2.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,,,,,,,,,,,,,,,,,,,
12624893,home,Al-Kholood,Mohammed Jahfali,mohammed-jahfali,M. Jahfali,D,70,185.0,103,M,791561,EUR,656726400,D,70,70,False,29.0,27.0,6.0,4.0,0.0,24.0,25.0,3.0,4.0,9.0,2.0,,,90.0,40.0,7.0,2.0,0,,,,,2.0,4.0,3.0,,,,,,,,True,2.0,1.0,2.0,,,,,,,,,,,,,,,
12624893,home,Al-Kholood,Norbert Gyömbér,norbert-gyomber,N. Gyömbér,D,23,189.0,303,M,224456,EUR,710121600,D,23,23,False,38.0,29.0,9.0,4.0,0.0,22.0,25.0,7.0,13.0,9.0,5.0,,,90.0,54.0,7.3,10.0,0,,,,,2.0,3.0,3.0,,,1.0,,,1.0,,,2.0,1.0,1.0,2.0,,,,,,,,,,,,,,
12624893,home,Al-Kholood,Hamdan Al-Shamrani,hamdan-al-shamrani,H. Al-Shamrani,D,27,176.0,29,M,882132,EUR,850521600,D,27,27,False,15.0,12.0,4.0,2.0,0.0,8.0,10.0,4.0,6.0,5.0,2.0,,,74.0,40.0,6.8,9.0,0,,,1.0,,1.0,3.0,3.0,,,,1.0,1.0,2.0,,,2.0,,1.0,,1.0,,,,,,,,,,,,,
12624893,home,Al-Kholood,Kévin N'Doram,kevin-ndoram,K. N'Doram,M,96,184.0,92,M,823476,EUR,822268800,M,96,96,False,26.0,20.0,4.0,2.0,0.0,7.0,10.0,13.0,16.0,9.0,3.0,,,90.0,45.0,7.1,7.0,0,,,,,1.0,6.0,7.0,1.0,,,3.0,3.0,,,,4.0,,3.0,2.0,1.0,,,,,,,,,,,,,
12624893,home,Al-Kholood,Aliou Dieng,aliou-dieng,A. Dieng,M,23,184.0,13659,M,933780,EUR,876960000,M,15,15,False,47.0,35.0,4.0,2.0,0.0,18.0,20.0,17.0,27.0,2.0,7.0,,,90.0,60.0,7.4,14.0,1,,,,,1.0,4.0,5.0,1.0,,,,,1.0,3.0,,2.0,,1.0,1.0,3.0,alioudieng_18,1.0,3.0,1.0,,,,,,,,,
12624893,home,Al-Kholood,Hammam Al-Hammami,al-hammami-hammam,H. Al-Hammami,F,22,169.0,198,M,1836904,EUR,1075420800,M,22,22,False,29.0,23.0,2.0,,0.0,11.0,13.0,13.0,19.0,,5.0,,,81.0,56.0,7.2,19.0,2,Hammam Al-Hammami,,3.0,1.0,,9.0,5.0,1.0,1.0,1.0,1.0,1.0,4.0,3.0,,,1.0,2.0,1.0,7.0,,2.0,3.0,2.0,,,,,,,,,
12624893,home,Al-Kholood,Abdulrahman Al-Safri,abdulrahman-al-safri,A. Al-Safri,M,8,176.0,22,M,990187,EUR,733536000,M,8,8,False,7.0,5.0,2.0,1.0,0.0,2.0,4.0,3.0,3.0,,1.0,,,45.0,15.0,6.2,5.0,2,,,,,1.0,4.0,2.0,,,,,,,,,,2.0,,,1.0,,2.0,,,1.0,1.0,1.0,,,,,,
12624893,home,Al-Kholood,Myziane Maolida,maolida-myziane,M. Maolida,M,9,180.0,638,M,851262,EUR,918950400,M,9,9,False,25.0,21.0,1.0,1.0,0.0,8.0,10.0,14.0,16.0,,6.0,,,90.0,45.0,8.5,9.0,5,,,1.0,1.0,1.0,3.0,6.0,,,1.0,2.0,1.0,2.0,4.0,,,1.0,,2.0,5.0,,,3.0,,,3.0,2.0,1.0,,,,,
