match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_keyPass,stat_shotOffTarget,stat_outfielderBlock,stat_errorLeadToAShot,stat_expectedGoals,captain,stat_dispossessed,stat_onTargetScoringAttempt,stat_goals,stat_wasFouled,stat_expectedGoalsOnTarget,stat_blockedScoringAttempt,stat_wonContest,stat_bigChanceCreated,stat_accurateCross,player_firstName,player_lastName,stat_penaltyWon,stat_bigChanceMissed,stat_penaltyConceded,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_punches,stat_totalOffside
12499291,home,Milan,Mike Maignan,mike-maignan,M. Maignan,G,16,190,15444,M,MMaignan,191210,EUR,804729600,G,16,16,False,33.0,32.0,11.0,10.0,0.0,31.0,31.0,1.0,2.0,8.0,1.0,90.0,39.0,7.2,1.0,0.00025752,0,0.0287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12499291,home,Milan,Emerson Royal,emerson-royal,E. Royal,D,22,183,10057,M,emerson_royal,856123,EUR,916272000,D,22,22,False,70.0,66.0,3.0,1.0,0.0,32.0,33.0,34.0,39.0,2.0,,90.0,90.0,7.2,9.0,0.0213675,0,,2.0,1.0,2.0,5.0,4.0,1.0,2.0,3.0,2.0,2.0,2.0,1.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
12499291,home,Milan,Matteo Gabbia,matteo-gabbia,M. Gabbia,D,46,185,3401,M,,826195,EUR,940464000,D,46,46,False,65.0,59.0,4.0,1.0,0.0,55.0,57.0,4.0,8.0,2.0,,90.0,71.0,6.8,6.0,0.00196141,1,,,3.0,4.0,4.0,4.0,,,4.0,,,,,1.0,,1.0,1.0,1.0,0.0484,,,,,,,,,,,,,,,,,,,
12499291,home,Milan,Strahinja Pavlović,strahinja-pavlovic,S. Pavlović,D,31,194,8727,M,strahinjapavlovic,965893,EUR,990662400,D,31,31,False,79.0,75.0,4.0,3.0,0.0,62.0,63.0,13.0,16.0,6.0,,90.0,88.0,7.1,4.0,0.00356696,0,,,,1.0,1.0,3.0,1.0,,5.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
12499291,home,Milan,Theo Hernández,theo-hernandez,T. Hernández,D,19,184,26616,M,TheoHdez,788027,EUR,876096000,D,19,19,False,80.0,77.0,4.0,2.0,0.0,33.0,34.0,44.0,48.0,5.0,,90.0,104.0,8.0,9.0,0.0293557,1,,2.0,,,3.0,2.0,1.0,1.0,4.0,2.0,,,2.0,,1.0,,,,0.0786,True,1.0,1.0,1.0,2.0,0.1059,,,,,,,,,,,,,
12499291,home,Milan,Tijjani Reijnders,tijjani-reijnders,T. Reijnders,M,4,185,38485,M,tijjanireijnders,893549,EUR,901670400,M,14,14,False,21.0,19.0,1.0,1.0,0.0,5.0,6.0,14.0,15.0,2.0,,63.0,25.0,6.9,4.0,0.0639419,2,,,,,2.0,,,1.0,,,,,1.0,1.0,,,,,0.0701,,,1.0,,,0.0654,1.0,,,,,,,,,,,,
12499291,home,Milan,Youssouf Fofana,youssouf-fofana,Y. Fofana,M,19,185,6182,M,YFofana19_,945062,EUR,915926400,M,29,29,False,40.0,36.0,2.0,2.0,0.0,23.0,25.0,13.0,15.0,2.0,,79.0,45.0,7.2,5.0,0.014364,1,,,,1.0,5.0,2.0,3.0,2.0,,1.0,,,,1.0,,,,,0.0864,,,1.0,1.0,,0.3736,,1.0,,,,,,,,,,,
12499291,home,Milan,Ruben Loftus-Cheek,ruben-loftus-cheek,R. Loftus-Cheek,M,8,191,7232,M,rlc,284441,EUR,822355200,M,8,8,False,50.0,45.0,2.0,2.0,0.0,22.0,23.0,23.0,27.0,3.0,,90.0,74.0,7.5,11.0,0.286324,2,,,,1.0,7.0,11.0,1.0,2.0,1.0,,4.0,1.0,3.0,3.0,1.0,1.0,,,0.1279,,3.0,,,4.0,,1.0,2.0,1.0,,,,,,,,,,
12499291,home,Milan,Christian Pulišić,christian-pulisic,C. Pulišić,M,11,177,37774,M,CMPulisic,817957,EUR,906076800,F,11,11,False,36.0,28.0,1.0,,1.0,14.0,17.0,15.0,24.0,5.0,,79.0,55.0,8.5,16.0,0.0943799,2,,5.0,,,1.0,5.0,,1.0,,,3.0,2.0,3.0,1.0,3.0,,,,0.8152,,1.0,2.0,1.0,1.0,0.8862,,1.0,,1.0,,,,,,,,,
12499291,home,Milan,Tammy Abraham,tammy-abraham,T. Abraham,F,18,195,19720,M,tammy_abraham,610766,EUR,875750400,F,90,90,False,11.0,7.0,1.0,1.0,0.0,4.0,5.0,3.0,6.0,2.0,,74.0,20.0,7.5,5.0,0.00528468,1,,,2.0,,4.0,4.0,,1.0,1.0,1.0,2.0,,,1.0,,,,,0.7884,,,1.0,1.0,2.0,0.7573,,,,,,,1.0,,,,,,
