match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_shotOffTarget,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_totalOffside,stat_expectedGoals,stat_keyPass,stat_interceptionWon,stat_fouls,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,stat_totalContest,stat_wonContest,player_sofascoreId,stat_bigChanceCreated,stat_blockedScoringAttempt,stat_bigChanceMissed,stat_outfielderBlock,stat_hitWoodwork,stat_errorLeadToAShot
12437502,home,Osasuna,Sergio Herrera,sergio-herrera,S. Herrera,G,1,192,995,M,294377,EUR,736646400,G,1,1,False,True,39.0,24.0,28.0,13.0,0.0,14.0,16.0,10.0,23.0,1.0,12.0,5.0,5.0,1.0,1.0,90.0,50.0,8.2,15.0,0.00135527,0,1.2391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12437502,home,Osasuna,Jesús Areso,jesus-areso,J. Areso,D,12,183,656,M,910267,EUR,930873600,D,12,12,False,,31.0,27.0,2.0,1.0,0.0,14.0,15.0,14.0,18.0,6.0,1.0,,,,,90.0,61.0,7.1,12.0,0.0449606,1,,,,2.0,1.0,1.0,1.0,5.0,4.0,1.0,3.0,1.0,2.0,2.0,1.0,1.0,1.0,0.011,1.0,,,,,,,,,,,,,,
12437502,home,Osasuna,Flavien Boyomo,boyomo-flavien,F. Boyomo,D,22,181,2526,M,1067582,EUR,1002412800,D,22,22,False,,42.0,35.0,6.0,3.0,0.0,27.0,30.0,8.0,12.0,4.0,6.0,,,,,90.0,52.0,7.3,7.0,0.00379878,0,,,,,,1.0,,2.0,3.0,,,,3.0,3.0,,,,,,2.0,1.0,,,,,,,,,,,,
12437502,home,Osasuna,Alejandro Catena,alejandro-catena,A. Catena,D,24,194,940,M,900792,EUR,783302400,D,24,24,False,,37.0,29.0,8.0,4.0,0.0,22.0,25.0,7.0,12.0,8.0,2.0,,,,,90.0,54.0,8.1,8.0,0.00178687,2,,,,,,,3.0,,6.0,,,1.0,1.0,1.0,,3.0,,0.1364,,,,1.0,1.0,0.4909,,,,,,,,,
12437502,home,Osasuna,Juan Cruz,juan-cruz,J. Cruz,D,3,180,216,M,897902,EUR,712281600,D,3,3,False,,24.0,21.0,1.0,,0.0,13.0,16.0,8.0,8.0,7.0,3.0,,,,,81.0,39.0,6.9,4.0,0.00753741,0,,,,,,2.0,,4.0,3.0,,,,3.0,1.0,,,,,,1.0,2.0,,,,,,,,,,,,
12437502,home,Osasuna,Pablo Ibáñez,pablo-ibanez-lumbreras,P. Ibáñez,M,19,179,350,M,1084381,EUR,883612800,M,8,8,False,,26.0,18.0,2.0,1.0,0.0,9.0,10.0,9.0,17.0,,1.0,,,,,71.0,36.0,6.7,11.0,0.007113,0,,,,1.0,,,,4.0,4.0,,1.0,,,,,3.0,,,1.0,1.0,2.0,,,,2.0,1.0,,,,,,,
12437502,home,Osasuna,Lucas Torró,lucas-torro,L. Torró,M,6,190,714,M,187313,EUR,774576000,M,6,6,False,,20.0,13.0,3.0,2.0,0.0,7.0,8.0,6.0,12.0,1.0,3.0,,,,,90.0,25.0,6.6,8.0,0.00464399,0,,,,,,2.0,1.0,3.0,1.0,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,
12437502,home,Osasuna,Rubén Peña,ruben-pena,R. Peña,D,7,170,186,M,255973,EUR,679795200,M,15,15,False,,8.0,4.0,,,0.0,3.0,3.0,1.0,5.0,,,,,,,60.0,15.0,6.4,7.0,0.00035458,0,,,,,,1.0,1.0,5.0,3.0,4.0,,,2.0,1.0,3.0,,,,,,,,,,,,,,,,,,
12437502,home,Osasuna,Aimar Oroz,aimar-oroz,A. Oroz,M,10,177,1253,M,985329,EUR,1006819200,M,10,10,False,,26.0,21.0,2.0,1.0,0.0,4.0,7.0,17.0,19.0,2.0,5.0,,,,,88.0,34.0,6.8,7.0,0.0230188,1,,,,,,,,5.0,1.0,1.0,1.0,,,,,,,0.0759,1.0,2.0,2.0,1.0,,0.0535,2.0,1.0,,,,,,,
12437502,home,Osasuna,Bryan Zaragoza,bryan-zaragoza,B. Zaragoza,F,97,165,5285,M,1084730,EUR,999993600,M,19,19,False,,14.0,9.0,3.0,1.0,1.0,3.0,5.0,9.0,15.0,,2.0,,,,,72.0,32.0,7.4,14.0,0.242736,2,,,,6.0,3.0,,1.0,3.0,3.0,,1.0,1.0,,,3.0,2.0,,0.0442,2.0,3.0,1.0,,,,1.0,,bryanzaragoza,1.0,1.0,,,,
