match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,player_firstName,player_lastName,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalTackle,stat_wonTackle,stat_fouls,stat_challengeLost,stat_blockedScoringAttempt,stat_interceptionWon,stat_outfielderBlock,stat_totalCross,stat_dispossessed,stat_totalContest,stat_keyPass,stat_goalAssist,stat_wonContest,stat_bigChanceCreated,stat_unsuccessfulTouch,captain,stat_shotOffTarget,stat_wasFouled,stat_onTargetScoringAttempt,stat_goals,stat_totalOffside,stat_accurateCross,stat_bigChanceMissed,stat_hitWoodwork
10406774,home,RC Sporting Charleroi,Hervé Koffi,herve-koffi,H. Koffi,G,12,187,15844,M,HKoffi,867299,EUR,845424000,G,16,16,False,28.0,18.0,21.0,11.0,7.0,9.0,11.0,19.0,1.0,20.0,4.0,4.0,6.0,90.0,51.0,8.2,11.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10406774,home,RC Sporting Charleroi,Jonas Bager,jonas-bager,J. Bager,D,5,182,86,M,,541350,EUR,837648000,D,2,2,False,27.0,18.0,7.0,1.0,12.0,15.0,6.0,12.0,4.0,4.0,,,,90.0,36.0,6.8,9.0,0,,,1.0,1.0,4.0,2.0,1.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,
10406774,home,RC Sporting Charleroi,Stelios Andreou,andreou-stelios,S. Andreou,D,5,187,337,M,,994282,EUR,1027468800,D,21,21,False,17.0,14.0,5.0,4.0,11.0,12.0,3.0,5.0,6.0,3.0,,,,90.0,29.0,7.0,3.0,1,,,3.0,1.0,5.0,3.0,2.0,,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,
10406774,home,RC Sporting Charleroi,Martin Wasinski,martin-wasinski,M. Wasinski,D,2,185,167,M,,1131054,EUR,1081296000,D,31,31,False,25.0,21.0,7.0,5.0,15.0,17.0,6.0,8.0,1.0,2.0,,,,90.0,31.0,7.0,4.0,0,Martin Wasinski,,1.0,,3.0,,,,1.0,1.0,,3.0,1.0,,,,,,,,,,,,,,,,,
10406774,home,RC Sporting Charleroi,Ken Nkuba,nkuba-ken,K. Nkuba,M,27,180,165,M,,961902,EUR,1011571200,M,28,28,False,27.0,22.0,4.0,1.0,9.0,11.0,13.0,18.0,,4.0,,,,90.0,45.0,6.5,13.0,0,,,1.0,,5.0,3.0,3.0,2.0,2.0,,,1.0,,2.0,1.0,1.0,1.0,,,,,,,,,,,,,
10406774,home,RC Sporting Charleroi,Adem Zorgane,adem-zorgane,A. Zorgane,M,8,184,6542,M,AdemZorgane,1000472,EUR,947116800,M,6,6,False,56.0,48.0,11.0,5.0,24.0,26.0,24.0,32.0,1.0,10.0,,,,88.0,78.0,7.3,18.0,0,,,,,3.0,3.0,2.0,,,,,2.0,,2.0,2.0,2.0,2.0,1.0,1.0,1.0,5.0,,,,,,,,,
10406774,home,RC Sporting Charleroi,Marco Ilaimaharitra,marco-ilaimaharitra,M. Ilaimaharitra,M,23,178,499,M,,358198,EUR,806716800,M,26,26,False,45.0,33.0,4.0,2.0,15.0,22.0,18.0,23.0,,9.0,,,,90.0,57.0,7.2,13.0,2,,,,2.0,2.0,8.0,2.0,,1.0,,,1.0,,,,3.0,,,2.0,,,True,2.0,2.0,,,,,,
10406774,home,RC Sporting Charleroi,Joris Kayembe,joris-kayembe-ditu,J. Kayembe,D,18,180,4983,M,joriskayembe23,354046,EUR,776304000,M,12,12,False,26.0,20.0,8.0,5.0,7.0,8.0,13.0,20.0,2.0,5.0,,,,78.0,46.0,6.9,12.0,0,,,1.0,,7.0,8.0,3.0,3.0,3.0,,,,,2.0,,6.0,,,3.0,,,,,2.0,,,,,,
10406774,home,RC Sporting Charleroi,Isaac Mbenza,isaac-mbenza,I. Mbenza,F,7,188,140,M,,789000,EUR,826243200,F,7,7,False,27.0,23.0,,,8.0,9.0,15.0,19.0,,1.0,,,,78.0,34.0,6.7,8.0,0,,,,,1.0,1.0,,,,,,,,1.0,,2.0,1.0,,1.0,,2.0,,,,,,,,,
10406774,home,RC Sporting Charleroi,Amirhossein Hosseinzadeh,amirhossein-hosseinzadeh,A. Hosseinzadeh,F,99,176,873,M,,905472,EUR,972864000,F,99,99,False,20.0,16.0,,,12.0,13.0,4.0,8.0,,4.0,,,,88.0,34.0,6.6,11.0,1,,,1.0,,5.0,1.0,1.0,,,1.0,,2.0,,1.0,,3.0,,,,,3.0,,,,1.0,,,,,
