match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_dispossessed,stat_totalClearance,stat_outfielderBlock,stat_lastManTackle,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_totalCross,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_keyPass,stat_challengeLost,stat_interceptionWon,stat_wasFouled,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_fouls,stat_totalOffside,stat_accurateCross,captain,stat_goodHighClaim,stat_punches,stat_goalAssist,stat_bigChanceCreated,stat_goals
11352532,home,Manchester United,André Onana,,,andre-onana,A. Onana,G,24,190,53850,M,AndréOnana24,787498,EUR,828403200,G,24,24,False,34.0,27.0,12.0,5.0,26.0,27.0,1.0,7.0,5.0,2.0,5.0,90.0,42.0,7.6,9.0,0.00026441,0,0.2427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11352532,home,Manchester United,Aaron Wan-Bissaka,,,aaron-wan-bissaka,A. Wan-Bissaka,D,29,183,18282,M,awbissaka,863653,EUR,880502400,D,29,29,False,31.0,28.0,,,10.0,10.0,18.0,21.0,2.0,,,87.0,42.0,7.1,5.0,0.0303031,0,,1.0,3.0,2.0,5.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,
11352532,home,Manchester United,Casemiro,,,casemiro,Casemiro,M,18,185,86039,M,Casemiro,122951,EUR,698803200,D,18,18,False,80.0,65.0,14.0,5.0,35.0,41.0,30.0,41.0,10.0,,,90.0,93.0,7.1,18.0,0.0184624,2,,,4.0,1.0,7.0,1.0,3.0,,,3.0,3.0,,2.0,1.0,1.0,0.0454,0.0686,1.0,,,,,,,,,,,,,,,
11352532,home,Manchester United,Jonny Evans,,,jonny-evans,J. Evans,D,,188,4344,M,6jevans,30144,EUR,568166400,D,35,35,False,62.0,53.0,3.0,,35.0,40.0,18.0,22.0,4.0,,,75.0,73.0,6.8,9.0,0.00744752,0,,3.0,3.0,4.0,5.0,,3.0,1.0,,,,,,,,,,1.0,1.0,1.0,2.0,,,,,,,,,,,,
11352532,home,Manchester United,Diogo Dalot,,,diogo-dalot,D. Dalot,M,2,184,22996,M,DDalot,843200,EUR,921715200,D,20,20,False,41.0,34.0,2.0,,8.0,8.0,26.0,37.0,3.0,,,90.0,72.0,7.5,14.0,0.0801637,1,,1.0,,3.0,8.0,,3.0,1.0,,5.0,4.0,1.0,4.0,,,0.0228,,,,,,3.0,3.0,1.0,2.0,1.0,,,,,,,
11352532,home,Manchester United,Kobbie Mainoo,Kobbie,Mainoo,kobbie-mainoo,K. Mainoo,M,37,180,53174,M,KobbieM,1142175,EUR,1113868800,M,37,37,False,52.0,50.0,,,12.0,14.0,38.0,39.0,5.0,,,90.0,70.0,6.8,10.0,0.0380994,0,,,1.0,9.0,7.0,3.0,1.0,,,1.0,1.0,1.0,1.0,,,,,2.0,3.0,,1.0,7.0,4.0,,,,,,,,,,
11352532,home,Manchester United,Sofyan Amrabat,,,sofyan-amrabat,S. Amrabat,M,34,183,27708,M,sofyanamrabat,359272,EUR,840585600,M,4,4,False,73.0,65.0,3.0,1.0,29.0,31.0,37.0,44.0,7.0,,,87.0,86.0,7.0,10.0,0.0376436,1,,1.0,,4.0,4.0,1.0,,,,2.0,1.0,,2.0,,1.0,0.0184,,1.0,2.0,1.0,1.0,1.0,1.0,,,,1.0,,,,,,
11352532,home,Manchester United,Amad Diallo,,,diallo-amad,A. Diallo,F,16,173,104228,M,AmadDiallo19,971037,EUR,1026345600,M,16,16,False,25.0,23.0,2.0,2.0,6.0,7.0,17.0,19.0,2.0,,,70.0,46.0,6.8,13.0,0.062754,0,,,,7.0,7.0,4.0,2.0,,,2.0,,3.0,1.0,,,,,2.0,,,1.0,7.0,4.0,,,,,,,,,,
11352532,home,Manchester United,Scott McTominay,,,scott-mctominay,S. McTominay,M,8,193,25748,M,ScottMcTominay,879346,EUR,850003200,M,39,39,False,29.0,24.0,,,10.0,12.0,14.0,17.0,3.0,,,90.0,47.0,6.5,12.0,0.0161456,1,,,,6.0,1.0,5.0,2.0,,,,,2.0,,,,0.0356,,2.0,,1.0,1.0,,,1.0,1.0,,,True,,,,,
11352532,home,Manchester United,Alejandro Garnacho,,,alejandro-garnacho,A. Garnacho,F,49,180,138483,M,AleGarnacho,1135873,EUR,1088640000,M,17,17,False,37.0,28.0,2.0,,11.0,14.0,17.0,29.0,2.0,,,90.0,62.0,7.2,19.0,0.0639927,7,,,,3.0,5.0,,,,,,,2.0,6.0,,4.0,0.2614,,1.0,1.0,1.0,,7.0,5.0,3.0,,,,,,,,,
