match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_challengeLost,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,player_jerseyNumber,stat_aerialWon,stat_interceptionWon,captain,stat_dispossessed,stat_onTargetScoringAttempt,stat_wasFouled,stat_totalContest,stat_goals,stat_wonContest,stat_shotOffTarget,stat_keyPass,stat_goalAssist,stat_totalOffside,player_sofascoreId,stat_blockedScoringAttempt,stat_goodHighClaim,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_bigChanceCreated,stat_bigChanceMissed
10382006,home,FC Emmen,Eric Oelschlägel,,,eric-oelschlagel,E. Oelschlägel,G,193,62,M,253515,EUR,811555200,G,1,1,False,35.0,26.0,16.0,7.0,23.0,30.0,3.0,5.0,3.0,4.0,2.0,2.0,1.0,90.0,43.0,6.5,9.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10382006,home,FC Emmen,Keziah Veendorp,,,keziah-veendorp,K. Veendorp,D,183,41,M,361778,EUR,856137600,D,2,2,False,68.0,54.0,10.0,3.0,26.0,27.0,29.0,43.0,1.0,8.0,,,,90.0,87.0,6.5,17.0,0,2.0,1.0,3.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
10382006,home,FC Emmen,Miguel Araujo,,,miguel-araujo,M. Araujo,D,178,883,M,370226,EUR,782956800,D,5,5,False,67.0,49.0,17.0,5.0,32.0,40.0,17.0,27.0,3.0,6.0,,,,90.0,74.0,6.6,18.0,0,,,3.0,3.0,4.0,,1.0,,,,,20,4.0,2.0,,,,,,,,,,,,,,,,,,
10382006,home,FC Emmen,Jeroen Veldmate,,,jeroen-veldmate,J. Veldmate,D,187,9,,28111,EUR,594950400,D,4,4,False,54.0,40.0,5.0,1.0,29.0,37.0,11.0,17.0,6.0,3.0,,,,74.0,62.0,6.6,14.0,0,,,1.0,1.0,9.0,,,1.0,,,,,8.0,,True,,,,,,,,,,,,,,,,,
10382006,home,FC Emmen,Jeff Hardeveld,,,jeff-hardeveld,J. Hardeveld,M,184,73,M,385300,EUR,793843200,D,3,3,False,45.0,36.0,9.0,5.0,16.0,20.0,20.0,26.0,2.0,6.0,,,,90.0,70.0,7.2,14.0,1,1.0,,1.0,4.0,5.0,1.0,,3.0,3.0,,1.0,2,1.0,3.0,,1.0,1.0,1.0,,,,,,,,,,,,,,
10382006,home,FC Emmen,Jari Vlak,,,jari-vlak,J. Vlak,M,191,123,M,932652,EUR,903139200,M,20,20,False,69.0,56.0,8.0,4.0,25.0,31.0,31.0,39.0,4.0,10.0,,,,90.0,84.0,7.3,17.0,2,1.0,,3.0,5.0,1.0,,,1.0,1.0,,,8,,2.0,,1.0,2.0,,1.0,1.0,,,,,,,,,,,,
10382006,home,FC Emmen,Lucas Bernadou,,,bernadou-lucas,L. Bernadou,M,178,53,M,997187,EUR,969753600,M,8,8,False,52.0,51.0,2.0,2.0,24.0,24.0,27.0,28.0,1.0,8.0,,,,90.0,69.0,7.4,2.0,1,,,2.0,4.0,6.0,1.0,1.0,5.0,2.0,,1.0,6,,,,1.0,,,1.0,,1.0,1.0,1.0,,,,,,,,,
10382006,home,FC Emmen,Rui Mendes,,,rui-mendes,R. Mendes,F,180,126,M,940979,EUR,942192000,M,7,7,False,45.0,33.0,1.0,,9.0,10.0,25.0,37.0,,6.0,,,,90.0,57.0,8.1,17.0,2,2.0,1.0,3.0,8.0,4.0,,,,,1.0,2.0,27,1.0,,,1.0,2.0,1.0,4.0,1.0,2.0,,6.0,1.0,1.0,,,,,,,
10382006,home,FC Emmen,Mark Diemers,,,mark-diemers,M. Diemers,M,175,198,M,252123,EUR,750297600,M,10,10,False,49.0,45.0,3.0,3.0,8.0,8.0,38.0,46.0,,4.0,,,,74.0,60.0,7.3,10.0,1,5.0,1.0,,2.0,3.0,1.0,,1.0,,1.0,,10,,,,1.0,,2.0,,,,1.0,2.0,1.0,,,,,,,,
10382006,home,FC Emmen,Ole Romeny,,,ole-romeny,O. Romeny,F,185,13950,M,921948,EUR,961459200,M,77,77,False,36.0,31.0,2.0,2.0,10.0,11.0,21.0,26.0,2.0,7.0,,,,88.0,59.0,7.0,16.0,4,1.0,,,7.0,3.0,,,2.0,2.0,2.0,1.0,11,1.0,,,3.0,2.0,,4.0,1.0,,1.0,2.0,,,oleromeny,1.0,,,,,
