match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_errorLeadToAGoal,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_goalAssist,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_duelLost,stat_challengeLost,stat_totalContest,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_expectedGoals,stat_keyPass,stat_shotOffTarget,stat_dispossessed,captain,stat_wonContest,stat_goals,stat_expectedGoalsOnTarget,stat_bigChanceCreated,stat_bigChanceMissed,stat_totalOffside,stat_hitWoodwork,stat_goodHighClaim,stat_outfielderBlock,stat_clearanceOffLine
10385607,home,Arsenal,Aaron Ramsdale,,,aaron-ramsdale,A. Ramsdale,G,32,191,8533,M,ARamsdale,839410,EUR,895104000,G,1,1,False,23.0,18.0,5.0,1.0,15.0,17.0,3.0,6.0,1.0,1.0,1.0,6.0,1.0,2.0,3.0,1.0,90.0,31.0,5.5,5.0,0.00054654,0,-1.348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10385607,home,Arsenal,Ben White,,,benjamin-white,B. White,D,4,186,13830,M,benwhite,846036,EUR,876268800,D,4,4,False,78.0,68.0,2.0,,19.0,22.0,50.0,60.0,,3.0,,11.0,,,,,90.0,100.0,6.7,16.0,0.161709,2,,1.0,4.0,1.0,2.0,5.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0747,1.0,,,,,,,,,,,,,
10385607,home,Arsenal,Rob Holding,,,rob-holding,R. Holding,D,6,189,1055,M,,793228,EUR,811555200,D,16,16,False,89.0,78.0,8.0,5.0,45.0,49.0,33.0,40.0,6.0,8.0,,7.0,,,,,90.0,95.0,6.5,13.0,0.0210251,1,,,,,2.0,3.0,1.0,,,,,1.0,1.0,,1.0,,0.0726,,1.0,,,,,,,,,,,,
10385607,home,Arsenal,Gabriel Magalhães,,,gabriel-magalhaes,Gabriel,D,6,190,49131,M,GabrielMagalhães,869792,EUR,882489600,D,6,6,False,82.0,77.0,7.0,5.0,32.0,34.0,45.0,49.0,2.0,4.0,1.0,6.0,,,,,90.0,89.0,6.6,6.0,0.0289393,0,,,1.0,,,1.0,1.0,,,,1.0,1.0,1.0,,1.0,,,1.0,,,,,,,,,,,,,
10385607,home,Arsenal,Oleksandr Zinchenko,,,oleksandr-zinchenko,O. Zinchenko,D,47,175,18055,M,OZinchenko,287643,EUR,850608000,D,35,35,False,73.0,61.0,5.0,2.0,16.0,17.0,45.0,59.0,1.0,2.0,2.0,8.0,,,,,72.0,91.0,6.0,16.0,0.0811725,1,,,3.0,,2.0,5.0,1.0,,,,,,,,1.0,1.0,0.0257,,1.0,1.0,,,,,,,,,,,
10385607,home,Arsenal,Martin Ødegaard,,,martin-odegaard,M. Ødegaard,M,8,178,78911,M,Ødegaard,547410,EUR,913852800,M,8,8,False,64.0,55.0,1.0,1.0,7.0,9.0,48.0,57.0,,3.0,,2.0,,,,,90.0,82.0,7.2,17.0,0.190146,4,,,2.0,,1.0,7.0,1.0,6.0,1.0,1.0,1.0,1.0,1.0,2.0,,1.0,0.2717,1.0,2.0,,True,2.0,1.0,0.2713,,,,,,,
10385607,home,Arsenal,Thomas Partey,,,thomas-partey,T. Partey,M,16,185,42575,M,TPartey5,316148,EUR,739929600,M,5,5,False,86.0,78.0,12.0,9.0,23.0,25.0,55.0,61.0,,7.0,,10.0,,,,,90.0,100.0,7.3,8.0,0.223972,2,,,,,1.0,7.0,4.0,1.0,,1.0,1.0,5.0,2.0,,1.0,2.0,0.0975,1.0,1.0,,,1.0,,,,,,,,,
10385607,home,Arsenal,Fábio Vieira,,,fabio-vieira,F. Vieira,M,20,170,6618,M,fabiodfvieira,904835,EUR,959644800,M,21,21,False,29.0,22.0,2.0,,5.0,6.0,18.0,25.0,1.0,2.0,,1.0,,,,,57.0,36.0,6.7,9.0,0.206767,2,,,2.0,1.0,,,,,,,,,,1.0,1.0,,0.1043,1.0,2.0,,,,,,,,,,,,
10385607,home,Arsenal,Bukayo Saka,,,bukayo-saka,B. Saka,F,7,178,182271,M,BSaka7,934235,EUR,999648000,F,7,7,False,42.0,37.0,,,4.0,5.0,35.0,45.0,1.0,11.0,,4.0,,,,,90.0,67.0,9.0,16.0,0.492791,2,,1.0,8.0,2.0,2.0,8.0,1.0,5.0,1.0,1.0,,3.0,2.0,1.0,5.0,1.0,0.278,5.0,,1.0,,2.0,1.0,0.6133,1.0,,,,,,
10385607,home,Arsenal,Gabriel Jesus,,,gabriel-jesus,G. Jesus,F,9,175,74471,M,GabrielJesus,794839,EUR,860025600,F,9,9,False,24.0,18.0,3.0,2.0,6.0,7.0,12.0,17.0,2.0,7.0,,2.0,,,,,90.0,49.0,6.8,17.0,0.0869973,6,,,,,1.0,10.0,,4.0,1.0,3.0,,2.0,1.0,3.0,1.0,2.0,1.1382,1.0,2.0,5.0,,2.0,,0.0377,,1.0,1.0,,,,
10385607,home,Arsenal,Gabriel Martinelli,,,gabriel-martinelli,G. Martinelli,F,11,180,68888,M,GabiMartinelli,922573,EUR,992822400,F,11,11,False,47.0,37.0,,,5.0,5.0,34.0,48.0,1.0,7.0,,3.0,,,,,85.0,72.0,8.4,20.0,0.474791,2,,,6.0,2.0,,5.0,1.0,6.0,1.0,,,1.0,1.0,3.0,1.0,1.0,0.3612,6.0,1.0,1.0,,4.0,1.0,0.2504,1.0,,,,,,
10385607,home,Arsenal,Leandro Trossard,,,leandro-trossard,L. Trossard,F,19,172,31477,M,leandrotrossard,135666,EUR,786499200,F,19,19,True,24.0,21.0,1.0,1.0,3.0,4.0,20.0,23.0,,,,4.0,,,,,33.0,33.0,6.9,5.0,0.118198,1,,,3.0,2.0,,1.0,1.0,,,,,,,1.0,,,0.0639,,1.0,,,,,,,,,1.0,,,
