match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_totalCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_wonContest,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_aerialWon,stat_shotOffTarget,stat_outfielderBlock,stat_wasFouled,stat_expectedGoals,captain,stat_blockedScoringAttempt,stat_accurateCross,stat_dispossessed,stat_clearanceOffLine,stat_keyPass,stat_hitWoodwork,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_totalOffside,stat_expectedGoalsOnTarget,stat_bigChanceCreated,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_lastManTackle,stat_goalAssist,stat_goals
11352403,home,Liverpool,Alisson,alisson,Alisson,G,1,193,64760,M,AlissonBecker,243609,EUR,717984000,G,1,1,False,33.0,30.0,3.0,1.0,26.0,28.0,4.0,5.0,1.0,8.0,2.0,3.0,90.0,46.0,6.8,4.0,0.00156209,0,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11352403,home,Liverpool,Conor Bradley,bradley-conor,C. Bradley,D,12,181,15946,M,conorbradley03,1008402,EUR,1057708800,D,84,84,False,31.0,21.0,3.0,1.0,11.0,14.0,10.0,18.0,1.0,4.0,,,48.0,44.0,6.6,13.0,0.0171254,0,,,,1.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
11352403,home,Liverpool,Ibrahima Konaté,ibrahima-konate,I. Konaté,D,5,195,27499,M,ibrahimakonate,826215,EUR,927590400,D,5,5,False,103.0,87.0,8.0,2.0,45.0,48.0,42.0,55.0,4.0,6.0,,,90.0,119.0,7.4,18.0,0.0310875,2,,,,,2.0,3.0,9.0,,1.0,,1.0,3.0,2.0,1.0,,5.0,2.0,1.0,1.0,0.1952,,,,,,,,,,,,,,,,,,
11352403,home,Liverpool,Virgil van Dijk,virgil-van-dijk,V. van Dijk,D,4,195,98613,M,VvD,151545,EUR,678931200,D,4,4,False,123.0,114.0,7.0,4.0,55.0,57.0,59.0,66.0,2.0,5.0,,,90.0,137.0,8.0,11.0,0.0740735,4,,,,,,1.0,9.0,,,,1.0,3.0,2.0,2.0,1.0,6.0,3.0,1.0,,0.149,True,1.0,,,,,,,,,,,,,,,,
11352403,home,Liverpool,Andrew Robertson,andrew-robertson,A. Robertson,D,26,178,24820,M,andyrobertson94,262911,EUR,763344000,D,26,26,False,86.0,76.0,7.0,4.0,31.0,32.0,51.0,67.0,1.0,4.0,,,90.0,120.0,7.8,22.0,0.261894,0,,,,13.0,2.0,8.0,1.0,2.0,1.0,,1.0,1.0,1.0,1.0,,,,1.0,,,,,6.0,3.0,1.0,4.0,,,,,,,,,,,,
11352403,home,Liverpool,Alexis Mac Allister,alexis-mac-allister,A. Mac Allister,M,10,176,71412,M,Macca10,895324,EUR,914457600,M,10,10,False,90.0,77.0,7.0,5.0,26.0,27.0,52.0,65.0,1.0,10.0,,,90.0,113.0,7.1,23.0,0.204131,1,,,,2.0,,12.0,12.0,5.0,1.0,,,7.0,4.0,2.0,2.0,3.0,,,2.0,0.1231,,1.0,1.0,4.0,,2.0,,,,,,,,,,,,
11352403,home,Liverpool,Wataru Endo,wataru-endo,W. Endo,M,3,178,19869,M,endowataru,143040,EUR,729216000,M,3,3,False,53.0,42.0,3.0,1.0,22.0,25.0,20.0,28.0,,2.0,,,45.0,63.0,7.0,14.0,0.00705525,1,,,,,,1.0,4.0,,2.0,1.0,,2.0,2.0,2.0,,1.0,1.0,,,0.1457,,,,,,,1.0,,,,,,,,,,,
11352403,home,Liverpool,Curtis Jones,curtis-jones,C. Jones,M,17,185,17569,M,curtisjones,927353,EUR,980812800,M,17,17,False,47.0,43.0,,,20.0,21.0,24.0,27.0,,5.0,,,82.0,71.0,6.2,13.0,0.145522,2,,,,1.0,,10.0,5.0,,1.0,,1.0,4.0,1.0,2.0,4.0,,1.0,,1.0,0.673,,1.0,1.0,5.0,,,,1.0,,,,,,,,,,
11352403,home,Liverpool,Mohamed Salah,mohamed-salah,M. Salah,M,11,175,565083,M,MoSalah,159665,EUR,708566400,F,11,11,False,24.0,19.0,3.0,3.0,4.0,5.0,17.0,21.0,,4.0,,,90.0,46.0,6.8,15.0,0.279399,2,,,,2.0,1.0,7.0,2.0,1.0,2.0,,,,,6.0,1.0,,,,2.0,0.394,,1.0,2.0,2.0,,5.0,,1.0,1.0,1.0,0.2369,,,,,,,
11352403,home,Liverpool,Darwin Núñez,darwin-nunez,D. Núñez,F,7,188,70760,M,Darwin,924871,EUR,930182400,F,9,9,False,13.0,8.0,,,1.0,1.0,7.0,13.0,,2.0,,,66.0,24.0,6.9,8.0,0.0930377,3,,,,1.0,3.0,4.0,6.0,1.0,1.0,1.0,,1.0,,2.0,,3.0,,,1.0,0.246,,1.0,,,,,,1.0,2.0,1.0,0.0851,,,,,,,
