match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_ballRecovery,stat_wasFouled,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_duelLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_bigChanceMissed,stat_shotOffTarget,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_fouls,captain,stat_blockedScoringAttempt,stat_outfielderBlock,stat_unsuccessfulTouch,stat_keyPass,player_sofascoreId,stat_bigChanceCreated,stat_onTargetScoringAttempt,stat_challengeLost,player_firstName,player_lastName,stat_goals,stat_errorLeadToAGoal,stat_goodHighClaim,stat_punches,stat_hitWoodwork,stat_totalOffside
11352608,home,Fulham,Bernd Leno,bernd-leno,B. Leno,G,1,190,2695,M,103335,EUR,699667200,G,17,17,False,22.0,17.0,8.0,3.0,14.0,14.0,3.0,8.0,1.0,1.0,2.0,1.0,2.0,2.0,90.0,27.0,7.1,5.0,0.0,0.0,0.00032566,0,0.8701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11352608,home,Fulham,Kenny Tete,kenny-tete,K. Tete,D,2,180,1146,M,190877,EUR,813196800,D,2,2,False,87.0,78.0,,,22.0,22.0,59.0,72.0,1.0,4.0,4.0,2.0,,,90.0,117.0,7.4,18.0,0.1932,0.0,0.128853,1,,7.0,3.0,1.0,5.0,1.0,4.0,1.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,
11352608,home,Fulham,Issa Diop,issa-diop,I. Diop,D,31,194,838,M,825719,EUR,852768000,D,31,31,False,163.0,156.0,5.0,,62.0,64.0,94.0,99.0,1.0,2.0,5.0,,,,90.0,168.0,7.2,8.0,0.0,0.0,0.0486595,0,,,,1.0,3.0,1.0,,,,,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
11352608,home,Fulham,Tim Ream,tim-ream,T. Ream,D,3,185,548,M,118179,EUR,560390400,D,13,13,False,148.0,140.0,8.0,5.0,56.0,58.0,84.0,90.0,2.0,6.0,8.0,1.0,,,90.0,156.0,7.7,9.0,0.0,0.0,0.0562623,0,,,,3.0,4.0,,1.0,,,,3.0,,3.0,2.0,,True,,,,,,,,,,,,,,,,
11352608,home,Fulham,Timothy Castagne,timothy-castagne,T. Castagne,D,21,185,2321,M,329417,EUR,818121600,D,21,21,False,61.0,55.0,3.0,2.0,27.0,31.0,29.0,32.0,,6.0,8.0,1.0,,,90.0,88.0,7.6,11.0,0.0353,0.0,0.141486,1,,2.0,1.0,3.0,4.0,1.0,1.0,1.0,,,2.0,2.0,4.0,3.0,1.0,,1.0,1.0,3.0,1.0,,,,,,,,,,,,
11352608,home,Fulham,Harrison Reed,harrison-reed,H. Reed,M,6,176,353,M,365802,EUR,791164800,M,6,6,False,48.0,45.0,2.0,1.0,16.0,17.0,29.0,32.0,,,3.0,,,,62.0,56.0,6.7,7.0,0.0,0.0,0.0247251,0,,1.0,,2.0,2.0,,,,,,1.0,,,,,,,,2.0,,,,,,,,,,,,,
11352608,home,Fulham,João Palhinha,joao-palhinha,J. Palhinha,M,6,189,16491,M,364612,EUR,805248000,M,26,26,False,82.0,73.0,5.0,3.0,30.0,33.0,43.0,49.0,4.0,10.0,8.0,1.0,,,90.0,100.0,7.4,10.0,0.0703,0.0,0.0234625,3,,,,3.0,6.0,1.0,,,,1.0,,1.0,5.0,1.0,2.0,,2.0,,,,Palhinha,,,,,,,,,,,
11352608,home,Fulham,Andreas Pereira,andreas-pereira,A. Pereira,M,8,177,14092,M,285949,EUR,820454400,M,18,18,False,41.0,30.0,4.0,3.0,5.0,6.0,28.0,42.0,1.0,2.0,3.0,1.0,,,81.0,56.0,7.5,20.0,0.0,0.0,0.353119,0,,7.0,3.0,,3.0,3.0,,,,,1.0,,,,,,,,2.0,4.0,andreaspereira,1.0,,,,,,,,,,
11352608,home,Fulham,Harry Wilson,harry-wilson,H. Wilson,M,8,173,4932,M,355528,EUR,858988800,F,8,8,False,44.0,40.0,1.0,1.0,14.0,15.0,26.0,30.0,,3.0,3.0,3.0,,,81.0,54.0,7.3,8.0,0.1013,0.0213,0.0599978,2,,1.0,,,2.0,1.0,,,,1.0,,,,,1.0,,,,2.0,1.0,,,1.0,,,,,,,,,
11352608,home,Fulham,Raúl Jiménez,raul-jimenez,R. Jiménez,F,7,189,17432,M,192442,EUR,673401600,F,7,7,False,12.0,10.0,1.0,1.0,2.0,2.0,8.0,11.0,1.0,1.0,1.0,,,,62.0,21.0,6.5,9.0,0.0665,0.0,0.0236875,1,,1.0,,3.0,6.0,1.0,,,,1.0,,,,,,,,,5.0,,RJimenez9,,,2.0,,,,,,,,
11352608,home,Fulham,Willian,willian,Willian,F,88,175,9698,M,31417,EUR,587088000,F,20,20,False,41.0,38.0,5.0,5.0,9.0,10.0,29.0,34.0,,5.0,1.0,2.0,,,89.0,64.0,7.4,12.0,0.0666,0.0,0.0961832,2,,3.0,,2.0,7.0,1.0,4.0,1.0,,,1.0,2.0,2.0,1.0,,,2.0,,2.0,3.0,willianborges88,,,1.0,,,,,,,,
