match_id,side,team,player_name,player_slug,player_shortName,player_position,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,player_jerseyNumber,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalContest,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_wonContest,stat_outfielderBlock,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_challengeLost,stat_shotOffTarget,stat_dispossessed,stat_keyPass,captain,stat_goals,stat_goalAssist,stat_accurateCross,stat_hitWoodwork,stat_errorLeadToAShot,stat_totalOffside,player_sofascoreId,stat_bigChanceCreated,stat_bigChanceMissed
10390073,home,Auxerre,Benoît Costil,benoit-costil,B. Costil,G,188,146,M,26965,EUR,552268800,G,23,23,False,28.0,23.0,20.0,16.0,10.0,11.0,13.0,17.0,1.0,7.0,1.0,1.0,1.0,1.0,90.0,33.0,7.2,5.0,0.0,0.0,0.0055804,0,0.1882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10390073,home,Auxerre,Rayan Raveloson,rayan-raveloson,R. Raveloson,M,182,2740,M,757742,EUR,853372800,D,97,97,False,39.0,33.0,3.0,2.0,15.0,17.0,18.0,24.0,3.0,5.0,,,,,90.0,57.0,7.2,10.0,0.0859,0.1693,0.0122798,2,,,,45,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
10390073,home,Auxerre,Jubal,jubal,Jubal,D,190,384,M,329195,EUR,746582400,D,4,4,False,28.0,21.0,7.0,3.0,17.0,20.0,4.0,8.0,10.0,5.0,,,,,90.0,48.0,7.4,8.0,0.0,0.0,0.00457061,0,,,,5,,3.0,2.0,5.0,5.0,1.0,,,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,
10390073,home,Auxerre,Julian Jeanvier,julian-jeanvier,J. Jeanvier,D,183,630,M,250477,EUR,702000000,D,27,27,False,33.0,25.0,7.0,3.0,20.0,24.0,5.0,9.0,11.0,2.0,,,,,90.0,49.0,7.3,8.0,0.1328,0.0,0.000798943,1,,,,,,2.0,2.0,3.0,4.0,,,,2.0,2.0,2.0,,,,,,1.0,1.0,,,,,,,,,,,,
10390073,home,Auxerre,Gideon Mensah,gideon-mensah,G. Mensah,D,177,2401,M,844942,EUR,900720000,D,14,14,False,41.0,31.0,8.0,1.0,21.0,22.0,10.0,20.0,1.0,10.0,,,,,90.0,70.0,7.3,18.0,0.0,0.0,0.00676989,0,,,,14,1.0,1.0,2.0,5.0,7.0,3.0,,,4.0,4.0,2.0,1.0,,1.0,,2.0,,,,,,,,,,,,,,
10390073,home,Auxerre,Lassine Sinayoko,sinayoko-lassine,L. Sinayoko,F,186,10455,M,927005,EUR,944611200,M,17,17,False,30.0,20.0,1.0,,9.0,9.0,11.0,23.0,2.0,4.0,,,,,83.0,44.0,6.8,15.0,0.1304,0.0,0.0394145,2,,,,10,2.0,1.0,,3.0,2.0,2.0,,1.0,,,,2.0,,2.0,,1.0,,1.0,1.0,1.0,,,,,,,,,,
10390073,home,Auxerre,Birama Touré,birama-toure,B. Touré,M,183,136,M,246507,EUR,707788800,M,12,12,False,35.0,26.0,4.0,2.0,19.0,22.0,7.0,13.0,1.0,8.0,,,,,90.0,50.0,6.9,14.0,0.0,0.0,0.00262601,0,,,,60,,1.0,3.0,4.0,8.0,1.0,,,,3.0,2.0,1.0,,4.0,2.0,2.0,,,1.0,,True,,,,,,,,,
10390073,home,Auxerre,Hamza Sakhi,hamza-sakhi,H. Sakhi,M,172,812,M,340547,EUR,834105600,M,22,22,False,41.0,39.0,5.0,5.0,13.0,13.0,26.0,30.0,1.0,3.0,,,,,90.0,53.0,8.2,4.0,0.1495,0.9166,0.0547807,3,,,,78,2.0,,,,4.0,,2.0,,,2.0,2.0,,,,2.0,,,1.0,,3.0,,1.0,,,,,,,,
10390073,home,Auxerre,Mathias Autret,mathias-autret,M. Autret,M,179,39,M,101451,EUR,667785600,M,29,29,False,15.0,14.0,2.0,2.0,8.0,9.0,8.0,8.0,,5.0,,,,,64.0,32.0,7.5,5.0,0.3296,0.3684,0.225138,3,,,,,2.0,2.0,,4.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,,2.0,,,,1.0,1.0,3.0,,,1.0,2.0,,,,,,
10390073,home,Auxerre,M'Baye Niang,mbaye-niang,M. Niang,F,188,1652,M,139228,EUR,787795200,F,11,11,False,14.0,8.0,1.0,1.0,4.0,5.0,4.0,9.0,2.0,2.0,,,,,56.0,24.0,5.9,10.0,0.0,0.0,0.00363133,0,,,,29,,7.0,5.0,12.0,8.0,1.0,,,,,,,1.0,2.0,3.0,2.0,2.0,,1.0,,,,,,,,,,,
