match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,player_firstName,player_lastName,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalContest,stat_wonContest,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_totalCross,stat_accurateCross,stat_bigChanceCreated,stat_wasFouled,stat_keyPass,stat_outfielderBlock,player_sofascoreId,stat_challengeLost,stat_dispossessed,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_goals,stat_blockedScoringAttempt,captain,stat_totalOffside,stat_bigChanceMissed,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_goalAssist
11703892,home,SC Freiburg,Florian Müller,florian-muller,F. Müller,G,21,190,203,M,842858,EUR,879379200,G,21,21,False,28.0,23.0,8.0,5.0,22.0,23.0,1.0,5.0,1.0,9.0,90.0,35.0,6.0,5.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11703892,home,SC Freiburg,Kiliann Sildillia,kiliann-sildillia,K. Sildillia,D,25,186,666,M,1014222,EUR,1021507200,D,25,25,False,79.0,70.0,7.0,7.0,35.0,39.0,35.0,40.0,2.0,4.0,88.0,101.0,6.6,15.0,0,,,5.0,1.0,9.0,5.0,5.0,2.0,1.0,2.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
11703892,home,SC Freiburg,Matthias Ginter,matthias-ginter,M. Ginter,D,28,189,886,M,142259,EUR,758937600,D,28,28,False,78.0,70.0,6.0,1.0,41.0,42.0,30.0,38.0,2.0,10.0,90.0,97.0,6.8,11.0,0,,,2.0,3.0,4.0,7.0,1.0,1.0,1.0,,,1.0,2.0,2.0,1.0,1.0,3.0,1.0,,,,,,,,,,,,,,,,,
11703892,home,SC Freiburg,Manuel Gulde,manuel-gulde,M. Gulde,D,,184,62,M,71952,EUR,666316800,D,5,5,False,34.0,29.0,2.0,2.0,22.0,23.0,7.0,11.0,,6.0,45.0,37.0,6.4,5.0,0,,,,1.0,2.0,3.0,,,,,,,2.0,,,,2.0,,1.0,,,,,,,,,,,,,,,,
11703892,home,SC Freiburg,Ritsu Doan,ritsu-doan,R. Doan,M,20,172,5676,M,790965,EUR,897955200,M,42,42,False,35.0,21.0,2.0,,6.0,7.0,16.0,35.0,1.0,4.0,90.0,65.0,7.0,27.0,3,,,2.0,3.0,11.0,12.0,8.0,4.0,,1.0,1.0,1.0,1.0,7.0,1.0,,4.0,2.0,,doanritsu,2.0,2.0,1.0,2.0,,,,,,,,,,,
11703892,home,SC Freiburg,Maximilian Eggestein,maximilian-eggestein,M. Eggestein,M,8,181,429,M,569784,EUR,850003200,M,8,8,False,46.0,42.0,,,15.0,15.0,27.0,32.0,,5.0,88.0,59.0,7.0,10.0,2,,,,,6.0,1.0,1.0,,,,,1.0,1.0,1.0,,,1.0,1.0,,,1.0,3.0,,2.0,1.0,,,,,,,,,,
11703892,home,SC Freiburg,Nicolas Höfler,nicolas-hofler,N. Höfler,M,27,181,162,M,49639,EUR,636940800,M,27,27,False,57.0,47.0,4.0,2.0,16.0,19.0,31.0,38.0,,3.0,90.0,71.0,7.2,11.0,4,,,,,1.0,6.0,,,1.0,3.0,1.0,,,,,,3.0,1.0,,,,1.0,2.0,1.0,,1.0,,,,,,,,,
11703892,home,SC Freiburg,Noah Weißhaupt,noah-weisshaupt,N. Weißhaupt,F,10,181,339,M,1048820,EUR,1000944000,M,7,7,False,30.0,25.0,4.0,2.0,13.0,13.0,15.0,23.0,1.0,9.0,90.0,55.0,6.6,17.0,0,,,,,4.0,3.0,2.0,,,,,3.0,,6.0,3.0,,3.0,3.0,,,1.0,1.0,,,,,,,,,,,,,
11703892,home,SC Freiburg,Junior Adamu,chukwubuike-adamu,J. Adamu,F,9,183,1126,M,902381,EUR,991785600,F,20,20,False,9.0,7.0,,,,,7.0,9.0,1.0,1.0,45.0,16.0,6.3,7.0,0,,,1.0,1.0,6.0,1.0,,,,,,2.0,2.0,,,,,,,,,3.0,,,,,,,,,,,,,
11703892,home,SC Freiburg,Michael Gregoritsch,michael-gregoritsch,M. Gregoritsch,F,38,193,1519,M,111483,EUR,766627200,F,38,38,False,9.0,5.0,1.0,,2.0,2.0,3.0,7.0,1.0,1.0,90.0,20.0,6.9,5.0,4,,,4.0,4.0,6.0,5.0,,,,1.0,1.0,1.0,,,,,,,,,2.0,,1.0,1.0,,2.0,,,,,,,,,
