match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_totalShots,stat_totalCross,stat_accurateCross,stat_duelLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_totalOffside,stat_possessionLostCtrl,stat_keyPass,stat_aerialLost,stat_bigChanceMissed,player_firstName,player_lastName,stat_challengeLost,stat_onTargetScoringAttempt,player_sofascoreId,stat_bigChanceCreated,stat_hitWoodwork,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_errorLeadToAShot
10913512,home,Al-Ittihad,Marcelo Grohe,marcelo-grohe,M. Grohe,G,43,188.0,626,M,39427,EUR,537494400.0,G,34,34,False,True,11.0,11.0,1.0,1.0,10.0,10.0,1.0,1.0,1.0,1.0,2.0,7.0,1.0,1.0,90.0,20.0,7.2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10913512,home,Al-Ittihad,Madallah Al-Olayan,madallah-al-olayan,M. Al-Olayan,D,33,170.0,81,M,818813,EUR,777772800.0,D,33,33,False,,81.0,71.0,5.0,1.0,26.0,27.0,46.0,57.0,,9.0,,12.0,,,90.0,115.0,7.6,1,3.0,1.0,4.0,1.0,4.0,2.0,1.0,2.0,4.0,2.0,2.0,3.0,1.0,1.0,17.0,1.0,,,,,,,,,,,,
10913512,home,Al-Ittihad,Omar Hawsawi,omar-hawsawi,O. Hawsawi,D,,184.0,54,M,350072,EUR,496627200.0,D,5,5,False,,51.0,46.0,4.0,1.0,32.0,34.0,14.0,17.0,2.0,2.0,3.0,6.0,,,90.0,56.0,6.7,1,,,2.0,,,,1.0,,,,,,,,5.0,,2.0,1.0,,,,,,,,,,
10913512,home,Al-Ittihad,Ahmed Sharahili,ahmed-sharahili,A. Sharahili,D,20,184.0,296,M,794331,EUR,768355200.0,D,20,20,False,,58.0,56.0,3.0,3.0,35.0,37.0,21.0,21.0,6.0,8.0,2.0,8.0,,,90.0,63.0,7.3,1,,,4.0,,,,1.0,,2.0,,,,2.0,,2.0,,2.0,,,,,,,,,,,
10913512,home,Al-Ittihad,Ahmed Bamasud,ahmed-bamasud,A. Bamasud,D,18,175.0,114,M,893197,EUR,816998400.0,D,95,95,False,,39.0,32.0,3.0,,21.0,21.0,11.0,19.0,1.0,6.0,1.0,8.0,,,66.0,58.0,7.1,1,1.0,,4.0,,3.0,2.0,,,3.0,2.0,1.0,,1.0,,10.0,1.0,1.0,,,,1.0,1.0,,,,,,
10913512,home,Al-Ittihad,Bruno Henrique,bruno-henrique,B. Henrique,M,8,180.0,899,M,345113,EUR,624931200.0,M,19,19,False,,106.0,97.0,11.0,6.0,37.0,37.0,61.0,72.0,2.0,3.0,,6.0,,,90.0,117.0,6.9,3,3.0,1.0,9.0,1.0,1.0,,3.0,,,,,1.0,2.0,,13.0,,5.0,,,,,,,,,,,
10913512,home,Al-Ittihad,Tarek Hamed,hamed-tarek,T. Hamed,M,8,165.0,561,M,560168,EUR,593654400.0,M,3,3,False,,109.0,102.0,7.0,6.0,45.0,47.0,57.0,63.0,1.0,3.0,,9.0,,,90.0,122.0,6.9,0,1.0,,6.0,,4.0,1.0,,2.0,,,1.0,2.0,2.0,,13.0,,1.0,,,,,,,,,,,
10913512,home,Al-Ittihad,Hélder Costa,helder-costa,H. Costa,F,,178.0,550,,138891,EUR,758332800.0,M,17,17,False,,27.0,23.0,,,5.0,5.0,18.0,22.0,,1.0,,1.0,,,87.0,43.0,6.3,2,,,10.0,2.0,4.0,1.0,1.0,,,,3.0,,4.0,1.0,13.0,2.0,1.0,,,,,1.0,,,,,,
10913512,home,Al-Ittihad,Igor Coronado,igor-coronado,I. Coronado,M,77,170.0,5336,M,152098,EUR,714096000.0,M,10,10,False,,51.0,41.0,4.0,3.0,8.0,9.0,36.0,56.0,,9.0,,5.0,,,90.0,92.0,7.8,3,14.0,3.0,10.0,1.0,9.0,3.0,2.0,,4.0,3.0,1.0,2.0,1.0,,33.0,4.0,1.0,,,,1.0,1.0,igor_coronado,2.0,,,,
10913512,home,Al-Ittihad,Abdulaziz Al-Bishi,abdulaziz-al-bishi,A. Al-Bishi,M,22,172.0,241,M,791417,EUR,763344000.0,M,11,11,False,,13.0,12.0,,,5.0,5.0,7.0,8.0,,4.0,,3.0,,,45.0,24.0,6.7,1,,,6.0,1.0,1.0,1.0,,,2.0,2.0,3.0,1.0,1.0,,5.0,,1.0,,,,3.0,1.0,,,,,,
10913512,home,Al-Ittihad,Romarinho,romarinho,Romarinho,M,,176.0,1742,M,797619,EUR,660960000.0,F,90,90,False,,59.0,52.0,,,9.0,9.0,43.0,50.0,,6.0,,1.0,,,90.0,73.0,7.3,1,,,4.0,,7.0,5.0,1.0,,,,3.0,1.0,1.0,,13.0,2.0,1.0,,,,,,,,,,,
10913512,home,Al-Ittihad,Haroune Camara,haroune-camara,H. Camara,F,70,187.0,2967,M,926730,EUR,883612800.0,F,70,70,True,,5.0,2.0,,,,,2.0,5.0,2.0,5.0,,1.0,,,45.0,16.0,6.6,3,,,3.0,1.0,3.0,2.0,2.0,,,,3.0,1.0,,4.0,8.0,,,1.0,,,1.0,1.0,,,1.0,,,
10913512,home,Al-Ittihad,Zakaria Hawsawi,zakaria-al-hawsawi,Z. Hawsawi,D,2,175.0,153,M,1398854,EUR,979171200.0,D,12,12,True,,18.0,14.0,,,3.0,3.0,11.0,15.0,,4.0,,3.0,,,24.0,31.0,6.8,0,,,3.0,1.0,3.0,2.0,,,2.0,2.0,,,1.0,,7.0,1.0,,,Zakaria Al Hawsawi,,,,,,,,,
