match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_totalCross,stat_accurateCross,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_wonContest,stat_onTargetScoringAttempt,stat_totalClearance,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_totalOffside,stat_aerialLost,stat_aerialWon,stat_wasFouled,stat_fouls,captain,stat_unsuccessfulTouch,stat_dispossessed,stat_shotOffTarget,stat_bigChanceMissed,stat_blockedScoringAttempt,stat_hitWoodwork,stat_keyPass,player_sofascoreId,stat_bigChanceCreated
10433871,home,Trabzonspor,Andreas Cornelius,,,andreas-cornelius,A. Cornelius,F,14,193,839,M,183483,EUR,732240000,F,14,14,False,26.0,15.0,1.0,1.0,1.0,2.0,14.0,24.0,,,,90.0,36.0,7.3,14.0,1,,,5.0,11.0,,2.0,2.0,,1.0,1.0,,,,,2.0,9.0,,3.0,,2.0,1.0,,,1.0,,1.0,,1.0
10433871,home,Trabzonspor,Jean-Philippe Gbamin,,,jean-philippe-gbamin,J. Gbamin,M,5,186,1191,M,326343,EUR,811987200,M,25,25,True,28.0,22.0,6.0,4.0,7.0,10.0,15.0,19.0,4.0,,,45.0,38.0,6.8,9.0,0,1.0,,4.0,6.0,2.0,1.0,1.0,,,1.0,,1.0,,,,3.0,1.0,1.0,,1.0,1.0,,,,,1.0,,
10433871,home,Trabzonspor,Jean Evrard Kouassi,,,jean-evrard-kouassi,J. Kouassi,M,17,174,586,M,156008,EUR,780451200,F,77,77,True,14.0,12.0,,,5.0,5.0,7.0,10.0,3.0,,,45.0,22.0,6.7,5.0,1,1.0,,1.0,2.0,,2.0,1.0,,1.0,,,,,,,,1.0,,,1.0,,1.0,,,,,,
10433871,home,Trabzonspor,Stefano Denswil,,,stefano-denswil,S. Denswil,D,4,188,263,M,97404,EUR,736732800,D,24,24,True,5.0,5.0,,,2.0,2.0,3.0,4.0,,,,13.0,9.0,6.7,1.0,0,1.0,,,1.0,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,
10433871,home,Trabzonspor,Doğucan Haspolat,,,dogucan-haspolat,D. Haspolat,M,34,177,453,M,846087,EUR,950227200,M,34,34,True,6.0,5.0,1.0,1.0,1.0,1.0,4.0,5.0,1.0,,,13.0,9.0,6.6,2.0,0,,,,1.0,,,,,1.0,,,,,,,1.0,,,,1.0,,,,,,,,
10433871,home,Trabzonspor,Yusuf Erdoğan,,,yusuf-erdogan,Y. Erdoğan,M,10,172,204,M,256663,EUR,713145600,M,32,32,True,2.0,,,,,,,2.0,1.0,,,8.0,7.0,6.6,5.0,0,,,2.0,2.0,,,,,,,1.0,,,,,1.0,1.0,1.0,,2.0,1.0,,,,,,,
10433871,home,Trabzonspor,Kağan Moradaoğlu,,,kagan-moradaoglu,K. Moradaoğlu,G,98,193,64,M,975748,EUR,1042156800,G,98,98,True,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10433871,home,Trabzonspor,Taha Altıkardeş,,,taha-altikardes,T. Altıkardeş,D,4,188,271,M,1101279,EUR,1061510400,D,22,22,True,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10433871,home,Trabzonspor,Mountassir Lahtimi,,,mountassir-lahtimi,M. Elhtemy,M,21,180,714,M,1013427,EUR,986083200,M,80,80,True,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10433871,home,Trabzonspor,Kerem Şen,Kerem Sen,,kerem-sen,K. Şen,M,16,175,57,M,1085376,EUR,1010966400,M,67,67,True,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
