match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_errorLeadToAShot,stat_unsuccessfulTouch,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_accurateOppositionHalfPasses,stat_totalCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_interceptionWon,stat_wasFouled,stat_fouls,stat_keyPass,stat_aerialLost,stat_bigChanceCreated,stat_onTargetScoringAttempt,stat_totalTackle,stat_wonTackle,stat_outfielderBlock,stat_lastManTackle,stat_challengeLost,stat_dispossessed,stat_accurateCross,stat_totalOffside,stat_bigChanceMissed,stat_blockedScoringAttempt,captain,stat_goals,stat_errorLeadToAGoal,stat_punches,stat_clearanceOffLine
12624983,away,Al-Qadsiah,Cameron Puertas,,,cameron-puertas,C. Puertas,M,18,178,1147,M,,916176,EUR,903398400,M,88,88,False,27.0,23.0,1.0,1.0,0.0,11.0,11.0,21.0,1.0,10.0,,1.0,,,,,,90.0,51.0,6.8,15.0,2,12.0,5.0,,14.0,7.0,2.0,,1.0,1.0,5.0,7.0,1.0,1.0,,1.0,2.0,1.0,,,1.0,3.0,,,,,,,,,
12624983,away,Al-Qadsiah,Turki Al-Ammar,,,turki-al-ammar,T. Al-Ammar,M,7,170,151,M,,965177,EUR,938044800,M,7,7,False,22.0,17.0,2.0,,1.0,12.0,12.0,11.0,,3.0,,,,,,,,76.0,34.0,7.0,5.0,0,6.0,1.0,,4.0,2.0,1.0,1.0,,2.0,1.0,1.0,1.0,1.0,,,,,1.0,,2.0,,1.0,,,,,,,,
12624983,away,Al-Qadsiah,Pierre-Emerick Aubameyang,,,pierre-emerick-aubameyang,P. Aubameyang,F,17,187,49593,M,Auba,51498,EUR,614131200,F,10,10,False,22.0,14.0,2.0,1.0,0.0,7.0,10.0,13.0,1.0,1.0,,3.0,,,,,,89.0,37.0,7.5,13.0,4,8.0,1.0,1.0,9.0,3.0,2.0,,,1.0,1.0,3.0,2.0,3.0,,4.0,1.0,,,,1.0,,1.0,1.0,,,,1.0,,,
12624983,away,Al-Qadsiah,Julián Quiñones,,,julian-quinones,J. Quiñones,F,33,180,6539,M,julianquinones33,843114,EUR,859161600,F,33,33,False,23.0,13.0,1.0,,1.0,2.0,6.0,17.0,,4.0,,6.0,,,,,,90.0,35.0,8.0,18.0,3,11.0,,2.0,7.0,2.0,,,1.0,,,3.0,2.0,2.0,1.0,1.0,,,,,,2.0,,,,1.0,,1.0,,,
12624983,away,Al-Qadsiah,Iker Almena,,,almena-iker,I. Almena,M,30,176,525,M,,1513656,EUR,1083628800,F,30,30,True,1.0,1.0,,,0.0,1.0,1.0,,,,,1.0,,,,,,14.0,3.0,6.5,1.0,0,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
12624983,away,Al-Qadsiah,Husain Al-Qahtani,,,husain-al-monassar,H. Al-Qahtani,M,52,177,32,M,,893218,EUR,787881600,M,15,15,True,2.0,2.0,,,0.0,1.0,1.0,1.0,1.0,,,,,,,,,11.0,4.0,6.5,,0,1.0,,,1.0,1.0,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,
12624983,away,Al-Qadsiah,Abdulaziz Al-Othman,Abdulaziz Al-Othman,,abdulaziz-al-othman,A. Al-Othman,F,91,182,92,M,,1884430,EUR,1073001600,F,66,66,True,,,,,0.0,,,,,1.0,,,,,,,,1.0,2.0,,1.0,1,,,,2.0,,1.0,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,
12624983,away,Al-Qadsiah,Ahmed Al-Kassar,,,ahmed-al-kassar,A. Al-Kassar,G,28,187,128,M,,818749,EUR,673660800,G,28,28,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12624983,away,Al-Qadsiah,Qasim Lajami,,,qasim-al-oujami,Q. Lajami,D,87,178,103,M,,818668,EUR,830390400,D,87,87,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12624983,away,Al-Qadsiah,Mohammed Qassem,,,mohammed-qassem,M. Qassem,D,24,176,146,M,,540426,EUR,790473600,D,24,24,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12624983,away,Al-Qadsiah,Abdulrahman Al Dosari,,,abdulrahman-al-dosari,A. A. Dosari,M,39,178,33,M,,832313,EUR,875145600,M,39,39,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12624983,away,Al-Qadsiah,Hussain Alnattar,Hussain Alnattar,,hussain-alnattar,H. Alnattar,M,,169,34,M,,1085122,EUR,952992000,M,96,96,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12624983,away,Al-Qadsiah,Haitham Mohammed Asiri,,,asiri-haitham-mohammed,H. M. Asiri,F,19,173,106,M,,1118489,EUR,993945600,F,18,18,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
