match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_ballRecovery,stat_totalTackle,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_aerialLost,stat_duelLost,stat_challengeLost,stat_totalContest,stat_wonContest,stat_bigChanceCreated,stat_totalClearance,stat_outfielderBlock,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_keyPass,player_firstName,player_lastName,stat_aerialWon,stat_interceptionWon,player_sofascoreId,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_goals,stat_ownGoals,stat_wasFouled,stat_dispossessed,stat_totalCross,stat_accurateCross,stat_bigChanceMissed,stat_blockedScoringAttempt,captain,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_errorLeadToAGoal,stat_totalOffside
12624395,home,Al-Ittihad,Mohammed Al-Mahasneh,mohammed-al-mahasneh,M. Al-Mahasneh,G,33,180,55,M,1018709,EUR,862185600,G,33,33,False,23.0,16.0,11.0,4.0,0.0,14.0,16.0,2.0,7.0,1.0,5.0,1.0,90.0,28.0,5.9,7.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12624395,home,Al-Ittihad,Fawaz Al-Sagour,fawaz-al-sagour,F. Al-Sagour,D,27,176,240,M,818572,EUR,830217600,D,27,27,False,33.0,28.0,1.0,,0.0,12.0,14.0,16.0,19.0,4.0,3.0,3.0,90.0,55.0,6.9,9.0,0,1.0,6.0,1.0,3.0,1.0,1.0,3.0,1.0,2.0,1.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,
12624395,home,Al-Ittihad,Saad Al-Mousa,saad-al-mousa,S. Al-Mousa,D,6,182,373,M,1134250,EUR,1039478400,D,6,6,False,57.0,50.0,5.0,1.0,0.0,21.0,24.0,29.0,33.0,1.0,3.0,,90.0,73.0,6.9,7.0,0,,2.0,1.0,,,,10.0,1.0,,,1.0,,Saad Al-Mousa,,1.0,5.0,,,,,,,,,,,,,,,,,,
12624395,home,Al-Ittihad,Danilo Pereira,danilo-pereira,D. Pereira,D,2,187,4062,M,99545,EUR,684374400,D,2,2,False,37.0,36.0,1.0,,0.0,26.0,26.0,10.0,11.0,1.0,5.0,,90.0,49.0,7.2,2.0,2,2.0,3.0,,1.0,,,4.0,2.0,,,,,,,,1.0,DaniloP,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,
12624395,home,Al-Ittihad,Hassan Kadesh,hassan-kadesh,H. Kadesh,D,15,179,398,M,847235,EUR,712627200,D,15,15,False,36.0,31.0,2.0,,0.0,17.0,18.0,14.0,18.0,2.0,2.0,2.0,77.0,48.0,7.1,6.0,0,,,,,,,4.0,1.0,2.0,1.0,,,,,,2.0,,,,,,,,,,,,,,,,,,
12624395,home,Al-Ittihad,N'Golo Kanté,ngolo-kante,N. Kanté,M,17,169,44806,M,234148,EUR,670204800,M,7,7,False,50.0,44.0,3.0,2.0,0.0,24.0,24.0,20.0,26.0,2.0,3.0,2.0,90.0,65.0,6.8,8.0,0,1.0,3.0,1.0,1.0,,,4.0,1.0,1.0,1.0,,,,,,,nglkante,,,,,,,,,,,,,,,,,
12624395,home,Al-Ittihad,Fabinho,fabinho,Fabinho,M,8,187,9249,M,243585,EUR,751334400,M,8,8,False,51.0,50.0,2.0,2.0,0.0,24.0,25.0,26.0,26.0,4.0,8.0,3.0,90.0,63.0,6.6,5.0,0,1.0,6.0,1.0,,,,1.0,,,3.0,3.0,,,,,,Fabinho,,,,,1.0,1.0,,,,,,,,,,,
12624395,home,Al-Ittihad,Moussa Diaby,diaby-moussa,M. Diaby,M,19,170,7562,M,855817,EUR,931305600,M,19,19,False,36.0,31.0,3.0,2.0,1.0,12.0,12.0,21.0,26.0,2.0,5.0,1.0,90.0,49.0,7.5,11.0,1,,1.0,,2.0,1.0,1.0,,,1.0,5.0,,3.0,,,,,moussadiaby,,1.0,,,,,2.0,2.0,,,,,,,,,
12624395,home,Al-Ittihad,Houssem Aouar,aouar-houssem,H. Aouar,M,10,175,14747,M,846081,EUR,899164800,M,10,10,False,26.0,21.0,1.0,,0.0,5.0,5.0,17.0,22.0,,,,66.0,33.0,7.3,7.0,3,,1.0,,1.0,,,,,,1.0,,4.0,,,,,houssem_aouar,1.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,,,,,,,
12624395,home,Al-Ittihad,Unai Hernández,unai-hernandez,U. Hernández,M,7,171,2275,M,1170547,EUR,1102982400,M,30,30,False,31.0,30.0,,,0.0,11.0,11.0,19.0,21.0,5.0,5.0,3.0,81.0,45.0,6.9,5.0,1,1.0,4.0,,2.0,1.0,,,,2.0,1.0,1.0,,Unai Hernandez,,,1.0,,1.0,,,,1.0,1.0,1.0,,,,,,,,,,
