match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_totalCross,stat_aerialLost,stat_duelLost,stat_challengeLost,stat_totalContest,stat_shotOffTarget,stat_totalClearance,stat_interceptionWon,stat_keyPass,player_firstName,player_lastName,captain,stat_aerialWon,stat_duelWon,stat_dispossessed,stat_outfielderBlock,stat_goalAssist,stat_accurateCross,stat_bigChanceCreated,stat_totalTackle,stat_wonTackle,stat_fouls,player_sofascoreId,stat_wonContest,stat_onTargetScoringAttempt,stat_goals,stat_unsuccessfulTouch,stat_wasFouled,stat_bigChanceMissed,stat_totalOffside,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_blockedScoringAttempt
11801750,home,Lazio,Ivan Provedel,ivan-provedel,I. Provedel,G,94,194,1836,M,308182,EUR,763862400,G,94,94,False,26.0,19.0,13.0,6.0,18.0,19.0,1.0,7.0,11.0,1.0,2.0,2.0,90.0,38.0,7.3,7.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11801750,home,Lazio,Elseid Hysaj,elseid-hysaj,E. Hysaj,D,23,182,1317,M,136322,EUR,760147200,D,23,23,False,69.0,59.0,5.0,2.0,28.0,31.0,31.0,39.0,4.0,,,,90.0,93.0,7.0,16.0,1,1.0,2.0,4.0,1.0,1.0,1.0,1.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
11801750,home,Lazio,Patric,patric,Patric,D,4,184,503,M,217784,EUR,735004800,D,4,4,False,75.0,68.0,11.0,4.0,43.0,44.0,25.0,31.0,2.0,,,,65.0,76.0,6.6,7.0,0,,1.0,1.0,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,
11801750,home,Lazio,Mario Gila Fuentes,mario-gila-fuentes,M. Gila,D,34,183,1786,M,965828,EUR,967507200,D,34,34,False,87.0,82.0,8.0,6.0,68.0,71.0,14.0,16.0,4.0,,,,90.0,99.0,7.2,6.0,0,,2.0,5.0,2.0,,,6.0,,,,,,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,
11801750,home,Lazio,Luca Pellegrini,luca-pellegrini,L. Pellegrini,D,3,178,1353,M,826186,EUR,920764800,D,3,3,False,65.0,56.0,4.0,2.0,31.0,37.0,26.0,29.0,5.0,,,,90.0,84.0,7.5,12.0,0,1.0,,3.0,,1.0,,,2.0,2.0,,,,,2.0,,,1.0,1.0,1.0,2.0,1.0,2.0,,,,,,,,,,,
11801750,home,Lazio,Mattéo Guendouzi,matteo-guendouzi,M. Guendouzi,M,6,185,7161,M,852404,EUR,924048000,M,8,8,False,54.0,46.0,3.0,1.0,21.0,21.0,26.0,37.0,12.0,,,,90.0,71.0,8.0,14.0,1,4.0,,3.0,2.0,1.0,,1.0,2.0,1.0,,,,,4.0,1.0,1.0,,1.0,1.0,,,,MatteoGuendouzi,1.0,1.0,1.0,2.0,3.0,,,,,
11801750,home,Lazio,Nicolò Rovella,nicolo-rovella,N. Rovella,M,6,179,2973,M,937324,EUR,1007424000,M,65,65,False,89.0,83.0,4.0,2.0,52.0,53.0,33.0,39.0,8.0,,,,81.0,104.0,7.0,11.0,0,3.0,,5.0,1.0,3.0,,1.0,,2.0,,,,,4.0,,,,2.0,,1.0,1.0,2.0,,1.0,,,1.0,2.0,,,,,
11801750,home,Lazio,Daichi Kamada,daichi-kamada,D. Kamada,M,18,184,6895,M,794338,EUR,839203200,M,6,6,False,39.0,36.0,1.0,,20.0,22.0,16.0,17.0,,,,,81.0,43.0,6.7,5.0,0,,1.0,3.0,1.0,1.0,,,1.0,2.0,,,,,1.0,,,,,,,,,kamadadaichi,,,,1.0,1.0,,,,,
11801750,home,Lazio,Gustav Isaksen,gustav-isaksen,G. Isaksen,M,18,181,3347,M,976381,EUR,987638400,F,18,18,False,5.0,5.0,,,,,5.0,5.0,,,,,27.0,8.0,6.5,1.0,0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
11801750,home,Lazio,Valentín Castellanos,valentin-castellanos,V. Castellanos,F,11,179,10718,M,877013,EUR,907372800,F,19,19,False,21.0,15.0,1.0,1.0,5.0,6.0,10.0,15.0,1.0,,,,65.0,32.0,7.0,11.0,2,,,3.0,1.0,1.0,2.0,1.0,1.0,1.0,,,,3.0,5.0,1.0,,,,,,,1.0,tatycastellanos11,1.0,,,4.0,1.0,,,,,
