match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_bigChanceMissed,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_totalCross,stat_interceptionWon,stat_fouls,player_firstName,player_lastName,stat_dispossessed,stat_totalContest,stat_wonContest,stat_errorLeadToAGoal,captain,stat_blockedScoringAttempt,stat_accurateCross,player_sofascoreId,stat_bigChanceCreated,stat_keyPass,stat_totalOffside,stat_outfielderBlock,stat_goodHighClaim,stat_errorLeadToAShot,stat_goals
12436463,home,Brentford,Mark Flekken,mark-flekken,M. Flekken,G,1,194,2856,M,171919,EUR,739929600,G,1,1,False,29.0,28.0,8.0,7.0,0.0,27.0,27.0,1.0,2.0,2.0,5.0,3.0,4.0,1.0,90.0,39.0,7.1,1.0,0.00109955,0,-0.6411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12436463,home,Brentford,Kristoffer Ajer,kristoffer-ajer,K. Ajer,D,20,196,1144,M,576384,EUR,892771200,D,20,20,False,24.0,18.0,3.0,1.0,0.0,6.0,6.0,12.0,18.0,4.0,2.0,,,,67.0,41.0,6.6,8.0,0.00540018,2,,2.0,4.0,4.0,7.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.2259,0.6348,,,,,,,,,,,,,,,,,,,,
12436463,home,Brentford,Nathan Collins,nathan-collins,N. Collins,D,22,193,1556,M,958916,EUR,988588800,D,22,22,False,62.0,57.0,4.0,3.0,0.0,32.0,33.0,25.0,30.0,5.0,3.0,,,,90.0,73.0,7.0,7.0,0.026375,0,,4.0,5.0,4.0,6.0,,,,,1.0,1.0,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,
12436463,home,Brentford,Ben Mee,ben-mee,B. Mee,D,15,180,577,M,137774,EUR,622339200,D,16,16,False,67.0,57.0,6.0,3.0,0.0,34.0,34.0,23.0,33.0,2.0,3.0,,,,90.0,75.0,6.6,11.0,0.022182,0,,4.0,2.0,6.0,3.0,,,,,1.0,1.0,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,
12436463,home,Brentford,Keane Lewis-Potter,keane-lewis-potter,K. Lewis-Potter,D,23,170,1089,M,972421,EUR,982800000,D,23,23,False,43.0,38.0,4.0,2.0,0.0,20.0,20.0,18.0,25.0,,7.0,,,,90.0,61.0,5.9,14.0,0.0432197,0,,2.0,,5.0,4.0,,,,,1.0,1.0,4.0,1.0,,,2.0,,,,,1.0,4.0,2.0,1.0,,,,,,,,,,,
12436463,home,Brentford,Vitaly Janelt,vitaly-janelt,V. Janelt,M,27,184,1191,M,814873,EUR,894758400,M,27,27,False,43.0,38.0,2.0,,0.0,19.0,21.0,19.0,23.0,,5.0,,,,67.0,51.0,6.5,9.0,0.0205954,0,,,,3.0,1.0,,,,,,,,1.0,,,1.0,2.0,,,,3.0,,,,,,,,,,,,,,
12436463,home,Brentford,Christian Nørgaard,christian-norgaard,C. Nørgaard,M,16,185,9605,M,135256,EUR,763257600,M,6,6,False,70.0,65.0,4.0,3.0,0.0,30.0,30.0,35.0,42.0,2.0,10.0,,,,90.0,86.0,7.8,7.0,0.106556,1,,1.0,1.0,2.0,10.0,,,,,6.0,4.0,,2.0,0.083,,2.0,2.0,1.0,,,,1.0,1.0,,True,1.0,,,,,,,,,
12436463,home,Brentford,Mikkel Damsgaard,damsgaard-mikkel,M. Damsgaard,M,24,180,3593,M,907072,EUR,962582400,M,24,24,False,79.0,62.0,7.0,3.0,0.0,13.0,14.0,50.0,75.0,,6.0,,,,90.0,110.0,7.3,32.0,0.173295,1,,,,6.0,8.0,,,,1.0,2.0,1.0,1.0,1.0,0.1509,0.2381,10.0,2.0,1.0,,,3.0,7.0,5.0,,,,1.0,,,,,,,,
12436463,home,Brentford,Bryan Mbeumo,bryan-mbeumo,B. Mbeumo,M,19,173,110440,M,927083,EUR,933984000,F,19,19,False,43.0,32.0,4.0,4.0,0.0,7.0,8.0,29.0,48.0,1.0,3.0,,,,90.0,77.0,8.2,27.0,0.513043,1,,1.0,2.0,5.0,7.0,,,,1.0,2.0,2.0,4.0,,0.0686,0.1056,13.0,2.0,2.0,,,1.0,4.0,3.0,,,,4.0,bryan_m19,1.0,3.0,,,,,
12436463,home,Brentford,Yoane Wissa,yoane-wissa,Y. Wissa,F,9,176,50158,M,805123,EUR,841708800,F,11,11,False,22.0,18.0,1.0,,0.0,8.0,9.0,10.0,15.0,,2.0,,,,90.0,32.0,6.6,10.0,0.0675134,1,,2.0,,5.0,2.0,,,1.0,,,,3.0,2.0,0.0969,,2.0,,2.0,,,,1.0,,,,,,yowissa,,1.0,,,,,
