match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_blockedScoringAttempt,stat_totalClearance,stat_interceptionWon,stat_lastManTackle,stat_totalTackle,stat_wonTackle,stat_fouls,stat_expectedGoals,stat_aerialLost,stat_totalContest,stat_wonContest,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_totalCross,stat_unsuccessfulTouch,stat_wasFouled,stat_keyPass,player_firstName,player_lastName,stat_accurateCross,stat_penaltyWon,stat_totalOffside,stat_dispossessed,stat_shotOffTarget,stat_bigChanceMissed,stat_hitWoodwork,stat_goals,stat_penaltyMiss,captain,stat_penaltyFaced,stat_bigChanceCreated,stat_outfielderBlock,stat_penaltyConceded
12504695,home,Inter,Yann Sommer,yann-sommer,Y. Sommer,G,1,183,12749,M,yannsommer,16206,EUR,598320000,G,1,1,False,35.0,28.0,11.0,6.0,0.0,25.0,27.0,3.0,8.0,3.0,1.0,1.0,1.0,90.0,39.0,6.7,7.0,0.00047721,0,0.1448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12504695,home,Inter,Benjamin Pavard,benjamin-pavard,B. Pavard,D,28,186,10877,M,benpavard21,787505,EUR,827971200,D,28,28,False,62.0,57.0,4.0,2.0,0.0,36.0,37.0,21.0,25.0,3.0,,,,90.0,71.0,7.2,5.0,0.0435296,1,,1.0,2.0,4.0,1.0,1.0,1.0,4.0,1.0,3.0,2.0,1.0,0.0714,,,,,,,,,,,,,,,,,,,,,,,,,
12504695,home,Inter,Francesco Acerbi,francesco-acerbi,F. Acerbi,D,15,192,5573,M,,126816,EUR,571449600,D,15,15,False,67.0,62.0,4.0,1.0,0.0,42.0,43.0,20.0,24.0,2.0,,,,90.0,80.0,7.2,5.0,0.0112764,1,,3.0,2.0,4.0,,,3.0,4.0,,,,1.0,0.0647,1.0,1.0,1.0,1.0,0.0676,,,,,,,,,,,,,,,,,,,,
12504695,home,Inter,Alessandro Bastoni,alessandro-bastoni,A. Bastoni,D,95,190,15274,M,alessandrobastoni,826188,EUR,923961600,D,95,95,False,50.0,46.0,8.0,7.0,1.0,24.0,25.0,22.0,27.0,3.0,,,,89.0,76.0,7.5,11.0,0.0159109,0,,1.0,2.0,6.0,,,2.0,,,4.0,3.0,2.0,,,,,,,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,
12504695,home,Inter,Denzel Dumfries,denzel-dumfries,D. Dumfries,M,2,189,15021,M,ddumfries2,759520,EUR,829785600,M,2,2,False,18.0,15.0,1.0,,0.0,3.0,4.0,13.0,17.0,3.0,,,,90.0,37.0,6.6,9.0,0.0650648,0,,1.0,9.0,3.0,1.0,,1.0,,,,,4.0,,,4.0,,,,3.0,,2.0,1.0,,,1.0,1.0,1.0,,,,,,,,,,,
12504695,home,Inter,Nicolò Barella,nicolo-barella,N. Barella,M,23,175,21290,M,nicolo_barella,363856,EUR,855273600,M,23,23,False,51.0,38.0,6.0,4.0,0.0,20.0,21.0,19.0,34.0,6.0,,,,90.0,83.0,7.9,22.0,0.15438,3,,,2.0,9.0,,1.0,,1.0,,5.0,2.0,,0.1835,1.0,2.0,2.0,1.0,0.1696,4.0,2.0,2.0,2.0,,,1.0,,,1.0,1.0,,,,,,,,,
12504695,home,Inter,Hakan Çalhanoğlu,hakan-calhanoglu,H. Çalhanoğlu,M,20,178,32988,M,HÇalhanoğlu,135700,EUR,760665600,M,20,20,False,71.0,61.0,9.0,7.0,0.0,33.0,38.0,28.0,34.0,7.0,,,,82.0,80.0,6.9,12.0,0.0419218,4,,,5.0,,1.0,2.0,2.0,,,,,2.0,0.9133,1.0,,,1.0,0.0562,1.0,,,1.0,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,
12504695,home,Inter,Henrikh Mkhitaryan,henrikh-mkhitaryan,H. Mkhitaryan,M,22,178,8680,M,micki_taryan,37151,EUR,601344000,M,22,22,False,59.0,50.0,1.0,,0.0,22.0,22.0,28.0,38.0,10.0,,,,90.0,69.0,6.9,13.0,0.0284677,0,,1.0,3.0,4.0,,,,1.0,,2.0,1.0,3.0,,,,,,,1.0,2.0,1.0,1.0,,,,,,1.0,,,,,,,,,,
12504695,home,Inter,Federico Dimarco,federico-dimarco,F. Dimarco,M,32,174,15308,M,dimarco32,284361,EUR,879120000,M,32,32,False,33.0,26.0,4.0,3.0,0.0,5.0,8.0,21.0,33.0,1.0,,,,82.0,55.0,7.1,17.0,0.0160008,2,,1.0,3.0,3.0,,,,2.0,,1.0,,2.0,0.0759,,1.0,,1.0,0.032,8.0,1.0,1.0,,,,,,1.0,,1.0,,1.0,,,,,,,
12504695,home,Inter,Marcus Thuram,marcus-thuram,M. Thuram,F,9,192,25521,M,m_thuram,791702,EUR,870825600,F,9,9,False,18.0,15.0,,,0.0,6.0,7.0,10.0,12.0,5.0,,,,82.0,32.0,6.7,6.0,0.0689824,0,,2.0,6.0,3.0,1.0,,,,,,,,,3.0,2.0,,,,1.0,1.0,1.0,1.0,,,1.0,,,,,,,,,,,,,
