match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_totalContest,stat_wonContest,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_aerialWon,stat_duelLost,stat_challengeLost,stat_shotOffTarget,stat_totalTackle,stat_fouls,stat_expectedGoals,stat_aerialLost,stat_unsuccessfulTouch,stat_outfielderBlock,stat_interceptionWon,stat_errorLeadToAGoal,player_firstName,player_lastName,stat_accurateCross,stat_dispossessed,stat_wonTackle,stat_errorLeadToAShot,stat_wasFouled,captain,stat_blockedScoringAttempt,stat_keyPass,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_bigChanceMissed,stat_bigChanceCreated,stat_totalOffside,stat_goodHighClaim,stat_hitWoodwork,stat_goals
12436958,home,Bournemouth,Kepa Arrizabalaga,kepa-arrizabalaga,K. Arrizabalaga,G,13,188,26145,M,KepaA,232422,EUR,781142400,G,13,13,False,34.0,20.0,17.0,3.0,0.0,17.0,18.0,3.0,16.0,1.0,1.0,1.0,2.0,6.0,2.0,5.0,1.0,2.0,2.0,90.0,43.0,7.4,14.0,0.00087692,0,0.3502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12436958,home,Bournemouth,James Hill,james-hill,J. Hill,D,23,184,554,M,,1156586,EUR,1010620800,D,23,23,False,23.0,17.0,2.0,1.0,0.0,7.0,7.0,10.0,18.0,4.0,,,5.0,3.0,,,,,,60.0,41.0,6.8,12.0,0.00704079,1,,2.0,3.0,2.0,1.0,1.0,1.0,1.0,0.042,,,,,,,,,,,,,,,,,,,,,,,
12436958,home,Bournemouth,Ilya Zabarnyi,illia-zabarnyi,I. Zabarnyi,D,6,189,17027,M,IlliaZabarnyi,1023567,EUR,1030838400,D,27,27,False,17.0,13.0,5.0,2.0,0.0,7.0,7.0,6.0,10.0,3.0,1.0,1.0,,4.0,,,,,,31.0,19.0,5.4,5.0,0.00421677,0,,,2.0,2.0,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
12436958,home,Bournemouth,Dean Huijsen,dean-huijsen,D. Huijsen,D,24,195,160912,M,deanhuijsen,1176744,EUR,1113436800,D,2,2,False,58.0,48.0,9.0,8.0,0.0,23.0,26.0,25.0,32.0,4.0,,,5.0,3.0,,,,,,90.0,72.0,6.8,12.0,0.0125125,0,,,3.0,6.0,1.0,,1.0,3.0,,2.0,2.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,
12436958,home,Bournemouth,Miloš Kerkez,milos-kerkez,M. Kerkez,D,6,180,25853,M,miloskerkez,1097425,EUR,1068163200,D,3,3,False,50.0,38.0,7.0,3.0,0.0,17.0,19.0,22.0,37.0,5.0,,,4.0,4.0,,,,,,90.0,83.0,6.7,22.0,0.0647032,0,,6.0,1.0,7.0,1.0,,2.0,2.0,,2.0,2.0,,3.0,,Milos,Kerkez,1.0,2.0,1.0,1.0,2.0,,,,,,,,,,,
12436958,home,Bournemouth,Lewis Cook,lewis-cook,L. Cook,M,4,175,895,M,,548188,EUR,854928000,M,4,4,False,41.0,33.0,5.0,3.0,0.0,21.0,23.0,12.0,20.0,6.0,3.0,2.0,2.0,12.0,,,,,,90.0,55.0,7.1,11.0,0.00740491,0,,2.0,2.0,2.0,,,1.0,,,1.0,,,4.0,,,,,,,,1.0,True,,,,,,,,,,
12436958,home,Bournemouth,Ryan Christie,ryan-christie,R. Christie,M,10,178,1213,M,,322391,EUR,793411200,M,10,10,False,26.0,24.0,2.0,1.0,0.0,9.0,9.0,15.0,18.0,5.0,1.0,1.0,1.0,1.0,,,,,,60.0,40.0,6.9,5.0,0.0142205,2,,1.0,1.0,5.0,2.0,1.0,2.0,,0.1339,2.0,1.0,,,,,,,1.0,1.0,,1.0,,1.0,2.0,,,,,,,,
12436958,home,Bournemouth,Marcus Tavernier,marcus-tavernier,M. Tavernier,M,16,178,1762,M,,895576,EUR,922060800,M,16,16,False,29.0,23.0,3.0,2.0,0.0,3.0,3.0,21.0,32.0,7.0,4.0,3.0,1.0,8.0,,,,,,90.0,64.0,6.8,23.0,0.0248306,1,,6.0,2.0,10.0,1.0,,,4.0,0.011,,7.0,,1.0,,,,1.0,4.0,,,2.0,,,,1.0,0.0187,,,,,,
12436958,home,Bournemouth,Justin Kluivert,justin-kluivert,J. Kluivert,M,19,171,6976,M,justinkluivert,851596,EUR,925862400,M,19,19,False,16.0,14.0,2.0,2.0,0.0,3.0,4.0,12.0,16.0,1.0,3.0,1.0,1.0,2.0,,,,,,73.0,32.0,6.3,12.0,0.055864,1,,4.0,,6.0,1.0,,,2.0,0.3092,,3.0,,1.0,,,,1.0,1.0,,,,,,1.0,1.0,0.2201,1.0,,,,,
12436958,home,Bournemouth,Antoine Semenyo,antoine-semenyo,A. Semenyo,M,42,185,84914,M,antoinesemenyo42,934354,EUR,947203200,M,24,24,False,17.0,11.0,,,0.0,2.0,3.0,9.0,15.0,3.0,5.0,,,5.0,,,,,,90.0,34.0,6.5,17.0,0.315274,1,,1.0,,10.0,,,3.0,,0.0553,3.0,3.0,,,,,,,2.0,2.0,,,,1.0,1.0,,,,1.0,1.0,,,
