match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalClearance,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_shotOffTarget,stat_interceptionWon,stat_expectedGoals,stat_shotValueNormalized,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_outfielderBlock,stat_expectedGoalsOnTarget,stat_keyPass,player_sofascoreId,stat_wasFouled,player_firstName,stat_dispossessed,stat_hitWoodwork,stat_totalContest,stat_wonContest,stat_errorLeadToAGoal,stat_bigChanceCreated,captain,stat_goals,player_lastName,stat_penaltyFaced,stat_punches,stat_penaltyConceded,stat_totalOffside
14083256,home,Real Sociedad,Álex Remiro,alex-remiro,Á. Remiro,G,1,191,2805,M,791773,EUR,796003200,G,1,1,False,26.0,23.0,9.0,6.0,0.0,21.0,22.0,2.0,4.0,8.0,1.0,4.0,4.0,90.0,34.0,7.0,4.0,0.00043483,0.4359,0,0.4171,0.02,-0.01,-0.15,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14083256,home,Real Sociedad,Aritz Elustondo,aritz-elustondo,A. Elustondo,D,6,178,410,M,785468,EUR,764812800,D,6,6,False,23.0,19.0,1.0,1.0,0.0,5.0,9.0,14.0,14.0,,,,,57.0,42.0,6.0,7.0,0.016419,,0,,0.1,0.12,-0.35,,2.0,1.0,1.0,1.0,7.0,4.0,3.0,4.0,3.0,1.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
14083256,home,Real Sociedad,Igor Zubeldia,igor-zubeldia,I. Zubeldia,D,5,180,881,M,838159,EUR,859680000,D,5,5,False,56.0,51.0,2.0,2.0,0.0,28.0,28.0,23.0,28.0,5.0,,,,90.0,62.0,5.9,5.0,0.00984627,,1,,0.08,0.19,-0.39,,,,2.0,1.0,7.0,2.0,2.0,2.0,1.0,,,3.0,1.0,1.0,0.0779,-0.16,,,,,,,,,,,,,,,,,,,,,,
14083256,home,Real Sociedad,Duje Ćaleta-Car,duje-caleta-car,D. Ćaleta-Car,D,16,192,2892,M,257091,EUR,842918400,D,16,16,False,69.0,63.0,8.0,3.0,0.0,29.0,29.0,34.0,40.0,2.0,,,,90.0,78.0,6.8,6.0,0.287909,,3,,0.36,0.34,-0.31,,,,3.0,4.0,5.0,4.0,1.0,2.0,,,,1.0,1.0,1.0,0.2432,-0.33,1.0,1.0,1.0,1.0,0.0247,1.0,,,,,,,,,,,,,,,,
14083256,home,Real Sociedad,Sergio Gómez,sergio-gomez,S. Gómez,M,17,171,4445,M,855835,EUR,968025600,D,17,17,False,71.0,62.0,4.0,1.0,0.0,17.0,20.0,45.0,51.0,8.0,,,,90.0,102.0,6.7,17.0,0.253737,,1,,0.34,0.21,-0.32,,15.0,7.0,,,2.0,5.0,,,3.0,2.0,,2.0,1.0,2.0,0.0312,-0.33,,,,,,3.0,sergiogm_10,2.0,,,,,,,,,,,,,,
14083256,home,Real Sociedad,Jon Gorrotxategi,jon-gorrotxategi,J. Gorrotxategi,M,4,177,607,M,1216309,EUR,1012608000,M,4,4,False,61.0,54.0,3.0,2.0,0.0,17.0,20.0,37.0,41.0,4.0,,,,78.0,71.0,7.0,8.0,0.0470229,,1,,0.12,0.3,0.15,,,,2.0,2.0,5.0,5.0,3.0,1.0,3.0,1.0,1.0,,,,0.0205,-0.02,,,1.0,1.0,,,,,Jon Gorrotxategi,,,,,,,,,,,,,
14083256,home,Real Sociedad,Pablo Marín,pablo-marin,P. Marín,M,15,178,481,M,1139409,EUR,1057190400,M,28,28,False,14.0,10.0,1.0,,0.0,4.0,4.0,6.0,10.0,2.0,,,,66.0,22.0,6.2,8.0,0.0880542,,2,,0.04,0.18,-0.12,,1.0,1.0,,,3.0,,,,,,2.0,1.0,,,0.2119,-0.28,1.0,,2.0,,,1.0,,,Pablo Marín,2.0,1.0,,,,,,,,,,,
14083256,home,Real Sociedad,Gonçalo Guedes,goncalo-guedes,G. Guedes,F,11,179,3550,M,280979,EUR,849225600,M,11,11,False,23.0,17.0,1.0,,0.0,1.0,3.0,16.0,20.0,3.0,,,,66.0,35.0,6.3,9.0,0.159701,,0,,0.05,0.15,-0.24,,4.0,2.0,1.0,1.0,5.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,,1.0,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,
14083256,home,Real Sociedad,Mikel Goti,mikel-goti,M. Goti,M,25,185,158,M,1136702,EUR,1022112000,M,22,22,False,20.0,11.0,3.0,1.0,0.0,2.0,8.0,9.0,12.0,,,,,57.0,36.0,5.6,15.0,0.0397161,,2,,0.09,0.02,-0.51,,3.0,,4.0,2.0,8.0,4.0,,,,,1.0,3.0,,,0.0989,-0.54,,,2.0,,,,,,,1.0,,3.0,2.0,1.0,,,,,,,,
14083256,home,Real Sociedad,Ander Barrenetxea,ander-barrenetxea,A. Barrenetxea,F,7,174,1646,M,966862,EUR,1009411200,M,7,7,False,40.0,34.0,1.0,,0.0,4.0,4.0,30.0,36.0,3.0,,,,90.0,66.0,7.0,16.0,0.272412,,3,,0.26,0.34,-0.03,,6.0,1.0,,,4.0,8.0,,2.0,2.0,1.0,2.0,1.0,1.0,1.0,0.081,-0.05,,,2.0,,,4.0,,1.0,,1.0,,7.0,5.0,,1.0,,,,,,,
