match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_shotOffTarget,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,player_sofascoreId,stat_aerialWon,stat_aerialLost,stat_interceptionWon,stat_totalContest,stat_wonContest,stat_onTargetScoringAttempt,stat_goals,stat_keyPass,captain,stat_blockedScoringAttempt,stat_bigChanceMissed,stat_bigChanceCreated,stat_outfielderBlock,stat_totalOffside
11392878,home,Lille,Lucas Chevalier,,,chevalier-lucas,L. Chevalier,G,30,188,21320,M,996953,EUR,1005004800,G,30,30,False,44.0,32.0,20.0,8.0,27.0,30.0,5.0,14.0,1.0,9.0,1.0,1.0,4.0,1.0,90.0,57.0,8.4,12.0,0.0,0.0,0.00073485,0,0.9704,,,,,,,,,,,,,,,,,,,,,,,,,,,
11392878,home,Lille,Tiago Santos,,,tiago-santos,T. Santos,D,22,175,1632,M,1087364,EUR,1027382400,D,22,22,False,44.0,39.0,4.0,3.0,22.0,24.0,18.0,21.0,1.0,5.0,,,,,90.0,62.0,7.4,7.0,0.0818,0.0,0.150852,2,,1.0,1.0,4.0,5.0,1.0,1.0,2.0,2.0,2.0,1.0,3.0,2.0,,,,,,,,,,,,,,,
11392878,home,Lille,Leny Yoro,Leny Yoro,,leny-yoro,L. Yoro,D,15,190,20033,M,1153315,EUR,1131840000,D,15,15,False,61.0,57.0,3.0,,49.0,50.0,8.0,11.0,4.0,2.0,,,,,90.0,73.0,7.1,4.0,0.0,0.0,0.00225046,0,,,,,4.0,,,,3.0,2.0,,,,YL15,1.0,,,,,,,,,,,,,
11392878,home,Lille,Alexsandro Ribeiro,Alexsandro Ribeiro,,alexsandro-ribeiro,A. Ribeiro,D,4,192,4572,M,1049775,EUR,934156800,D,4,4,False,82.0,73.0,12.0,6.0,50.0,53.0,23.0,29.0,11.0,5.0,,,,,90.0,103.0,7.6,12.0,0.1618,0.0,0.00939311,2,,,,4.0,2.0,,1.0,2.0,1.0,1.0,2.0,1.0,2.0,,,1.0,2.0,,,,,,,,,,,
11392878,home,Lille,Yusuf Yazıcı,,,yusuf-yazici,Y. Yazıcı,M,97,183,2263,M,827804,EUR,854496000,M,12,12,False,37.0,33.0,2.0,2.0,7.0,8.0,29.0,34.0,2.0,3.0,,,,,90.0,52.0,7.6,8.0,0.0624,0.6675,0.244303,2,,5.0,3.0,7.0,1.0,2.0,,1.0,,,,,3.0,,,,,3.0,1.0,1.0,1.0,3.0,,,,,,
11392878,home,Lille,Benjamin André,,,benjamin-andre,B. André,M,21,180,759,M,51665,EUR,649641600,M,21,21,False,52.0,44.0,3.0,2.0,23.0,27.0,21.0,25.0,4.0,5.0,,,,,90.0,71.0,7.4,9.0,0.0384,0.0615,0.0246006,1,,,,6.0,11.0,2.0,1.0,,5.0,3.0,,3.0,1.0,,3.0,2.0,,,,1.0,,,True,,,,,
11392878,home,Lille,Angel Gomes,,,angel-gomes,A. Gomes,M,47,168,3430,M,867441,EUR,967680000,M,8,8,False,60.0,53.0,2.0,,30.0,32.0,23.0,28.0,3.0,6.0,,,,,86.0,76.0,7.3,9.0,0.1984,0.4852,0.0430899,2,,,,2.0,4.0,,1.0,,,,1.0,,1.0,,1.0,,2.0,3.0,3.0,1.0,,1.0,,1.0,,,,
11392878,home,Lille,Gabriel Gudmundsson,,,gabriel-gudmundsson,G. Gudmundsson,D,3,181,1194,M,834308,EUR,925344000,M,5,5,False,32.0,24.0,3.0,,15.0,20.0,9.0,15.0,2.0,10.0,,,,,90.0,57.0,6.5,18.0,0.0189,0.0,0.00634491,1,,3.0,,6.0,5.0,2.0,,,1.0,1.0,2.0,3.0,1.0,,,1.0,1.0,3.0,1.0,,,,,1.0,,,,
11392878,home,Lille,Rémy Cabella,,,remy-cabella,R. Cabella,M,20,171,1177,M,72998,EUR,636854400,F,10,10,False,39.0,37.0,2.0,2.0,16.0,16.0,22.0,25.0,,1.0,,,,,69.0,54.0,7.3,8.0,0.2588,0.4796,0.381729,1,,2.0,1.0,5.0,4.0,,1.0,,2.0,2.0,2.0,1.0,1.0,,,1.0,,3.0,1.0,1.0,,6.0,,,1.0,,,
11392878,home,Lille,Jonathan David,,,jonathan-david,J. David,F,30,180,21023,M,935564,EUR,947808000,F,9,9,False,23.0,18.0,1.0,1.0,3.0,4.0,15.0,19.0,,6.0,,,,,85.0,39.0,7.4,13.0,0.2249,0.2675,0.122865,2,,,,8.0,5.0,,5.0,,,,1.0,,,jodavid,2.0,1.0,,5.0,3.0,2.0,,2.0,,,,1.0,,
