match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_unsuccessfulTouch,stat_wasFouled,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalBallCarriesDistance,stat_ballCarriesCount,stat_totalProgression,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,captain,stat_totalCross,stat_aerialWon,stat_duelLost,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_fouls,stat_aerialLost,stat_bestBallCarryProgression,stat_totalProgressiveBallCarriesDistance,stat_progressiveBallCarriesCount,stat_wonContest,stat_outfielderBlock,stat_onTargetScoringAttempt,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_keyPass,stat_shotValueNormalized,stat_goals,stat_bigChanceCreated,stat_shotOffTarget,stat_accurateCross,stat_bigChanceMissed,player_sofascoreId,stat_totalOffside,stat_goodHighClaim,stat_blockedScoringAttempt
15237884,home,Fluminense,Fábio,,,fabio,Fábio,G,1,188,4344,M,17785,EUR,339120000,G,1,1,False,19.0,14.0,8.0,4.0,0.0,12.0,14.0,2.0,5.0,1.0,1.0,6.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,90.0,27.0,6.7,6.0,0.00233514,8.877304665049,2.0,3.0016958911738,0.1029,0,-0.0558,0.02,0.0,-0.08,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15237884,home,Fluminense,Samuel Xavier,,,xavier-samuel,S. Xavier,D,2,166,1621,M,795773,EUR,644630400,D,2,2,False,39.0,34.0,1.0,1.0,0.0,14.0,16.0,20.0,23.0,5.0,3.0,2.0,1.0,2.0,,,,,,90.0,59.0,6.5,10.0,0.00950286,75.798121264698,13.0,10.878433879682,,0,,0.07,0.01,-0.3,,True,1.0,1.0,7.0,3.0,2.0,1.0,2.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
15237884,home,Fluminense,Jemmes,Jemmes Ribeiro,,ribeiro-da-silva-jemmes-bruno,Jemmes,D,3,187,583,M,1527129,EUR,955238400,D,3,3,False,47.0,42.0,1.0,,0.0,30.0,31.0,12.0,16.0,6.0,10.0,1.0,1.0,2.0,,,,,,90.0,67.0,6.8,6.0,0.00433864,209.41278014228,19.0,145.89135789796,,0,,0.01,0.13,-0.04,,,,2.0,3.0,1.0,,,3.0,2.0,1.0,,2.0,31.747899004349,57.090792028089,2.0,,,,,,,,,,,,,,,,
15237884,home,Fluminense,Juan Freytes,,,juan-freytes,J. Freytes,D,22,182,1341,M,962187,EUR,947548800,D,22,22,False,52.0,44.0,12.0,9.0,0.0,26.0,29.0,18.0,23.0,2.0,1.0,4.0,,,,,,,,90.0,62.0,7.3,8.0,0.0102586,195.81504833769,21.0,122.73181669505,,0,,0.27,0.15,0.53,,,,,5.0,1.0,,1.0,1.0,1.0,,1.0,3.0,15.551555762284,15.673225577398,1.0,1.0,4.0,,,,,,,,,,,,,,
15237884,home,Fluminense,Renê,,,rene,Renê,D,6,174,1464,M,243113,EUR,716428800,D,6,6,False,54.0,46.0,4.0,2.0,1.0,17.0,20.0,29.0,34.0,7.0,5.0,9.0,,,,,,,,90.0,72.0,7.3,10.0,0.0819118,148.16058614607,17.0,59.937344373639,,1,,0.34,0.01,-0.05,,,1.0,5.0,5.0,2.0,,,1.0,2.0,1.0,1.0,3.0,19.834849422588,52.811632996261,2.0,,,1.0,0.137,0.209,2.0,-0.43,,,,,,,,,
15237884,home,Fluminense,Nonato,,,nonato,Nonato,M,16,174,1213,M,922566,EUR,888883200,M,16,16,False,52.0,48.0,3.0,3.0,0.0,17.0,18.0,31.0,34.0,4.0,1.0,5.0,,,,,,,,78.0,62.0,7.3,6.0,0.0206945,153.49342870738,20.0,55.724066235929,,1,,0.24,0.03,-0.04,,,1.0,2.0,4.0,,1.0,,2.0,2.0,1.0,2.0,1.0,,,,,,1.0,0.9647,0.9951,,0.32,1.0,,,,,,,,
15237884,home,Fluminense,Matheus Martinelli,,,martinelli-matheus,M. Martinelli,M,8,176,4179,M,1067671,EUR,1002240000,M,8,8,False,80.0,75.0,4.0,2.0,0.0,38.0,40.0,37.0,40.0,,1.0,9.0,3.0,,,,,,,90.0,91.0,7.0,10.0,0.334903,221.55331609377,31.0,101.64921863389,,2,,0.61,0.31,-0.13,,,,,6.0,2.0,2.0,,1.0,,,1.0,1.0,17.23503999335,17.7383229196,1.0,,,1.0,0.0518,0.0365,1.0,-0.42,,1.0,1.0,,,,,,
15237884,home,Fluminense,Agustín Canobbio,,,agustin-canobbio,A. Canobbio,M,17,175,3082,M,846413,EUR,907200000,M,17,17,False,32.0,27.0,,,0.0,5.0,6.0,22.0,26.0,6.0,1.0,7.0,8.0,2.0,,,,,,86.0,64.0,6.2,22.0,0.0488617,196.48164862807,22.0,132.55586189505,,2,,-0.01,0.22,-0.09,,,3.0,1.0,11.0,2.0,,9.0,,1.0,1.0,1.0,1.0,21.134099618881,52.021257652065,3.0,2.0,,1.0,0.5493,0.2436,,-0.54,,,1.0,1.0,1.0,,,,
15237884,home,Fluminense,Luciano Acosta,,,luciano-acosta,L. F. Acosta,M,32,160,3376,M,548030,EUR,770342400,M,32,32,False,44.0,34.0,1.0,1.0,0.0,7.0,10.0,27.0,34.0,4.0,,1.0,2.0,1.0,,,,,,78.0,56.0,7.9,13.0,0.382881,145.62284394637,15.0,113.65029270322,,2,,0.0,0.43,-0.09,,,,,2.0,1.0,1.0,,,3.0,1.0,,,26.123893635345,86.055390837869,5.0,,,1.0,0.112,0.8874,2.0,0.52,1.0,1.0,1.0,,,,,,
15237884,home,Fluminense,Kevin Serna,,,serna-kevin,K. Serna,M,90,181,3425,M,981374,EUR,882748800,M,90,90,False,19.0,15.0,,,0.0,4.0,4.0,11.0,15.0,3.0,2.0,3.0,4.0,,,,,,,79.0,35.0,6.6,12.0,0.0569366,134.31145978493,12.0,76.245233767441,,1,,0.02,0.31,-0.04,,,2.0,,2.0,,,1.0,1.0,2.0,1.0,1.0,1.0,26.661190736087,65.162867749144,4.0,1.0,,,0.0444,,,-0.3,,,1.0,,,,,,
