match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_shotOffTarget,stat_hitWoodwork,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_accurateCross,stat_fouls,stat_keyPass,stat_dispossessed,stat_totalContest,stat_wonContest,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,player_firstName,player_lastName,stat_goals,stat_totalOffside,stat_goalAssist
10433898,home,Gaziantep FK,Günay Güvenç,gunay-guvenc,G. Güvenç,G,19,187,2987,M,103457,EUR,677808000,G,1,1,False,True,25.0,19.0,13.0,7.0,14.0,16.0,5.0,9.0,1.0,6.0,1.0,3.0,1.0,90.0,34.0,6.4,6.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10433898,home,Gaziantep FK,Ertuğrul Ersoy,ertugrul-ersoy,E. Ersoy,D,5,185,88,M,355004,EUR,855792000,D,15,15,False,,45.0,34.0,12.0,5.0,17.0,20.0,17.0,26.0,2.0,4.0,,,,90.0,62.0,7.2,13.0,3,1.0,1.0,4.0,2.0,9.0,1.0,3.0,1.0,1.0,2.0,4.0,3.0,1.0,1.0,,,,,,,,,,,,,,
10433898,home,Gaziantep FK,Marko Jevtović,marko-jevtovic,M. Jevtović,M,16,194,134,M,310068,EUR,743472000,D,8,8,False,,47.0,42.0,5.0,3.0,32.0,32.0,10.0,15.0,2.0,5.0,,,,90.0,54.0,6.6,5.0,1,,,3.0,,4.0,,1.0,,,2.0,,,,1.0,,,,,,,,,,,,,,
10433898,home,Gaziantep FK,Papy Djilobodji,papy-djilobodji,P. Djilobodji,D,3,193,175,M,106661,EUR,596937600,D,3,3,False,,59.0,46.0,12.0,6.0,23.0,24.0,24.0,37.0,3.0,4.0,,,,90.0,79.0,7.3,14.0,0,2.0,1.0,3.0,2.0,5.0,,,,2.0,3.0,,,,2.0,1.0,1.0,1.0,,,,,,,,,,,
10433898,home,Gaziantep FK,Stelios Kitsiou,stelios-kitsiou,S. Kitsiou,D,70,173,90,M,189627,EUR,749174400,M,70,70,False,,40.0,32.0,3.0,1.0,10.0,11.0,22.0,32.0,1.0,3.0,,,,90.0,77.0,7.3,17.0,3,3.0,,2.0,3.0,12.0,,1.0,1.0,,2.0,4.0,3.0,2.0,5.0,,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,,,,,
10433898,home,Gaziantep FK,Furkan Soyalp,furkan-soyalp,F. Soyalp,M,33,175,70,M,226992,EUR,802915200,M,5,5,False,,45.0,33.0,4.0,2.0,13.0,16.0,20.0,29.0,,4.0,,,,79.0,60.0,7.5,12.0,5,,1.0,1.0,7.0,4.0,5.0,2.0,,,2.0,1.0,,,1.0,,1.0,1.0,,1.0,1.0,,2.0,1.0,,,1.0,,
10433898,home,Gaziantep FK,Alexander Merkel,alexander-merkel,A. Merkel,M,50,179,90,M,143228,EUR,698716800,M,52,52,False,,42.0,39.0,3.0,3.0,20.0,22.0,19.0,21.0,,7.0,,,,90.0,52.0,6.7,4.0,0,1.0,2.0,,5.0,4.0,1.0,,,,1.0,4.0,4.0,,,,2.0,1.0,,,,,,,,,,,
10433898,home,Gaziantep FK,Matěj Hanousek,matej-hanousek,M. Hanousek,D,23,182,56,M,320905,EUR,738979200,M,16,16,False,,37.0,30.0,2.0,1.0,11.0,15.0,19.0,24.0,,5.0,,,,90.0,55.0,6.6,11.0,0,2.0,,,2.0,2.0,,,,,2.0,,,1.0,,,1.0,1.0,1.0,2.0,2.0,,,,,,,,
10433898,home,Gaziantep FK,Ángelo Sagal,angelo-sagal,Á. Sagal,M,25,180,265,M,588784,EUR,735091200,F,28,28,False,,14.0,11.0,2.0,1.0,4.0,4.0,9.0,12.0,3.0,1.0,,,,64.0,24.0,6.8,6.0,0,2.0,,,3.0,1.0,,,,,,1.0,,,,2.0,,3.0,3.0,,,,,,Ángelo,Sagal,,2.0,
10433898,home,Gaziantep FK,João Figueiredo,joao-figueiredo,J. Figueiredo,F,25,179,1278,M,841012,EUR,833155200,F,25,25,False,,20.0,14.0,,,6.0,8.0,8.0,12.0,,4.0,,,,87.0,35.0,7.0,11.0,1,,,1.0,6.0,7.0,,,,,1.0,,,1.0,2.0,,4.0,1.0,1.0,6.0,4.0,,1.0,,,,,,
