match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_penaltyFaced,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_totalCross,stat_duelLost,stat_dispossessed,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_aerialLost,captain,stat_totalContest,stat_shotOffTarget,stat_totalOffside,stat_expectedGoals,stat_penaltyConceded,stat_challengeLost,stat_wonContest,stat_accurateCross,stat_blockedScoringAttempt,stat_keyPass,stat_bigChanceCreated,stat_lastManTackle,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,player_sofascoreId,stat_savedShotsFromInsideTheBox,stat_saves,stat_outfielderBlock,stat_bigChanceMissed
12437710,home,Mallorca,Dominik Greif,dominik-greif,D. Greif,G,1,197,925,M,791046,EUR,860284800,G,1,1,False,43.0,29.0,19.0,5.0,0.0,26.0,28.0,3.0,15.0,1.0,1.0,2.0,2.0,1.0,1.0,90.0,45.0,6.5,14.0,0.00047953,0,-0.4008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12437710,home,Mallorca,Mateu Morey,mateu-morey,M. Morey,D,2,171,594,M,879543,EUR,951955200,D,2,2,False,43.0,35.0,5.0,2.0,0.0,23.0,25.0,12.0,20.0,2.0,5.0,4.0,3.0,,,78.0,69.0,6.7,13.0,0.0295778,0,,,,2.0,3.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,
12437710,home,Mallorca,Martin Valjent,martin-valjent,M. Valjent,D,24,187,757,M,300522,EUR,818640000,D,24,24,False,55.0,50.0,11.0,9.0,0.0,39.0,42.0,11.0,13.0,2.0,3.0,2.0,7.0,,,90.0,62.0,6.9,7.0,0.00504101,0,,,,,2.0,,1.0,1.0,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
12437710,home,Mallorca,Antonio Raíllo,antonio-raillo,A. Raíllo,D,21,186,793,M,807116,EUR,686880000,D,21,21,False,58.0,53.0,5.0,3.0,0.0,44.0,44.0,9.0,14.0,3.0,4.0,4.0,7.0,,,90.0,68.0,6.9,6.0,0.00569919,1,,,,,2.0,,3.0,,,,1.0,,1.0,True,1.0,1.0,1.0,0.0219,,,,,,,,,,,,,,,,
12437710,home,Mallorca,Johan Mojica,johan-mojica,J. Mojica,D,22,185,3950,M,344847,EUR,714355200,D,22,22,False,40.0,28.0,7.0,1.0,0.0,14.0,19.0,14.0,21.0,,1.0,1.0,7.0,,,90.0,56.0,6.3,17.0,0.0148665,0,,,,,2.0,1.0,1.0,1.0,1.0,3.0,,1.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,
12437710,home,Mallorca,Manu Morlanes,manu-morlanes,M. Morlanes,M,8,178,430,M,826004,EUR,916099200,M,8,8,False,45.0,39.0,1.0,,0.0,26.0,29.0,13.0,16.0,,4.0,1.0,5.0,,,90.0,53.0,6.9,6.0,0.00645294,1,,,,,1.0,,,4.0,2.0,,,1.0,,,,1.0,,0.0447,,,,,,,,,,,,,,,,
12437710,home,Mallorca,Samú Costa,samuel-costa,S. Costa,M,12,183,1427,M,988351,EUR,975283200,M,12,12,False,51.0,35.0,6.0,2.0,0.0,25.0,29.0,10.0,22.0,5.0,19.0,1.0,4.0,,,90.0,79.0,7.6,21.0,0.0264816,0,,,,,2.0,1.0,2.0,9.0,3.0,4.0,5.0,,,,1.0,,,,,1.0,1.0,,,,,,,,,,,,,
12437710,home,Mallorca,Robert Navarro,robert-navarro,R. Navarro,M,23,178,940,M,944165,EUR,1018569600,M,27,27,False,24.0,17.0,,,0.0,4.0,4.0,14.0,25.0,1.0,5.0,1.0,7.0,,,70.0,51.0,7.1,20.0,0.20301,2,,,,5.0,6.0,3.0,1.0,2.0,2.0,4.0,,,2.0,,3.0,1.0,,0.074,,,2.0,1.0,1.0,2.0,,,,,,,,,,
12437710,home,Mallorca,Dani Rodríguez,dani-rodriguez,D. Rodríguez,M,9,177,524,M,349526,EUR,581558400,M,14,14,False,20.0,16.0,2.0,2.0,1.0,7.0,9.0,11.0,14.0,,2.0,,4.0,,,70.0,39.0,6.8,13.0,0.0910873,1,,,,3.0,7.0,5.0,1.0,1.0,,2.0,1.0,2.0,,,,,2.0,0.0456,,,,2.0,1.0,2.0,,,,,,,,,,
12437710,home,Mallorca,Sergi Darder,sergi-darder,S. Darder,M,10,180,979,M,110783,EUR,756518400,M,10,10,False,32.0,24.0,2.0,,1.0,7.0,10.0,18.0,24.0,,8.0,,1.0,,,85.0,47.0,7.6,11.0,0.207676,0,,,,2.0,2.0,1.0,,3.0,2.0,,3.0,,,,3.0,,,,,,2.0,1.0,,2.0,1.0,1.0,,,,,,,,
