match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_penaltySave,stat_penaltyFaced,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_interceptionWon,stat_totalTackle,stat_fouls,stat_clearanceOffLine,stat_outfielderBlock,stat_penaltyConceded,stat_wasFouled,stat_dispossessed,stat_totalCross,stat_accurateCross,stat_totalContest,stat_wonContest,stat_wonTackle,stat_unsuccessfulTouch,stat_blockedScoringAttempt,stat_hitWoodwork,captain,stat_keyPass,stat_goalAssist,stat_onTargetScoringAttempt,stat_goals,player_sofascoreId,stat_penaltyWon,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_shotOffTarget,stat_totalOffside,stat_bigChanceMissed,stat_penaltyMiss
10411709,home,Spezia,Bartłomiej Drągowski,bartlomiej-dragowski,B. Drągowski,G,1,191,2915,M,329519,EUR,871948800,G,69,69,False,40.0,17.0,34.0,11.0,9.0,10.0,8.0,30.0,1.0,11.0,4.0,1.0,2.0,6.0,90.0,52.0,8.3,23.0,0.0,0.0,0.00533582,0,1.4554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10411709,home,Spezia,Ethan Ampadu,ethan-ampadu,E. Ampadu,D,4,182,2540,M,847097,EUR,968889600,D,4,4,False,27.0,23.0,4.0,3.0,17.0,20.0,6.0,7.0,11.0,4.0,,,,,90.0,53.0,6.6,4.0,0.0,0.0,0.00648755,0,,,,2.0,3.0,8.0,5.0,5.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
10411709,home,Spezia,Mattia Caldara,mattia-caldara,M. Caldara,D,,187,516,M,362222,EUR,768096000,D,29,29,False,22.0,15.0,6.0,2.0,13.0,18.0,2.0,4.0,9.0,4.0,,,,,90.0,36.0,7.1,7.0,0.0,0.0,0.0070749,0,,,,3.0,3.0,4.0,4.0,,,,1.0,1.0,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
10411709,home,Spezia,Dimitrios Nikolaou,dimitris-nikolaou,D. Nikolaou,D,43,188,244,M,788185,EUR,902966400,D,43,43,False,40.0,33.0,7.0,1.0,24.0,28.0,9.0,12.0,3.0,3.0,,,,,90.0,57.0,6.5,10.0,0.0,0.0,0.00740146,0,,,,1.0,1.0,4.0,4.0,1.0,,2.0,1.0,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
10411709,home,Spezia,Kelvin Amian,kelvin-amian,K. Amian,D,98,179,199,M,802143,EUR,886896000,M,27,27,False,15.0,12.0,3.0,,5.0,5.0,8.0,12.0,3.0,6.0,,,,,90.0,43.0,6.9,11.0,0.0,0.0,0.0380795,0,,,,2.0,,5.0,5.0,,,3.0,,,2.0,,,2.0,2.0,1.0,3.0,2.0,3.0,1.0,,,,,,,,,,,,,,,,
10411709,home,Spezia,Szymon Żurkowski,szymon-zurkowski,S. Żurkowski,F,14,185,1858,M,860435,EUR,875145600,M,77,77,False,10.0,7.0,,,3.0,6.0,4.0,4.0,2.0,1.0,,,,,45.0,20.0,7.0,3.0,0.0,0.0,0.00224541,0,,,,1.0,,3.0,4.0,1.0,1.0,4.0,1.0,,1.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,
10411709,home,Spezia,Mehdi Bourabia,mehdi-bourabia,M. Bourabia,M,,183,404,M,98003,EUR,681523200,M,6,6,False,21.0,19.0,2.0,1.0,11.0,11.0,8.0,12.0,3.0,4.0,,,,,90.0,33.0,6.7,6.0,0.0,0.0,0.00754445,0,,,,1.0,2.0,3.0,3.0,,1.0,,,,1.0,,,,2.0,,3.0,1.0,,,,,,,,,,,,,,,,,,
10411709,home,Spezia,Kevin Agudelo,kevin-agudelo,K. Agudelo,M,20,178,358,M,931290,EUR,911001600,M,33,33,False,12.0,11.0,1.0,1.0,5.0,6.0,6.0,6.0,,2.0,,,,,67.0,24.0,7.3,4.0,0.0696,0.0,0.0118818,1,,,,1.0,1.0,1.0,6.0,,2.0,2.0,,,,,1.0,,,,2.0,2.0,1.0,3.0,1.0,1.0,,,,,,,,,,,,,,
10411709,home,Spezia,Emmanuel Gyasi,emmanuel-gyasi,E. Gyasi,M,11,182,716,M,541578,EUR,758246400,M,11,11,False,24.0,18.0,3.0,,8.0,9.0,10.0,17.0,,3.0,,,,,81.0,35.0,6.3,11.0,0.0,0.0,0.0090837,0,,,,1.0,2.0,4.0,3.0,,,1.0,4.0,,,,,1.0,2.0,,,,1.0,2.0,,,True,1.0,,,,,,,,,,,,
10411709,home,Spezia,Eldor Shomurodov,shomurodov-eldor,E. Shomurodov,F,14,190,31540,M,791355,EUR,804384000,F,14,14,False,14.0,8.0,,,3.0,5.0,5.0,9.0,,2.0,,,,,45.0,24.0,6.3,12.0,0.0,0.0,0.0041725,0,,,,3.0,1.0,7.0,3.0,,,,,,,,1.0,2.0,,,3.0,1.0,,2.0,,,,,,,,,,,,,,,,
10411709,home,Spezia,M'Bala Nzola,mbala-nzola,M. Nzola,F,8,185,2430,M,788061,EUR,840326400,F,18,18,False,15.0,11.0,,,1.0,1.0,10.0,15.0,,5.0,,,,,90.0,36.0,7.6,14.0,0.7884,0.9828,0.0645407,1,,,,7.0,,13.0,6.0,1.0,,,1.0,,,,1.0,1.0,1.0,,9.0,5.0,,4.0,,,,1.0,1.0,1.0,1.0,,,,,,,,,
10411709,home,Spezia,Albin Ekdal,albin-ekdal,A. Ekdal,M,8,186,177,M,21992,EUR,617587200,M,8,8,True,11.0,10.0,1.0,1.0,6.0,7.0,4.0,4.0,3.0,2.0,,,,,45.0,17.0,6.5,2.0,0.0,0.0,0.00273208,0,,,,,1.0,1.0,1.0,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
10411709,home,Spezia,Daniel Maldini,daniel-maldini,D. Maldini,F,27,187,4629,M,970928,EUR,1002758400,F,30,30,True,7.0,3.0,,,1.0,1.0,2.0,6.0,,1.0,,,,,44.0,15.0,7.1,8.0,0.1253,0.2614,0.0009992,2,,,,,2.0,3.0,3.0,1.0,,,1.0,,,,,1.0,,,1.0,1.0,,3.0,1.0,,,,,1.0,1.0,dani.malda,,,,,,,,
