match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,player_sofascoreId,captain,stat_totalCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_challengeLost,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_aerialWon,stat_shotOffTarget,stat_outfielderBlock,stat_fouls,stat_expectedGoals,stat_dispossessed,stat_unsuccessfulTouch,stat_accurateCross,stat_keyPass,stat_blockedScoringAttempt,stat_totalContest,stat_wonContest,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,stat_totalOffside,stat_bigChanceCreated,stat_bigChanceMissed,stat_hitWoodwork,player_firstName,player_lastName,stat_goodHighClaim,stat_punches,stat_goalsPrevented
12501522,home,Napoli,Leonardo Spinazzola,leonardo-spinazzola,L. Spinazzola,D,37,185,3729,M,148899,EUR,733017600,F,37,37,False,28.0,25.0,1.0,1.0,0.0,11.0,13.0,15.0,21.0,1.0,2.0,,,90.0,42.0,7.5,9.0,0.523199,0,,,6.0,,,3.0,,,1.0,,,,,,,,,1.0,1.0,3.0,,2.0,2.0,,,,,1.0,,,,,,,
12501522,home,Napoli,Philip Billing,philip-billing,P. Billing,M,8,193,1790,M,548660,EUR,834451200,M,15,15,True,23.0,21.0,1.0,1.0,0.0,13.0,13.0,8.0,10.0,1.0,1.0,,,32.0,29.0,6.8,3.0,0.139172,1,,,,1.0,2.0,2.0,,,2.0,2.0,,,1.0,,,0.6307,,,,,,1.0,,,,,,,1.0,1.0,,,,,
12501522,home,Napoli,Rafa Marín,rafa-marin,R. Marín,D,4,190,2354,M,984623,EUR,1021766400,D,16,16,True,21.0,20.0,5.0,4.0,0.0,14.0,14.0,6.0,7.0,,,,,26.0,23.0,6.7,1.0,0.00107917,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12501522,home,Napoli,Billy Gilmour,gilmour-billy,B. Gilmour,M,6,169,4342,M,907668,EUR,992217600,M,6,6,True,2.0,2.0,,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,,,10.0,3.0,6.6,,0.00010232,0,billygilmour,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
12501522,home,Napoli,Giovanni Simeone,giovanni-simeone,G. Simeone,F,18,179,9782,M,341143,EUR,804902400,F,18,18,True,4.0,3.0,,,0.0,,,3.0,4.0,,,,,10.0,7.0,6.5,3.0,0.00655502,0,simeonegiovanni,,,,1.0,1.0,,,,,,1.0,,,,,,1.0,,,,1.0,,,,,,,,,,,,,
12501522,home,Napoli,Giacomo Raspadori,giacomo-raspadori,G. Raspadori,F,18,172,8190,M,865651,EUR,950832000,F,81,81,True,2.0,2.0,1.0,1.0,0.0,,,2.0,3.0,,1.0,,,10.0,5.0,6.6,2.0,0.00343838,0,giacomo.raspadori,,1.0,,,1.0,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
12501522,home,Napoli,Claudio Turi,turi-claudio,C. Turi,G,55,188,334,M,1175874,EUR,1115337600,G,12,12,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12501522,home,Napoli,Simone Scuffet,simone-scuffet,S. Scuffet,G,22,193,684,M,284349,EUR,833500800,G,96,96,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12501522,home,Napoli,Luis Hasa,luis-hasa,L. Hasa,M,70,172,994,M,1082407,EUR,1073347200,M,29,29,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12501522,home,Napoli,Pasquale Mazzocchi,pasquale-mazzocchi,P. Mazzocchi,M,30,183,1368,M,377512,EUR,806803200,D,30,30,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12501522,home,Napoli,Noah Okafor,noah-okafor,N. Okafor,F,19,185,5947,M,865523,EUR,959126400,F,9,9,True,,,,,,,,,,,,,,,,,,,0,noah.arinze,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12501522,home,Napoli,Cyril Ngonge,cyril-ngonge,C. Ngonge,F,16,179,1937,M,877037,EUR,959299200,F,26,26,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12501522,away,Torino,Vanja Milinković-Savić,vanja-milinkovic-savic,V. Milinković-Savić,G,32,202,6222,M,356160,EUR,856396800,G,32,32,False,38.0,22.0,22.0,8.0,0.0,19.0,21.0,3.0,17.0,2.0,9.0,2.0,2.0,90.0,49.0,6.4,16.0,0.00113957,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,-0.3459
12501522,away,Torino,Saúl Coco,saul-coco,S. Coco,D,23,188,1248,M,1089453,EUR,918518400,D,23,23,False,31.0,27.0,2.0,,0.0,16.0,17.0,12.0,15.0,3.0,2.0,,,68.0,44.0,6.5,5.0,0.0109221,1,,,1.0,2.0,3.0,1.0,1.0,,,,1.0,,1.0,2.0,,0.0179,,,1.0,,,,,,,,,,,,,,,,
12501522,away,Torino,Guillermo Maripán,guillermo-maripan,G. Maripán,D,13,193,2139,M,339909,EUR,768182400,D,13,13,False,28.0,24.0,3.0,2.0,0.0,17.0,19.0,7.0,9.0,4.0,4.0,,,90.0,41.0,6.6,5.0,0.00755789,0,,,,4.0,7.0,5.0,,2.0,2.0,2.0,,3.0,,,3.0,,,1.0,,,,,,,,,,,,,,,,,
12501522,away,Torino,Adam Masina,adam-masina,A. Masina,D,,189,5428,M,259995,EUR,757468800,D,5,5,False,50.0,40.0,8.0,4.0,0.0,27.0,29.0,13.0,21.0,4.0,5.0,,,85.0,60.0,6.6,11.0,0.00753284,0,,,,2.0,3.0,4.0,,2.0,1.0,,,2.0,,,,,1.0,,,,,1.0,1.0,,,,,,,,,,,,
12501522,away,Torino,Marcus Pedersen,marcus-pedersen,M. Pedersen,D,16,178,644,M,934409,EUR,963705600,M,16,16,False,40.0,34.0,3.0,,0.0,20.0,25.0,16.0,24.0,,5.0,,,90.0,57.0,6.2,15.0,0.0856623,0,,,9.0,1.0,3.0,,,,,,,,,,,,,,2.0,1.0,,2.0,,,,,,,,,,,,,
12501522,away,Torino,Cesare Casadei,cesare-casadei,C. Casadei,M,22,192,6575,M,1016788,EUR,1042156800,M,22,22,False,44.0,34.0,6.0,4.0,0.0,16.0,18.0,18.0,26.0,,5.0,,,90.0,52.0,6.8,12.0,0.0308053,0,cesarecasadei,,,,4.0,6.0,1.0,3.0,,,1.0,5.0,,,2.0,,1.0,1.0,,1.0,,,,,,,,,,,,,,,
12501522,away,Torino,Karol Linetty,karol-linetty,K. Linetty,M,10,176,2109,M,189135,EUR,791683200,M,77,77,False,20.0,20.0,,,0.0,10.0,10.0,10.0,10.0,4.0,1.0,,,59.0,32.0,6.9,2.0,0.461623,2,,True,,1.0,4.0,2.0,,,,,,,,,2.0,0.0624,1.0,1.0,,2.0,2.0,2.0,2.0,,,,,1.0,,,,,,,
12501522,away,Torino,Adrien Tameze,adrien-tameze,A. Tameze,M,61,182,371,M,139235,EUR,760320000,M,61,61,False,17.0,16.0,,,0.0,9.0,9.0,7.0,8.0,,,,,45.0,18.0,6.4,1.0,0.00512709,0,,,,,2.0,1.0,1.0,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,
12501522,away,Torino,Cristiano Biraghi,cristiano-biraghi,C. Biraghi,D,34,184,1338,M,122848,EUR,715305600,M,34,34,False,18.0,13.0,3.0,2.0,0.0,6.0,7.0,7.0,15.0,3.0,2.0,,,59.0,29.0,6.4,11.0,0.00393194,0,,,4.0,,3.0,1.0,,,,,,1.0,,,1.0,,,,,,,2.0,,,,,,,,,,,,,
12501522,away,Torino,Che Adams,che-adams,C. Adams,F,19,175,2940,M,773409,EUR,837216000,F,18,18,False,15.0,11.0,2.0,,0.0,5.0,7.0,6.0,8.0,,2.0,,,90.0,31.0,6.5,9.0,0.0263527,2,,,,1.0,3.0,5.0,,,2.0,2.0,2.0,,1.0,,,0.685,2.0,3.0,,,1.0,1.0,1.0,,,,,,1.0,,,,,,
12501522,away,Torino,Eljif Elmas,eljif-elmas,E. Elmas,M,20,182,3699,M,838232,EUR,938131200,F,11,11,False,27.0,26.0,2.0,1.0,0.0,5.0,5.0,21.0,23.0,,1.0,,,90.0,40.0,6.7,5.0,0.1526,1,,,1.0,1.0,4.0,3.0,,,,,1.0,,,,1.0,0.0275,2.0,1.0,,,1.0,2.0,2.0,,,,,,,,,,,,
