match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_wonContest,stat_totalClearance,stat_interceptionWon,stat_penaltyConceded,stat_fouls,stat_possessionLostCtrl,stat_keyPass,stat_aerialWon,stat_outfielderBlock,stat_wasFouled,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_goals,stat_totalTackle,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_goalAssist,stat_bigChanceMissed,stat_dispossessed,stat_bigChanceCreated,stat_blockedScoringAttempt,stat_unsuccessfulTouch,stat_totalOffside,stat_wonTackle,captain,stat_goodHighClaim,stat_errorLeadToAShot,stat_hitWoodwork
11368644,home,Villarreal,Filip Jørgensen,filip-jorgensen,F. Jørgensen,G,12,190,13907,M,filipjorgensen1,962053,EUR,1018915200,G,13,13,False,16.0,16.0,4.0,4.0,13.0,13.0,3.0,3.0,6.0,1.0,1.0,2.0,90.0,22.0,6.8,0.00041939,0,0.1598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11368644,home,Villarreal,Kiko Femenía,kiko-femenia,K. Femenía,D,17,176,444,M,,53739,EUR,665452800,D,17,17,False,71.0,65.0,6.0,4.0,23.0,23.0,43.0,54.0,8.0,,,,90.0,100.0,6.6,0.110267,0,,,,6.0,1.0,1.0,5.0,2.0,1.0,3.0,2.0,1.0,2.0,1.0,3.0,13.0,1.0,,,,,,,,,,,,,,,,,,,,,
11368644,home,Villarreal,Eric Bailly,eric-bailly,E. Bailly,D,2,187,4273,M,ericbailly,606346,EUR,766108800,D,12,12,False,50.0,44.0,3.0,2.0,29.0,32.0,15.0,18.0,7.0,,,,90.0,58.0,6.9,0.00348706,0,,,,,,2.0,3.0,4.0,,1.0,1.0,1.0,1.0,,1.0,7.0,,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,
11368644,home,Villarreal,Yerson Mosquera,yerson-mosquera,Y. Mosquera,D,15,188,3155,M,,1014835,EUR,988761600,D,2,2,False,44.0,40.0,2.0,1.0,23.0,25.0,17.0,19.0,6.0,,,,90.0,55.0,7.7,0.00918995,3,,,,,,,1.0,7.0,,1.0,1.0,2.0,1.0,,1.0,5.0,,4.0,,1.0,2.0,1.0,1.0,1.0,0.658,0.7699,,,,,,,,,,,,
11368644,home,Villarreal,Jorge Cuenca,jorge-cuenca,J. Cuenca,D,15,190,660,M,,868715,EUR,942796800,D,5,5,False,35.0,28.0,3.0,,6.0,7.0,25.0,33.0,1.0,,,,82.0,55.0,6.7,0.242303,2,,,,5.0,3.0,2.0,5.0,2.0,1.0,3.0,2.0,2.0,1.0,,1.0,11.0,3.0,,,,2.0,,,,0.2009,,1.0,1.0,,,,,,,,,,
11368644,home,Villarreal,Ilias Akhomach,ilias-akhomach,I. Akhomach,M,12,175,15826,M,iliasakhomach,1089108,EUR,1082073600,M,27,27,False,24.0,18.0,2.0,1.0,2.0,3.0,17.0,23.0,4.0,,,,64.0,47.0,6.7,0.176386,2,,,,2.0,1.0,,8.0,8.0,,6.0,3.0,,,,1.0,16.0,1.0,,,3.0,,,,2.0,0.0941,,,,4.0,1.0,2.0,1.0,1.0,,,,,
11368644,home,Villarreal,Francis Coquelin,francis-coquelin,F. Coquelin,M,13,178,472,M,,40672,EUR,674092800,M,19,19,False,28.0,25.0,3.0,2.0,6.0,8.0,19.0,21.0,4.0,,,,45.0,38.0,6.6,0.0103292,1,,,,1.0,,3.0,6.0,4.0,,,,,,,2.0,6.0,,1.0,,1.0,,,,2.0,0.0287,,,,1.0,,1.0,1.0,1.0,1.0,,,,
11368644,home,Villarreal,Dani Parejo,dani-parejo,D. Parejo,M,10,180,1999,M,,39182,EUR,608688000,M,10,10,False,90.0,81.0,11.0,8.0,25.0,27.0,56.0,64.0,6.0,,,,90.0,97.0,7.6,0.329818,1,,,,1.0,,1.0,3.0,2.0,1.0,,,,,,,13.0,2.0,1.0,,,,,,1.0,0.0178,,,,1.0,1.0,1.0,1.0,,1.0,True,,,
11368644,home,Villarreal,Alejandro Baena,alejandro-baena,A. Baena,M,10,174,9564,M,alexbaena,910031,EUR,995587200,M,16,16,False,47.0,35.0,6.0,2.0,4.0,5.0,35.0,56.0,1.0,,,,90.0,78.0,7.4,0.638588,5,,,,14.0,4.0,,5.0,3.0,,,,,1.0,,2.0,28.0,5.0,,,2.0,3.0,2.0,,1.0,1.0155,1.0969,1.0,2.0,3.0,1.0,,2.0,,1.0,,,,
11368644,home,Villarreal,Gonçalo Guedes,goncalo-guedes,G. Guedes,F,11,179,3550,M,,280979,EUR,849225600,F,9,9,False,25.0,22.0,1.0,1.0,3.0,3.0,19.0,25.0,1.0,,,,82.0,37.0,6.8,0.0298695,4,,,,3.0,,,2.0,,,2.0,,,,,,10.0,4.0,,,,1.0,1.0,,,0.6989,0.6682,,1.0,,1.0,2.0,2.0,,,,,,
