match_id,text,homeScore,awayScore,isLive,time,addedTime,timeSeconds,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,id,injury,isHome,incidentClass,length,player_id,player_name,playerName,reason,rescinded,confirmed
12006145,FT,2.0,0.0,False,90,999.0,5400.0,1,0.0,2700.0,period,,,,,,,,,,,
12006145,,,,,90,6.0,,1,,,substitution,122399627.0,True,True,injury,,,,,,,
12006145,,,,,90,0.0,,1,,,injuryTime,,,,,2.0,,,,,,
12006145,,2.0,0.0,,86,,,5,,,goal,178132771.0,,True,regular,,797279.0,Bart Nieuwkoop,,,,
12006145,,,,,83,,,8,,,substitution,122399610.0,False,False,regular,,,,,,,
12006145,,,,,78,,,13,,,substitution,122399601.0,False,True,regular,,,,,,,
12006145,,,,,71,,,20,,,substitution,122399588.0,False,False,regular,,,,,,,
12006145,,,,,54,,,37,,,card,121134298.0,,False,yellow,,994591.0,Kristijan Belić,Kristijan Belić,Foul,False,
12006145,,,,,52,,,39,,,card,121134291.0,,True,yellow,,892141.0,Santiago Giménez,Santiago Giménez,Foul,False,
12006145,,,,,46,,,45,,,substitution,122399477.0,False,False,regular,,,,,,,
12006145,,,,,46,,,45,,,substitution,122399476.0,False,False,regular,,,,,,,
12006145,,,,,46,,,45,,,substitution,122399475.0,False,False,regular,,,,,,,
12006145,HT,1.0,0.0,False,45,999.0,2700.0,1,0.0,2700.0,period,,,,,,,,,,,
12006145,,,,,45,0.0,,1,,,injuryTime,,,,,4.0,,,,,,
12006145,,1.0,0.0,,44,,,2,,,goal,178130855.0,,True,regular,,856739.0,Lutsharel Geertruida,,,,
12006145,,,,,31,,,15,,,substitution,122399408.0,True,True,injury,,,,,,,
12006145,,,,,23,,,23,,,varDecision,23206.0,,True,goalAwarded,,121588.0,Gernot Trauner,,,,False
12006145,,,,,20,,,26,,,card,121134238.0,,False,yellow,,116946.0,Jordy Clasie,Jordy Clasie,Foul,False,
