match_id,text,homeScore,awayScore,isLive,time,addedTime,timeSeconds,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,length,playerName,reason,rescinded,id,isHome,incidentClass,player_id,player_name,injury,from
10408366,FT,4.0,0.0,False,90,999.0,5400.0,1,0.0,2700.0,period,,,,,,,,,,,
10408366,,,,,90,0.0,,1,,,injuryTime,2.0,,,,,,,,,,
10408366,,,,,83,,,8,,,card,,Mariano Díaz,Foul,False,120625950.0,True,yellow,175753.0,Mariano Díaz,,
10408366,,,,,81,,,10,,,substitution,,,,,121568122.0,True,regular,,,False,
10408366,,4.0,0.0,,80,,,11,,,goal,,,,,168084247.0,True,regular,15466.0,Luka Modrić,,
10408366,,,,,78,,,13,,,substitution,,,,,121568112.0,True,regular,,,False,
10408366,,,,,73,,,18,,,substitution,,,,,121568106.0,False,injury,,,True,
10408366,,,,,72,,,19,,,card,,Diego González,Foul,False,120625939.0,False,yellow,597756.0,Diego González,,
10408366,,,,,68,,,23,,,substitution,,,,,121568083.0,True,regular,,,False,
10408366,,,,,68,,,23,,,substitution,,,,,121568082.0,True,regular,,,False,
10408366,,,,,68,,,23,,,substitution,,,,,121568081.0,True,regular,,,False,
10408366,,,,,66,,,25,,,substitution,,,,,121568064.0,False,injury,,,True,
10408366,,,,,58,,,33,,,substitution,,,,,121568029.0,False,regular,,,False,
10408366,,,,,58,,,33,,,substitution,,,,,121568028.0,False,regular,,,False,
10408366,,,,,57,,,34,,,substitution,,,,,121568027.0,False,regular,,,False,
10408366,,,,,53,,,38,,,card,,Gerard Gumbau,Foul,False,120625907.0,False,yellow,326471.0,Gerard Gumbau,,
10408366,HT,3.0,0.0,False,45,999.0,2700.0,1,0.0,2700.0,period,,,,,,,,,,,
10408366,,3.0,0.0,,45,1.0,,1,,,goal,,,,,168083908.0,True,penalty,3306.0,Karim Benzema,,penalty
10408366,,,,,45,0.0,,1,,,injuryTime,2.0,,,,,,,,,,
10408366,,2.0,0.0,,31,,,15,,,goal,,,,,168083802.0,True,penalty,3306.0,Karim Benzema,,penalty
10408366,,,,,30,,,16,,,card,,Enzo Roco,Handball,False,120625869.0,False,yellow,105971.0,Enzo Roco,,
10408366,,1.0,0.0,,8,,,38,,,goal,,,,,168083539.0,True,regular,361004.0,Marco Asensio,,
