match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_penaltyConceded,stat_fouls,stat_penaltyFaced,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_expectedGoals,stat_expectedGoalsOnTarget,captain,stat_errorLeadToAShot,stat_unsuccessfulTouch,stat_wasFouled,stat_aerialLost,stat_totalCross,stat_totalContest,stat_shotOffTarget,stat_keyPass,stat_challengeLost,stat_dispossessed,stat_wonContest,stat_accurateCross,stat_blockedScoringAttempt,stat_totalOffside,stat_bigChanceCreated,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_goals,stat_penaltyWon
12512897,home,Casa Pia,Ricardo Batista,ricardo-batista,R. Batista,G,33,193,111,M,9668,EUR,532656000,G,33,33,False,31.0,28.0,3.0,1.0,0.0,27.0,29.0,1.0,2.0,1.0,1.0,1.0,3.0,10.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,90.0,39.0,6.5,4.0,0.0014166,0,-0.228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12512897,home,Casa Pia,João Goulart,joao-goulart,J. Goulart,D,4,191,68,M,1151667,EUR,948931200,D,4,4,False,64.0,52.0,10.0,3.0,0.0,41.0,47.0,11.0,17.0,,2.0,1.0,4.0,1.0,,2.0,,,,,,89.0,78.0,6.8,13.0,0.00558058,1,,,,1.0,1.0,1.0,2.0,1.0,1.0,0.143,0.6754,,,,,,,,,,,,,,,,,,,,
12512897,home,Casa Pia,José Fonte,jose-fonte,J. Fonte,D,6,191,691,M,27622,EUR,440899200,D,6,6,False,72.0,68.0,5.0,3.0,0.0,50.0,52.0,18.0,20.0,1.0,,3.0,4.0,7.0,,,,,,,,90.0,81.0,6.7,5.0,0.00703018,0,,,,,,,,1.0,1.0,,,True,1.0,1.0,1.0,,,,,,,,,,,,,,,,
12512897,home,Casa Pia,Nermin Zolotić,nermin-zolotic,N. Zolotić,D,44,188,74,M,94826,EUR,742003200,D,19,19,False,90.0,80.0,15.0,10.0,0.0,34.0,38.0,46.0,52.0,1.0,4.0,3.0,1.0,3.0,,1.0,,,,,,90.0,96.0,6.8,10.0,0.026947,0,,,,,,,1.0,1.0,,,,,,,1.0,3.0,,,,,,,,,,,,,,,
12512897,home,Casa Pia,André Geraldes,andre-geraldes,A. Geraldes,D,18,181,32,M,125039,EUR,673142400,M,18,18,False,22.0,20.0,2.0,1.0,0.0,8.0,9.0,12.0,14.0,1.0,2.0,1.0,1.0,2.0,,1.0,,,,,,68.0,33.0,6.7,4.0,0.00943596,1,,,,,,,,,,0.0241,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,
12512897,home,Casa Pia,Telasco Segovia,telasco-segovia,T. Segovia,M,8,175,5926,M,1106549,EUR,1049241600,M,8,8,False,39.0,31.0,2.0,1.0,0.0,16.0,18.0,15.0,21.0,,4.0,3.0,,5.0,,2.0,,,,,,68.0,45.0,6.7,9.0,0.0467724,0,,Telasco Segovia,,,,,1.0,3.0,2.0,,,,,,,,,,,,1.0,1.0,,,,,,,,,
12512897,home,Casa Pia,Beni Mukendi,beni-mukendi,B. Mukendi,M,16,180,646,M,1002367,EUR,1021939200,M,16,16,False,69.0,61.0,5.0,2.0,0.0,24.0,26.0,37.0,43.0,2.0,3.0,6.0,1.0,6.0,,1.0,,,,,,90.0,85.0,7.0,12.0,0.0388986,1,,,,,,,1.0,1.0,1.0,0.0466,,,,2.0,2.0,,,2.0,1.0,1.0,,1.0,1.0,,,,,,,,
12512897,home,Casa Pia,Leonardo Lelo,leonardo-lelo,L. Lelo,M,5,175,353,M,1006865,EUR,954374400,M,5,5,False,42.0,37.0,1.0,,0.0,8.0,9.0,31.0,40.0,,3.0,5.0,,3.0,,,,,,,,90.0,72.0,7.3,15.0,0.0897898,0,,,,,,,,1.0,,,,,,3.0,1.0,2.0,7.0,3.0,,1.0,,1.0,3.0,2.0,,,,,,,
12512897,home,Casa Pia,Raúl García,raul-garcia,R. García,G,25,188,24,M,1484959,EUR,948931200,F,10,10,False,11.0,10.0,4.0,4.0,0.0,3.0,3.0,7.0,8.0,1.0,3.0,4.0,,3.0,,,,,,,,80.0,20.0,7.0,4.0,0.00941664,2,,,,,,,,2.0,2.0,0.1012,,,,2.0,,2.0,,1.0,1.0,,,1.0,1.0,,1.0,,,,,,
12512897,home,Casa Pia,Pablo,pablo,Pablo,M,7,182,239,M,931595,EUR,942537600,F,80,80,False,30.0,24.0,,,0.0,2.0,4.0,23.0,28.0,,6.0,2.0,,,,1.0,,,,,,80.0,49.0,7.0,14.0,0.208675,4,,,,,,,,,,0.1642,,,,4.0,,2.0,2.0,5.0,4.0,2.0,,,2.0,1.0,,1.0,,,,,
12512897,home,Casa Pia,Nuno Moreira,nuno-moreira,N. Moreira,M,17,173,4313,M,851285,EUR,929491200,F,7,7,False,43.0,36.0,2.0,2.0,0.0,7.0,8.0,29.0,39.0,,4.0,2.0,,8.0,,,,,,,,90.0,64.0,7.4,20.0,0.0978029,2,,,,,1.0,,,,,0.0878,0.0091,,,5.0,,1.0,4.0,4.0,1.0,4.0,,1.0,2.0,,,1.0,,,,,
