match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelLost,stat_challengeLost,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalBallCarriesDistance,stat_ballCarriesCount,stat_totalProgression,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,player_firstName,player_lastName,stat_totalCross,stat_duelWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,captain,stat_aerialLost,stat_aerialWon,stat_onTargetScoringAttempt,stat_outfielderBlock,stat_interceptionWon,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_bestBallCarryProgression,stat_totalProgressiveBallCarriesDistance,stat_progressiveBallCarriesCount,stat_keyPass,stat_shotValueNormalized,stat_blockedScoringAttempt,stat_totalContest,stat_bigChanceCreated,stat_totalOffside,stat_accurateCross,stat_wonContest,stat_shotOffTarget,stat_dispossessed,stat_bigChanceMissed,stat_goals,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,player_sofascoreId,stat_errorLeadToAGoal,stat_errorLeadToAShot
14288955,home,FC Arouca,Ignacio de Arruabarrena,ignacio-de-arruabarrena,I. d. Arruabarrena,G,12,186,301,M,789933,EUR,853372800,G,12,12,False,38.0,21.0,25.0,11.0,0.0,14.0,22.0,7.0,16.0,1.0,1.0,1.0,13.0,2.0,2.0,2.0,90.0,49.0,6.4,17.0,0.00075391,19.166233335927,4.0,4.7557426834332,0.0395,0,-1.5503,-0.03,-0.01,-0.14,-0.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14288955,home,FC Arouca,Alfonso Trezza,alfonso-trezza,A. Trezza,M,19,166,267,M,973517,EUR,930009600,D,19,19,False,18.0,13.0,2.0,,0.0,8.0,9.0,5.0,9.0,7.0,4.0,5.0,5.0,,,,90.0,35.0,6.6,8.0,0.00212769,36.077158980421,6.0,-2.6866779696153,,0,,0.01,0.09,-0.36,,,,1.0,6.0,3.0,3.0,2.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14288955,home,FC Arouca,Tiago Esgaio,tiago-esgaio,T. Esgaio,D,28,175,68,M,863637,EUR,807235200,D,28,28,False,29.0,20.0,4.0,1.0,0.0,14.0,16.0,6.0,13.0,6.0,,5.0,3.0,,,,90.0,45.0,6.1,12.0,0.00824186,32.204295609906,3.0,24.169101449188,,1,,0.05,0.02,-0.16,,,,,3.0,,,1.0,,4.0,True,2.0,3.0,1.0,1.0,2.0,0.0516,0.0796,20.932659049316,24.957733090167,1.0,1.0,0.01,,,,,,,,,,,,,,,
14288955,home,FC Arouca,Javi Sánchez,javi-sanchez,J. Sánchez,D,15,189,336,M,943713,EUR,858297600,D,15,15,False,31.0,28.0,6.0,4.0,0.0,23.0,24.0,5.0,7.0,1.0,1.0,3.0,2.0,,,,90.0,45.0,6.9,4.0,0.00866333,128.40433421741,13.0,31.100999566981,,1,,0.17,0.02,-0.1,,,,,4.0,2.0,2.0,,1.0,,,,1.0,,1.0,1.0,0.0523,,,,,1.0,-0.08,1.0,,,,,,,,,,,,,,
14288955,home,FC Arouca,Matías Rocha,matias-rocha,M. Rocha,D,4,183,65,M,1083250,EUR,982022400,D,4,4,False,36.0,29.0,8.0,4.0,0.0,20.0,23.0,9.0,13.0,,,4.0,,,,,70.0,43.0,6.7,7.0,0.00275483,68.112723966222,8.0,31.093434703507,,0,,0.11,0.05,-0.03,,,,,1.0,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
14288955,home,FC Arouca,Jose Fontán,jose-fontan,J. Fontán,D,3,182,67,M,964609,EUR,950227200,D,3,3,False,27.0,22.0,4.0,2.0,1.0,11.0,11.0,11.0,16.0,3.0,,4.0,2.0,,,,90.0,48.0,6.0,13.0,0.163182,40.731500123186,4.0,17.446415521954,,0,,-0.34,-0.02,-0.17,,,,4.0,,,,1.0,,,,2.0,,,1.0,,,,,,,1.0,,,1.0,1.0,2.0,,,,,,,,,,,
14288955,home,FC Arouca,Espen Van Ee,van-ee-espen,E. v. Ee,M,22,179,72,M,1126965,EUR,1057363200,M,22,22,False,37.0,33.0,,,0.0,23.0,26.0,10.0,11.0,4.0,2.0,2.0,5.0,,,,70.0,49.0,7.1,5.0,0.00358195,81.393367680987,15.0,-13.916993638957,,0,,-0.06,-0.12,0.45,,,,,5.0,3.0,1.0,,2.0,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
14288955,home,FC Arouca,Taichi Fukui,taichi-fukui,T. Fukui,M,21,177,1092,M,1105857,EUR,1089849600,M,21,21,False,45.0,39.0,5.0,1.0,0.0,24.0,26.0,15.0,19.0,4.0,1.0,2.0,4.0,,,,90.0,59.0,6.9,10.0,0.192982,164.87524866891,17.0,58.181190038516,,1,,0.43,0.06,-0.11,,,,2.0,3.0,1.0,1.0,1.0,1.0,,,1.0,,,,1.0,0.0773,,22.86496264207,28.995410412684,1.0,2.0,0.0,,3.0,,,1.0,1.0,1.0,,,,,,,,
14288955,home,FC Arouca,Naïs Djouahra,nais-djouahra,N. Djouahra,M,7,172,601,M,955133,EUR,943315200,M,7,7,False,14.0,12.0,1.0,1.0,0.0,5.0,6.0,7.0,8.0,3.0,,,3.0,,,,90.0,28.0,6.5,8.0,0.102892,156.81278225186,11.0,77.281749998118,,2,,0.1,0.31,-0.15,,,,3.0,1.0,1.0,,1.0,,1.0,,,,2.0,,2.0,0.3081,0.2521,23.55665854197,96.50886193969,4.0,2.0,-0.32,,,,,1.0,,,2.0,1.0,,,,,,
14288955,home,FC Arouca,Hyun-ju Lee,hyun-ju-lee,H. Lee,M,14,172,709,M,1191120,EUR,1044576000,F,14,14,False,31.0,29.0,1.0,1.0,0.0,18.0,20.0,11.0,11.0,3.0,1.0,,5.0,,,,76.0,43.0,6.7,6.0,0.233066,219.95283271143,19.0,84.684988950544,,2,,0.08,0.25,-0.07,,,,1.0,5.0,1.0,,2.0,3.0,1.0,,,,,,,0.0639,,43.462966521029,93.276625795601,3.0,1.0,-0.07,2.0,1.0,1.0,,,1.0,,1.0,,,,,,,
