match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_ownGoals,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_topSpeed,stat_kilometersCovered,stat_numberOfSprints,stat_totalBallCarriesDistance,stat_ballCarriesCount,stat_totalProgression,stat_bestBallCarryProgression,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_metersCoveredWalkingKm,stat_metersCoveredJoggingKm,stat_metersCoveredRunningKm,stat_metersCoveredHighSpeedRunningKm,stat_metersCoveredSprintingKm,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_outfielderBlock,stat_errorLeadToAShot,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_totalOffside,stat_totalProgressiveBallCarriesDistance,stat_progressiveBallCarriesCount,stat_keyPass,captain,stat_challengeLost,stat_interceptionWon,stat_totalTackle,stat_wonTackle,player_firstName,player_lastName,stat_dispossessed,stat_totalContest,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_shotValueNormalized,stat_wonContest,stat_bigChanceCreated,stat_bigChanceMissed,stat_goodHighClaim,stat_goals,stat_hitWoodwork
14566821,home,Olympique de Marseille,Gerónimo Rulli,geronimo-rulli,G. Rulli,G,1,189.0,13371,M,gerorulli,128383,EUR,706320000,G,1,1,False,37.0,33.0,7.0,3.0,0.0,32.0,32.0,1.0,5.0,3.0,5.0,1.0,1.0,1.0,1.0,1.0,90.0,46.0,5.8,4.0,0.00061237,24.048,4.80101,1.0,43.838866101291,10.0,18.795,4.305,0.0313,0,-1.9043,0.02,0.0,-0.8,0.04,3.4,1.26,0.11,0.02,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14566821,home,Olympique de Marseille,Benjamin Pavard,benjamin-pavard,B. Pavard,D,28,186.0,10869,M,benpavard21,787505,EUR,827971200,D,28,28,False,48.0,43.0,2.0,1.0,0.0,22.0,23.0,21.0,25.0,1.0,1.0,,,,,,90.0,58.0,5.9,6.0,0.14807,30.456,10.45591,14.0,164.30652538541,14.0,106.155,36.645,,0,,0.25,0.09,-0.56,,3.08,5.12,1.27,0.72,0.26,2.0,2.0,2.0,1.0,4.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,91.994763546179,4.0,2.0,,,,,,,,,,,,,,,,,,,,,
14566821,home,Olympique de Marseille,Leonardo Balerdi,leonardo-balerdi,L. Balerdi,D,5,188.0,7161,M,leobalerdi5,928236,EUR,917308800,D,5,5,False,101.0,90.0,8.0,5.0,0.0,61.0,67.0,29.0,34.0,3.0,7.0,,,,,,90.0,114.0,6.3,11.0,0.0211017,29.988,9.48086,7.0,205.56509948667,30.0,76.125,10.185,,0,,0.12,0.11,-0.44,,3.16,4.76,1.06,0.39,0.12,1.0,1.0,4.0,2.0,6.0,4.0,1.0,,,,1.0,,,,1.0,True,1.0,4.0,2.0,1.0,,,,,,,,,,,,,,,,
14566821,home,Olympique de Marseille,Facundo Medina,facundo-medina,F. Medina,D,32,184.0,4468,M,,860307,EUR,927849600,D,32,32,False,73.0,72.0,,,0.0,44.0,45.0,28.0,28.0,1.0,3.0,,,,,,90.0,86.0,6.4,4.0,0.0199643,31.536,10.20974,9.0,142.98587634685,17.0,79.485,20.16,,0,,0.19,0.07,-0.51,,2.93,5.34,1.36,0.43,0.16,,,,,,4.0,,,3.0,2.0,,,22.033003449371,1.0,1.0,,,1.0,2.0,2.0,,,,,,,,,,,,,,,,
14566821,home,Olympique de Marseille,Amir Murillo,michael-murillo,A. Murillo,D,62,183.0,3628,M,,839493,EUR,823996800,D,62,62,False,32.0,28.0,1.0,,0.0,16.0,17.0,12.0,15.0,3.0,,,,,,,90.0,54.0,5.8,8.0,0.025193,30.78,10.97844,17.0,64.34826600185,11.0,-9.03,3.675,,0,,-0.14,0.0,-0.52,,2.89,5.3,1.68,0.77,0.34,1.0,,4.0,1.0,9.0,7.0,,,,5.0,1.0,1.0,,,1.0,,1.0,,1.0,,,,1.0,2.0,,,,,,,,,,,,
14566821,home,Olympique de Marseille,Timothy Weah,weah-timothy,T. Weah,M,22,185.0,11634,M,timothyweah,855810,EUR,951177600,M,22,22,False,40.0,36.0,1.0,1.0,0.0,15.0,16.0,21.0,24.0,1.0,1.0,,,,,,90.0,61.0,6.0,13.0,0.01633,31.464,10.17221,17.0,202.14538156335,24.0,93.03,21.0,,4,,-0.35,0.21,-0.15,,3.34,3.89,1.65,0.92,0.38,3.0,,1.0,,5.0,1.0,,,2.0,,1.0,,41.797697065255,2.0,,,,,1.0,1.0,,,,3.0,2.0,1.0,1.0,0.1729,0.0688,-0.35,,,,,,
14566821,home,Olympique de Marseille,Pierre-Emile Højbjerg,pierre-emile-hojbjerg,P. Højbjerg,M,23,185.0,4504,M,hojbjerg23,149593,EUR,807580800,M,23,23,False,77.0,72.0,5.0,3.0,0.0,42.0,43.0,30.0,34.0,2.0,10.0,,,,,,90.0,89.0,7.5,6.0,0.112742,30.672,10.71289,9.0,249.30571084796,30.0,46.83,26.565,,1,,0.27,0.21,0.15,,2.94,5.04,1.82,0.71,0.21,1.0,1.0,,3.0,2.0,7.0,,,,,,,28.55454445443,1.0,2.0,,1.0,,4.0,3.0,,,1.0,,1.0,,,0.0215,,-0.08,,,,,,
14566821,home,Olympique de Marseille,Geoffrey Kondogbia,geoffrey-kondogbia,G. Kondogbia,M,19,188.0,2303,M,,96544,EUR,729734400,M,19,19,False,43.0,36.0,2.0,1.0,0.0,22.0,23.0,14.0,20.0,,3.0,,,,,,68.0,52.0,6.6,10.0,0.0487843,29.52,7.68009,3.0,121.85917218167,13.0,57.75,23.52,,0,,0.18,0.15,-0.13,,2.18,3.8,1.27,0.37,0.07,1.0,,1.0,,5.0,3.0,,,1.0,2.0,1.0,,41.572577847593,2.0,1.0,,2.0,1.0,,,,,1.0,1.0,,,,,,,1.0,,,,,
14566821,home,Olympique de Marseille,Hamed Junior Traorè,hamed-junior-traore,H. J. Traorè,M,20,177.0,3146,M,,892924,EUR,950659200,M,20,20,False,19.0,16.0,1.0,1.0,0.0,9.0,10.0,7.0,9.0,,2.0,,,,,,68.0,29.0,6.5,5.0,0.0305072,32.4,7.68116,13.0,118.31056684699,11.0,81.165,34.755,,1,,0.08,0.14,-0.05,,2.21,3.63,1.09,0.46,0.3,,,1.0,,2.0,2.0,,,2.0,1.0,2.0,,50.215667928436,2.0,1.0,,,2.0,1.0,1.0,,,,,1.0,,,0.2407,,-0.33,,,,,,
14566821,home,Olympique de Marseille,Mason Greenwood,mason-greenwood,M. Greenwood,F,10,181.0,65792,M,MGreenwood,942116,EUR,1001894400,F,10,10,False,53.0,47.0,5.0,2.0,0.0,20.0,22.0,27.0,31.0,1.0,,,,,,,90.0,76.0,8.3,21.0,0.411197,32.292,9.28377,9.0,327.1300995969,29.0,125.16,43.68,,2,,0.58,0.4,-0.02,,3.46,4.15,1.07,0.38,0.23,11.0,1.0,,,2.0,3.0,,,1.0,,,,156.78570110571,8.0,2.0,,,,,,,,1.0,4.0,,1.0,1.0,0.072,0.382,0.31,3.0,1.0,,,,
