match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_ballRecovery,stat_wasFouled,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_sofascoreId,stat_totalCross,stat_aerialLost,stat_duelLost,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_unsuccessfulTouch,stat_fouls,captain,stat_aerialWon,stat_totalClearance,stat_wonTackle,stat_shotOffTarget,stat_keyPass,stat_accurateCross,stat_wonContest,stat_onTargetScoringAttempt,stat_hitWoodwork,stat_blockedScoringAttempt,stat_goals,stat_totalOffside,stat_bigChanceMissed,stat_bigChanceCreated
11369297,home,Real Betis,Rui Silva,Rui,Silva,rui-silva,R. Silva,G,1,191,3299,M,253809,EUR,760579200,G,13,13,False,25.0,17.0,11.0,3.0,15.0,17.0,2.0,8.0,1.0,10.0,1.0,2.0,3.0,6.0,1.0,1.0,90.0,39.0,8.2,8.0,0.0,0.0,0.00035941,0,0.6837,,,,,,,,,,,,,,,,,,,,,,,,,,,
11369297,home,Real Betis,Héctor Bellerín,,,hector-bellerin,H. Bellerín,D,2,178,3870,M,188365,EUR,795571200,D,2,2,False,37.0,25.0,2.0,1.0,12.0,15.0,13.0,23.0,1.0,5.0,,,,,,,90.0,58.0,7.0,17.0,0.0,0.0,0.0267346,0,,Bellerín,1.0,1.0,8.0,2.0,1.0,1.0,2.0,5.0,1.0,1.0,3.0,,,,,,,,,,,,,,,
11369297,home,Real Betis,Germán Pezzella,,,german-pezzella,G. Pezzella,D,6,187,3493,M,158241,EUR,677980800,D,6,6,False,49.0,41.0,3.0,,31.0,33.0,10.0,16.0,7.0,7.0,,,,,,,90.0,57.0,7.2,9.0,0.0,0.0,0.00343938,0,,germanpezzella,,2.0,2.0,,,,1.0,1.0,3.0,1.0,,True,4.0,1.0,1.0,,,,,,,,,,,
11369297,home,Real Betis,Luiz Felipe,,,luiz-felipe,L. Felipe,D,5,187,1042,M,850035,EUR,858988800,D,19,19,False,60.0,55.0,5.0,3.0,41.0,44.0,14.0,16.0,3.0,10.0,,,,,,,90.0,71.0,7.5,5.0,0.0341,0.0,0.171032,1,,,,1.0,2.0,1.0,,,1.0,1.0,3.0,,,,,1.0,2.0,1.0,1.0,,,,,,,,,
11369297,home,Real Betis,Juan Miranda,,,juan-miranda,J. Miranda,D,33,185,2208,M,855829,EUR,948240000,D,3,3,False,28.0,24.0,2.0,1.0,14.0,16.0,10.0,14.0,1.0,,,,,,,,45.0,38.0,6.7,7.0,0.047,0.0,0.00259771,2,,,2.0,2.0,2.0,,,,,,,,1.0,,1.0,2.0,,2.0,,,,,,,,,,
11369297,home,Real Betis,Guido Rodríguez,,,guido-rodriguez,G. Rodríguez,M,2,185,3908,M,609752,EUR,766108800,M,5,5,False,30.0,28.0,6.0,6.0,12.0,13.0,16.0,17.0,2.0,5.0,,,,,,,45.0,34.0,6.9,2.0,0.0,0.0,0.391506,0,,guiido_rodriguez,,,1.0,1.0,,,,,2.0,,,,,1.0,,,1.0,,,,,,,,,
11369297,home,Real Betis,Marc Roca,,,marc-roca,M. Roca,M,21,184,1491,M,847128,EUR,848966400,M,21,21,False,53.0,47.0,8.0,6.0,24.0,26.0,23.0,27.0,5.0,5.0,3.0,,,,,,90.0,66.0,7.2,7.0,0.0,0.0,0.026691,0,,,,,3.0,,,,,1.0,2.0,1.0,3.0,,,,1.0,,,,,,,,,,,
11369297,home,Real Betis,Rodri Sánchez,,,rodri-sanchez,R. Sánchez,M,10,175,565,M,1031421,EUR,958435200,M,17,17,False,34.0,28.0,2.0,2.0,9.0,9.0,20.0,30.0,3.0,1.0,2.0,,,,,,76.0,53.0,7.0,16.0,0.0561,0.0723,0.118969,1,,,5.0,,6.0,1.0,1.0,3.0,,1.0,,3.0,2.0,,,,,,1.0,1.0,1.0,1.0,,,,,,
11369297,home,Real Betis,Isco,,,isco,Isco,M,22,176,26276,M,103417,EUR,703814400,M,22,22,False,53.0,49.0,2.0,2.0,12.0,13.0,38.0,44.0,8.0,7.0,5.0,,,,,,89.0,83.0,7.4,17.0,0.1379,0.6345,0.303695,2,,iscoalarcon,4.0,1.0,12.0,,5.0,4.0,,,2.0,1.0,3.0,,,,1.0,,5.0,1.0,1.0,2.0,1.0,,,,,
11369297,home,Real Betis,Ayoze Pérez,,,ayoze-perez,A. Pérez,F,22,180,3785,M,345195,EUR,743385600,M,10,10,False,32.0,28.0,,,6.0,6.0,22.0,28.0,12.0,12.0,4.0,,,,,,90.0,71.0,8.3,15.0,0.58,0.6019,0.124499,4,,,2.0,3.0,11.0,,3.0,3.0,1.0,2.0,6.0,4.0,5.0,,,1.0,5.0,2.0,3.0,,2.0,1.0,,1.0,,,,
11369297,home,Real Betis,Willian José,,,willian-jose,W. José,F,12,189,3025,M,123223,EUR,690854400,F,12,12,False,19.0,14.0,,,8.0,9.0,6.0,10.0,2.0,,,,,,,,76.0,24.0,7.3,6.0,0.0706,0.13,0.0258316,1,,,,,1.0,,1.0,,,,2.0,,,,,,1.0,,,,,1.0,,,1.0,1.0,,
11369297,home,Real Betis,Abner Vinícius,,,abner-vinicius,Abner Vinícius,D,16,181,3931,M,973838,EUR,959385600,D,20,20,True,22.0,18.0,1.0,,9.0,10.0,9.0,12.0,1.0,3.0,1.0,,,,,,45.0,38.0,6.8,6.0,0.0,0.0,0.00467026,0,,,,,1.0,,1.0,,,,,1.0,,,,3.0,,,,,,,,,,,,
11369297,home,Real Betis,Andrés Guardado,,,andres-guardado,A. Guardado,M,,169,1007,M,14942,EUR,528249600,M,18,18,True,29.0,26.0,7.0,6.0,13.0,13.0,13.0,16.0,6.0,3.0,1.0,,,,,,45.0,39.0,7.2,5.0,0.0,0.0,0.026231,0,,,,1.0,4.0,,,1.0,,1.0,4.0,1.0,2.0,,1.0,,4.0,,,,,,,,,,,
11369297,home,Real Betis,Juan Cruz,,,juan-cruz,J. Cruz,M,10,179,541,M,936234,EUR,956620800,M,16,16,True,3.0,3.0,,,,,3.0,3.0,,,,,,,,,14.0,4.0,6.5,,0.0412,0.0,0.00199768,1,,,,1.0,3.0,1.0,,,,,,,2.0,,,,,1.0,,,,,,,,,,
11369297,home,Real Betis,Borja Iglesias,,,borja-iglesias,B. Iglesias,F,7,187,4084,M,785989,EUR,727228800,F,9,9,True,5.0,3.0,,,,,3.0,5.0,,,,,,,,,14.0,8.0,6.6,3.0,0.1261,0.0,0.00448706,2,,,,,3.0,1.0,1.0,,,,,,1.0,,,,,1.0,,,,,1.0,1.0,,1.0,,
11369297,home,Real Betis,Sergi Altimira,,,sergi-altimira,S. Altimira,M,6,188,1049,M,1137814,EUR,998697600,M,27,27,True,2.0,2.0,,,,,2.0,2.0,,1.0,,,,,,,1.0,5.0,,1.0,0.0,0.0,0.010726,0,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,
11369297,home,Real Betis,Guilherme Fernandes,Guilherme Fernandes,,guilherme-fernandes,G. Fernandes,G,13,191,183,M,1410332,EUR,985737600,G,31,31,True,,,,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11369297,home,Real Betis,Francisco Vieites,,,francisco-vieites,F. Vieites,G,13,196,313,M,929975,EUR,926035200,G,30,30,True,,,,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
