match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_aerialLost,stat_shotOffTarget,stat_outfielderBlock,stat_fouls,stat_totalCross,stat_accurateCross,stat_dispossessed,stat_totalContest,stat_keyPass,stat_wonContest,stat_onTargetScoringAttempt,captain,stat_blockedScoringAttempt,stat_totalOffside,stat_bigChanceCreated,stat_lastManTackle,stat_bigChanceMissed,stat_goodHighClaim,stat_goalAssist,stat_goals
11913974,home,Excelsior,Norbert Alblas,Norbert,Alblas,norbert-alblas,N. Alblas,G,18,185,18,M,339845,EUR,787190400,G,18,18,False,45.0,34.0,17.0,6.0,32.0,34.0,2.0,11.0,2.0,2.0,1.0,1.0,1.0,1.0,90.0,49.0,6.4,11.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11913974,home,Excelsior,Siebe Horemans,,,siebe-horemans,S. Horemans,D,2,186,201,M,794990,EUR,896745600,D,2,2,False,46.0,37.0,9.0,5.0,22.0,25.0,15.0,21.0,5.0,6.0,,,,,90.0,66.0,7.2,10.0,0,3.0,1.0,8.0,1.0,1.0,3.0,2.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,
11913974,home,Excelsior,Sven Nieuwpoort,Sven,Nieuwpoort,sven-nieuwpoort,S. Nieuwpoort,D,16,184,8,M,97412,EUR,734659200,D,16,16,False,1.0,1.0,,,1.0,1.0,,,,,,,,,5.0,1.0,,,0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
11913974,home,Excelsior,Redouan El Yaakoubi,,,redouan-el-yaakoubi,R. E. Yaakoubi,D,,182,100,M,887617,EUR,822528000,D,4,4,False,89.0,79.0,17.0,11.0,53.0,55.0,26.0,34.0,,6.0,,,,,90.0,99.0,7.2,13.0,1,6.0,2.0,8.0,,,2.0,1.0,2.0,,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,
11913974,home,Excelsior,Arthur Zagre,Arthur,Zagre,zagre-arthur,A. Zagre,D,12,168,416,M,910053,EUR,1002153600,D,12,12,False,48.0,43.0,2.0,2.0,23.0,25.0,21.0,25.0,3.0,3.0,,,,,90.0,81.0,6.8,13.0,0,1.0,5.0,7.0,,1.0,1.0,1.0,1.0,5.0,,,,,2.0,1.0,3.0,2.0,3.0,,,,,,,,,,,
11913974,home,Excelsior,Oscar Uddenäs,,,oscar-uddenas,O. Uddenäs,F,10,186,69,M,962069,EUR,1029542400,M,11,11,False,23.0,15.0,2.0,,8.0,11.0,7.0,14.0,1.0,4.0,,,,,71.0,33.0,6.7,12.0,1,,3.0,2.0,,,1.0,,,,1.0,,,,2.0,,2.0,1.0,,1.0,1.0,,,,,,,,,
11913974,home,Excelsior,Julian Baas,,,julian-baas,J. Baas,M,16,184,147,M,1046143,EUR,1018915200,M,33,33,False,46.0,40.0,7.0,3.0,27.0,30.0,14.0,22.0,3.0,7.0,,,,,90.0,64.0,6.9,13.0,1,1.0,1.0,2.0,,2.0,1.0,1.0,2.0,,1.0,,1.0,,6.0,1.0,,,,,,True,1.0,,,,,,,
11913974,home,Excelsior,Kenzo Goudmijn,,,kenzo-goudmijn,K. Goudmijn,M,24,174,248,M,916947,EUR,1008633600,M,10,10,False,48.0,40.0,9.0,6.0,15.0,19.0,26.0,32.0,4.0,10.0,,,,,90.0,73.0,6.5,19.0,3,1.0,9.0,2.0,,,,,3.0,,2.0,1.0,,1.0,3.0,1.0,5.0,2.0,1.0,1.0,1.0,,1.0,,,,,,,
11913974,home,Excelsior,Couhaib Driouech,,,couhaib-driouech,C. Driouech,F,11,175,4617,M,1047395,EUR,1019001600,M,14,14,False,28.0,20.0,4.0,2.0,6.0,8.0,15.0,24.0,,2.0,,,,,80.0,52.0,6.6,25.0,1,,5.0,3.0,,,1.0,1.0,9.0,1.0,,1.0,,1.0,4.0,1.0,1.0,4.0,2.0,1.0,,,,2.0,,,,,,
11913974,home,Excelsior,Nikolas Agrafiotis,Nikolas Agrafiotis,,nikolas-agrafiotis,N. Agrafiotis,F,25,190,138,M,1036005,EUR,956620800,F,19,19,False,15.0,9.0,,,4.0,5.0,5.0,11.0,1.0,2.0,,,,,90.0,28.0,7.1,14.0,2,2.0,4.0,3.0,,,,,5.0,1.0,3.0,,,1.0,1.0,,,1.0,1.0,,2.0,,,,1.0,,,,,
