match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalContest,stat_wonContest,stat_bigChanceCreated,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_keyPass,stat_challengeLost,stat_shotOffTarget,stat_blockedScoringAttempt,stat_outfielderBlock,stat_expectedGoals,stat_onTargetScoringAttempt,stat_goals,stat_fouls,stat_expectedGoalsOnTarget,stat_lastManTackle,stat_dispossessed,stat_totalOffside,captain,stat_bigChanceMissed,stat_errorLeadToAGoal,stat_goodHighClaim,stat_punches,stat_errorLeadToAShot,stat_hitWoodwork
12530824,home,Alanyaspor,Ertuğrul Taşkıran,,,ertugrul-taskiran,E. Taşkıran,G,1,191,137,M,105974,EUR,626227200,G,1,1,False,27.0,24.0,9.0,6.0,0.0,19.0,19.0,5.0,8.0,6.0,1.0,1.0,3.0,3.0,90.0,33.0,7.2,4.0,0.00226952,0,0.0928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12530824,home,Alanyaspor,Florent Hadergjonaj,,,florent-hadergjonaj,F. Hadergjonaj,D,94,183,410,M,354860,EUR,775612800,D,94,94,False,49.0,38.0,8.0,4.0,1.0,17.0,18.0,22.0,35.0,6.0,,,,,90.0,70.0,7.7,18.0,0.199857,0,,4.0,1.0,3.0,1.0,3.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,
12530824,home,Alanyaspor,Nuno Lima,Nuno Lima,,nuno-lima,N. Lima,D,3,184,123,M,1133301,EUR,984700800,D,3,3,False,50.0,47.0,5.0,2.0,0.0,31.0,31.0,16.0,19.0,6.0,,,,,90.0,61.0,7.3,4.0,0.00949953,2,,,,2.0,1.0,3.0,3.0,,,,4.0,,2.0,1.0,,,,1.0,1.0,1.0,1.0,0.186,,,,,,,,,,,,,,
12530824,home,Alanyaspor,Fidan Aliti,,,fidan-aliti,F. Aliti,D,5,182,320,M,385296,EUR,749606400,D,5,5,False,49.0,37.0,12.0,7.0,0.0,16.0,21.0,21.0,29.0,5.0,,,,,90.0,55.0,7.6,14.0,0.0148716,1,,1.0,,,3.0,3.0,5.0,,,,,,1.0,1.0,,1.0,,2.0,,,,0.093,1.0,1.0,1.0,0.1077,,,,,,,,,,
12530824,home,Alanyaspor,Yusuf Özdemir,Yusuf Ozdemir,,yusuf-ozdemir,Y. Özdemir,M,88,181,157,M,1084884,EUR,979084800,D,88,88,False,19.0,12.0,4.0,1.0,0.0,6.0,9.0,6.0,11.0,,,,,,90.0,45.0,7.1,17.0,0.00898736,1,,1.0,,,2.0,1.0,6.0,,,,1.0,1.0,2.0,1.0,2.0,2.0,,,1.0,,,0.0117,,,1.0,,1.0,,,,,,,,,
12530824,home,Alanyaspor,Nicolas Janvier,,,nicolas-janvier,N. Janvier,M,17,171,91,M,802150,EUR,902793600,M,17,17,False,38.0,34.0,3.0,2.0,0.0,13.0,14.0,21.0,28.0,5.0,,,,,74.0,50.0,7.2,10.0,0.0462953,3,,4.0,,,,2.0,2.0,,,,,1.0,2.0,2.0,1.0,,,1.0,,1.0,,0.0629,2.0,,1.0,0.0483,,,,,,,,,,
12530824,home,Alanyaspor,Fatih Aksoy,,,fatih-aksoy,F. Aksoy,D,20,189,69,M,827922,EUR,878774400,M,20,20,False,50.0,39.0,6.0,5.0,0.0,14.0,15.0,25.0,35.0,10.0,,,,,89.0,61.0,7.2,14.0,0.0291696,1,,,,2.0,3.0,6.0,7.0,,,,1.0,,2.0,,2.0,2.0,2.0,2.0,1.0,,,0.0555,,,1.0,,,1.0,,,,,,,,
12530824,home,Alanyaspor,Loide Augusto,Loide Augusto,,loide-augusto,L. Augusto,M,50,183,1033,M,1110708,EUR,951523200,M,27,27,False,27.0,23.0,3.0,2.0,0.0,7.0,7.0,17.0,23.0,5.0,,,,,83.0,53.0,7.4,14.0,0.14922,5,,3.0,1.0,1.0,,6.0,6.0,3.0,3.0,,,1.0,2.0,1.0,5.0,1.0,2.0,1.0,2.0,3.0,,0.2633,,,2.0,,,2.0,1.0,,,,,,,
12530824,home,Alanyaspor,Gaius Makouta,,,makouta-gaius,G. Makouta,M,42,180,298,M,847013,EUR,869788800,M,42,42,False,34.0,29.0,2.0,2.0,0.0,12.0,14.0,17.0,20.0,7.0,,,,,90.0,46.0,7.0,8.0,0.0353442,0,,,,1.0,3.0,6.0,8.0,2.0,1.0,,,,2.0,2.0,,2.0,,1.0,,,,,,,1.0,,,2.0,,,,,,,,
12530824,home,Alanyaspor,Efecan Karaca,,,efecan-karaca,E. Karaca,M,7,166,109,M,60510,EUR,627177600,M,7,7,False,27.0,21.0,1.0,1.0,0.0,5.0,6.0,17.0,24.0,4.0,,,,,74.0,45.0,7.4,14.0,0.614638,0,,3.0,1.0,,,4.0,6.0,2.0,1.0,1.0,,1.0,3.0,2.0,2.0,2.0,1.0,,,,,,,,,,,3.0,2.0,True,,,,,,
