match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_duelWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_bigChanceMissed,stat_shotOffTarget,stat_hitWoodwork,stat_totalClearance,stat_keyPass,stat_outfielderBlock,stat_fouls,stat_totalCross,stat_accurateCross,stat_bigChanceCreated,stat_goalAssist,stat_challengeLost,stat_totalContest,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_goals,player_firstName,player_lastName,captain,stat_wonContest,stat_dispossessed,stat_interceptionWon,stat_clearanceOffLine,stat_totalOffside
10408288,away,Mallorca,Josep Gayá,josep-gaya,J. Gayá,D,24,185.0,21,M,,1100406,EUR,962928000,D,29,29,False,6.0,5.0,,,5.0,6.0,,,4.0,,,,45.0,14.0,6.5,2.0,0.0,0.0,4.71e-05,0,,1.0,,,1.0,,1.0,1.0,1.0,,,,3.0,,1.0,,,,,,,,,,,Josep Gaya,,,,,1.0,,
10408288,away,Mallorca,Martin Valjent,martin-valjent,M. Valjent,D,24,187.0,757,M,,300522,EUR,818640000,D,24,24,False,12.0,7.0,3.0,,7.0,11.0,,1.0,1.0,,,,90.0,27.0,7.1,5.0,0.0,0.0,9.141e-05,0,,5.0,3.0,3.0,,,,2.0,1.0,,,,8.0,,1.0,1.0,,,,,,,,,,,,,,,,1.0,
10408288,away,Mallorca,José Copete,jose-copete,J. Copete,D,3,190.0,437,M,,913695,EUR,939513600,D,6,6,False,17.0,10.0,3.0,,9.0,10.0,1.0,8.0,3.0,,,,90.0,39.0,7.0,8.0,0.0,0.0,0.00015436,0,,2.0,2.0,1.0,,,,,2.0,,,,12.0,,3.0,1.0,1.0,,,,1.0,,,,,,,,,,3.0,,
10408288,away,Mallorca,Jaume Costa,jaume-costa,J. Costa,D,,171.0,89,M,,44577,EUR,574646400,D,18,18,False,14.0,8.0,3.0,2.0,4.0,7.0,4.0,9.0,2.0,,,,87.0,26.0,6.1,10.0,0.0,0.0,0.00150245,0,,2.0,2.0,2.0,,,,,3.0,,,,,,,1.0,2.0,,,,1.0,,,,,,,,,1.0,3.0,,
10408288,away,Mallorca,Dani Rodríguez,dani-rodriguez,D. Rodríguez,M,9,177.0,524,M,,349526,EUR,581558400,M,14,14,False,19.0,14.0,3.0,1.0,10.0,13.0,4.0,7.0,10.0,,,,72.0,34.0,6.3,10.0,0.0,0.0,0.0137078,0,,4.0,3.0,2.0,2.0,,,,6.0,,,,,,1.0,1.0,1.0,,,,4.0,1.0,,,,,,True,1.0,1.0,1.0,,
10408288,away,Mallorca,Manu Morlanes,manu-morlanes,M. Morlanes,M,8,178.0,430,M,,826004,EUR,916099200,M,11,11,False,18.0,15.0,3.0,1.0,12.0,13.0,3.0,5.0,8.0,,,,86.0,25.0,6.4,4.0,0.0,0.0,0.00645225,0,,1.0,,,1.0,,2.0,,5.0,,,,1.0,,,1.0,,,,,2.0,1.0,,,,,,,1.0,,3.0,,
10408288,away,Mallorca,Iddrisu Baba,iddrisu-baba,I. Baba,M,14,182.0,943,M,,914014,EUR,822268800,M,12,12,False,15.0,13.0,2.0,2.0,12.0,13.0,1.0,2.0,3.0,,,,90.0,26.0,6.6,3.0,0.0,0.0,0.00133934,0,,3.0,,,1.0,2.0,1.0,,4.0,,,,2.0,,2.0,1.0,,,,,2.0,1.0,,,,,,,1.0,,1.0,,
10408288,away,Mallorca,Amath Ndiaye,amath-ndiaye,A. Ndiaye,M,11,179.0,448,M,,845168,EUR,837475200,M,23,23,False,2.0,1.0,1.0,,,1.0,1.0,1.0,3.0,,,,14.0,4.0,3.0,3.0,0.0,0.0,7.783e-05,0,,,,,1.0,,,,3.0,,,,,,,1.0,,,,,1.0,1.0,,,,,,,,,,,
10408288,away,Mallorca,Vedat Muriqi,vedat-muriqi,V. Muriqi,F,7,194.0,5879,M,vedatmuriqi,310874,EUR,767145600,F,7,7,False,22.0,9.0,3.0,1.0,4.0,6.0,5.0,16.0,2.0,,,,79.0,43.0,6.8,21.0,0.0863,0.2739,0.0337152,3,,11.0,,,4.0,1.0,4.0,8.0,8.0,,,,3.0,,,,,,,,,4.0,1.0,2.0,,,,,2.0,2.0,2.0,,1.0
10408288,away,Mallorca,Clément Grenier,clement-grenier,C. Grenier,M,,186.0,105,M,,39009,EUR,663206400,M,8,8,True,10.0,9.0,2.0,2.0,6.0,7.0,5.0,6.0,4.0,,,,45.0,15.0,6.6,2.0,0.0,0.0,0.0248429,0,,1.0,1.0,,,,1.0,,4.0,,,,,1.0,,1.0,3.0,2.0,,,2.0,,,,,,,,,,,,
10408288,away,Mallorca,Ángel Rodríguez,angel-rodriguez,Á. Rodríguez,F,,172.0,145,M,,52093,EUR,546393600,F,22,22,True,2.0,2.0,,,1.0,1.0,1.0,1.0,1.0,,,,18.0,3.0,6.6,,0.0,0.0,0.00034456,0,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
10408288,away,Mallorca,Abdón Prats,abdon-prats,A. Prats,F,9,181.0,325,M,,146852,EUR,724550400,F,9,9,True,,,,,,,,,,,,,11.0,,6.5,,0.0,0.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10408288,away,Mallorca,Giovanni González,giovanni-gonzalez,G. González,D,20,175.0,319,M,,590404,EUR,780019200,D,20,20,True,3.0,3.0,,,3.0,3.0,,,,,,,4.0,4.0,,,0.0,0.0,2.271e-05,0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
10408288,away,Mallorca,Ruben Quintanilla,quintanilla-ruben,R. Quintanilla,M,16,,17,M,,1496078,EUR,1017792000,M,46,46,True,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,3.0,3.0,,,0.0,0.0,0.00012087,0,,,,,,,,,,,,,,,,,,,,,,,,,,Rubén Quintanilla,,,,,,,
10408288,away,Mallorca,Predrag Rajković,predrag-rajkovic,P. Rajković,G,1,192.0,2732,M,,188107,EUR,815097600,G,1,1,True,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10408288,away,Mallorca,Leo Román,leo-roman,L. Román,G,1,189.0,1557,M,,1131909,EUR,962841600,G,31,31,True,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10408288,away,Mallorca,Marcos Fernández,marcos-fernandez,M. Fernández,D,50,176.0,9,M,,1198968,EUR,1058400000,D,42,42,True,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,Marcos Fernández,,,,,,,
10408288,away,Mallorca,Benjamín Garay,benjamin-garay,B. Garay,D,19,183.0,46,M,,907496,EUR,956102400,D,44,44,True,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10408288,away,Mallorca,Tino Kadewere,tino-kadewere,T. Kadewere,M,9,180.0,935,M,,810535,EUR,820800000,F,17,17,True,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10408288,away,Mallorca,Miguel Llabrés,miguel-llabres,M. Llabrés,M,10,,4,M,,1164871,EUR,949017600,M,30,30,True,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,Miguel Llabrés,,,,,,,
10408288,away,Mallorca,Miguelito,miguelito,Miguelito,F,11,175.0,5,M,,1172912,EUR,979257600,D,36,36,True,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,Miguelito,,,,,,,
