match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_accurateOppositionHalfPasses,stat_totalCross,stat_totalContest,stat_wonContest,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,captain,stat_aerialLost,stat_duelLost,stat_challengeLost,stat_blockedScoringAttempt,stat_penaltyConceded,stat_fouls,stat_accurateCross,stat_dispossessed,stat_keyPass,stat_shotOffTarget,stat_errorLeadToAShot,stat_onTargetScoringAttempt,stat_goals,stat_goalAssist,stat_bigChanceMissed,stat_hitWoodwork,stat_totalOffside,stat_bigChanceCreated,player_sofascoreId,stat_goodHighClaim
10390074,home,Stade Brestois,Marco Bizot,marco-bizot,M. Bizot,G,40,194,898,M,100390,EUR,668563200,G,40,40,False,15.0,13.0,3.0,1.0,13.0,13.0,2.0,1.0,1.0,3.0,3.0,3.0,1.0,5.0,1.0,1.0,1.0,90.0,26.0,6.7,2.0,0.0,0.0,2.387e-05,0,-0.5112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10390074,home,Stade Brestois,Noah Fadiga,fadiga-noah,N. Fadiga,M,27,187,699,M,960437,EUR,944179200,D,99,99,False,21.0,14.0,1.0,,8.0,12.0,10.0,,4.0,,3.0,,,,,,,75.0,34.0,6.3,11.0,0.0,0.0,0.0127256,0,,,,6.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
10390074,home,Stade Brestois,Brendan Chardonnet,brendan-chardonnet,B. Chardonnet,D,5,181,234,M,328035,EUR,788054400,D,5,5,False,40.0,33.0,11.0,6.0,24.0,25.0,15.0,3.0,5.0,7.0,7.0,,,,,,,90.0,56.0,6.5,7.0,0.0783,0.0,0.0358187,1,,,,9.0,,,,3.0,1.0,1.0,1.0,,1.0,True,1.0,3.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,
10390074,home,Stade Brestois,Lilian Brassier,lilian-brassier,L. Brassier,D,3,184,576,M,988907,EUR,941500800,D,3,3,False,36.0,30.0,7.0,3.0,20.0,22.0,14.0,,3.0,4.0,3.0,,,,,,,90.0,49.0,6.4,7.0,0.0,0.0,0.00704504,0,,,,10.0,,,,1.0,1.0,3.0,1.0,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,
10390074,home,Stade Brestois,Jean-Kévin Duverne,jean-kevin-duverne,J. Duverne,D,29,184,2643,M,845930,EUR,868665600,D,2,2,False,34.0,27.0,6.0,1.0,15.0,17.0,21.0,1.0,4.0,,7.0,,,,,,,90.0,58.0,5.9,16.0,0.0,0.0,0.139257,0,,,,13.0,4.0,1.0,,1.0,,1.0,1.0,1.0,2.0,,3.0,7.0,,,,1.0,1.0,2.0,1.0,,,,,,,,,,,
10390074,home,Stade Brestois,Mahdi Camara,camara-mahdi,M. Camara,M,45,178,964,M,916041,EUR,899164800,M,45,45,False,18.0,15.0,,,10.0,12.0,8.0,,5.0,,2.0,,,,,,,67.0,31.0,6.2,9.0,0.0647,0.0,0.0073569,1,,,,5.0,2.0,2.0,,,1.0,4.0,3.0,1.0,1.0,,,4.0,,1.0,,1.0,,1.0,,,,,,,,,,,,
10390074,home,Stade Brestois,Haris Belkebla,haris-belkebla,H. Belkebla,M,93,177,1877,M,580642,EUR,759715200,M,7,7,False,46.0,40.0,4.0,2.0,27.0,31.0,15.0,1.0,8.0,,8.0,,,,,,,90.0,60.0,6.1,10.0,0.0212,0.0,0.00700146,1,,,,13.0,,1.0,,,1.0,2.0,2.0,1.0,5.0,,,5.0,2.0,,,,,2.0,,1.0,1.0,,,,,,,,,
10390074,home,Stade Brestois,Mathias Pereira Lage,mathias-pereira-lage,M. P. Lage,M,28,180,349,M,831400,EUR,849312000,M,29,29,False,13.0,10.0,2.0,1.0,5.0,6.0,7.0,,5.0,,4.0,,,,,,,67.0,26.0,7.2,4.0,0.1507,0.1801,0.00222178,2,,,,5.0,,,,,1.0,3.0,2.0,,2.0,,,3.0,2.0,,,,,1.0,,1.0,,1.0,1.0,,,,,,,
10390074,home,Stade Brestois,Romain Del Castillo,romain-del-castillo,R. Del Castillo,M,10,172,689,M,825681,EUR,828057600,F,10,10,False,35.0,25.0,,,11.0,12.0,30.0,1.0,4.0,,3.0,,,,,,,84.0,63.0,7.3,20.0,0.2016,0.1728,0.179756,4,,,,17.0,7.0,2.0,1.0,,1.0,1.0,1.0,2.0,1.0,,,5.0,1.0,1.0,,,3.0,3.0,1.0,1.0,,2.0,,1.0,,,,,,
10390074,home,Stade Brestois,Steve Mounié,steve-mounie,S. Mounié,F,9,190,6052,M,345035,EUR,780796800,F,15,15,False,18.0,8.0,1.0,,2.0,4.0,15.0,5.0,7.0,2.0,1.0,,,,,,,90.0,33.0,7.0,16.0,0.6182,0.1523,0.0384917,4,,,,6.0,1.0,1.0,,,,,,2.0,2.0,,2.0,7.0,,1.0,,2.0,,2.0,1.0,2.0,,1.0,1.0,,1.0,1.0,1.0,,,
10390074,home,Stade Brestois,Franck Honorat,franck-honorat,F. Honorat,M,9,180,724,M,280453,EUR,839721600,F,9,9,False,22.0,14.0,3.0,1.0,5.0,5.0,25.0,1.0,2.0,1.0,4.0,,,,,,,76.0,38.0,7.3,16.0,0.1174,0.0,0.289654,2,,,,10.0,8.0,,,,2.0,,,1.0,1.0,,,,,1.0,,,1.0,,4.0,1.0,,,,,,,,1.0,,
