match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelLost,stat_challengeLost,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_duelWon,stat_totalContest,stat_wonContest,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_aerialLost,stat_outfielderBlock,stat_aerialWon,stat_keyPass,stat_shotOffTarget,stat_expectedGoals,player_firstName,player_lastName,stat_dispossessed,stat_blockedScoringAttempt,stat_fouls,stat_totalOffside,captain,player_sofascoreId,stat_bigChanceCreated,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_accurateCross,stat_hitWoodwork,stat_goals
12764476,home,ŠK Slovan Bratislava,Dominik Takáč,dominik-takac,D. Takáč,G,71,195,239,M,886365,EUR,916099200,G,71,71,False,21.0,10.0,16.0,6.0,0.0,7.0,13.0,3.0,8.0,1.0,1.0,1.0,6.0,1.0,8.0,10.0,90.0,37.0,8.1,13.0,0.00334297,0,0.2841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12764476,home,ŠK Slovan Bratislava,César Blackman,cesar-blackman,C. Blackman,D,28,174,601,M,841793,EUR,891475200,D,28,28,False,21.0,15.0,2.0,,0.0,9.0,14.0,6.0,9.0,1.0,1.0,2.0,6.0,,,,90.0,48.0,6.4,10.0,0.00219184,0,,2.0,5.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
12764476,home,ŠK Slovan Bratislava,Guram Kashia,guram-kashia,G. Kashia,D,4,185,888,M,43136,EUR,552355200,D,4,4,False,24.0,17.0,6.0,2.0,0.0,13.0,18.0,4.0,6.0,2.0,1.0,8.0,2.0,,,,90.0,43.0,6.7,8.0,0.00086206,0,,,5.0,,,2.0,4.0,2.0,,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,
12764476,home,ŠK Slovan Bratislava,Kenan Bajrić,kenan-bajric,K. Bajrić,D,12,190,155,M,230932,EUR,787881600,D,12,12,False,23.0,15.0,3.0,1.0,0.0,11.0,17.0,4.0,6.0,,,9.0,4.0,,,,90.0,37.0,6.4,8.0,0.00295128,0,,,2.0,,,1.0,1.0,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
12764476,home,ŠK Slovan Bratislava,Kevin Wimmer,kevin-wimmer,K. Wimmer,D,6,187,138,M,141203,EUR,721785600,D,6,6,False,19.0,11.0,5.0,2.0,0.0,9.0,12.0,2.0,7.0,6.0,1.0,4.0,4.0,,,,90.0,41.0,6.4,10.0,0.00155178,1,,,3.0,3.0,2.0,2.0,1.0,,1.0,,4.0,,,,1.0,0.0342,,,,,,,,,,,,,,,
12764476,home,ŠK Slovan Bratislava,Danylo Ignatenko,danylo-ignatenko,D. Ignatenko,M,77,189,342,M,793995,EUR,858211200,M,77,77,False,16.0,15.0,3.0,3.0,0.0,10.0,11.0,5.0,5.0,2.0,1.0,1.0,1.0,,,,63.0,22.0,6.3,2.0,0.00164808,0,,,1.0,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,
12764476,home,ŠK Slovan Bratislava,Kyriakos Savvidis,kyriakos-savvidis,K. Savvidis,M,88,181,101,M,551338,EUR,803606400,M,88,88,False,19.0,16.0,,,0.0,14.0,16.0,2.0,3.0,4.0,3.0,3.0,4.0,,,,90.0,37.0,6.7,4.0,0.0029995,0,,,6.0,2.0,1.0,2.0,2.0,2.0,,2.0,,1.0,1.0,,,,,,,,,,,,,,,,,,
12764476,home,ŠK Slovan Bratislava,Tigran Barseghyan,tigran-barseghyan,T. Barseghyan,M,11,179,950,M,95494,EUR,748656000,M,11,11,False,13.0,8.0,1.0,1.0,0.0,6.0,9.0,2.0,4.0,6.0,,,3.0,,,,85.0,22.0,5.7,11.0,0.00105964,1,,,3.0,4.0,,,,,2.0,1.0,1.0,,3.0,,,0.0194,,,,1.0,1.0,3.0,,,,,,,,,
12764476,home,ŠK Slovan Bratislava,Marko Tolić,marko-tolic,M. Tolić,M,10,187,714,M,784673,EUR,836524800,M,10,10,False,26.0,19.0,2.0,1.0,0.0,13.0,19.0,6.0,9.0,2.0,,,2.0,,,,78.0,39.0,6.4,13.0,0.00336248,1,,2.0,4.0,3.0,3.0,,1.0,1.0,1.0,,,,,,1.0,0.0429,,,2.0,,,1.0,,,,,,,,,
12764476,home,ŠK Slovan Bratislava,Vladimír Weiss,vladimir-weiss,V. Weiss,M,7,173,236,M,46357,EUR,628387200,M,7,7,False,20.0,14.0,1.0,1.0,0.0,7.0,9.0,7.0,11.0,3.0,2.0,,3.0,,,,63.0,32.0,6.8,8.0,0.0105665,0,,,8.0,3.0,2.0,,4.0,2.0,,2.0,,,,1.0,,,,,,,,,True,,,,,,,,
