match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_accurateOwnHalfPasses,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalContest,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_outfielderBlock,stat_keyPass,stat_dispossessed,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_challengeLost,stat_bigChanceCreated,stat_accurateCross,captain,stat_wonContest,stat_bigChanceMissed,stat_blockedScoringAttempt,stat_totalOffside,stat_errorLeadToAGoal,player_sofascoreId,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_errorLeadToAShot,stat_goalAssist
11368631,home,Rayo Vallecano,Stole Dimitrievski,,,stole-dimitrievski,S. Dimitrievski,G,1,188,843,M,97951,EUR,756777600,G,1,1,False,25.0,7.0,25.0,7.0,1.0,7.0,24.0,1.0,5.0,1.0,1.0,90.0,27.0,6.5,18.0,0.0026583,0,-0.1674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11368631,home,Rayo Vallecano,Iván Balliu,,,ivan-balliu,I. Balliu,D,20,175,688,M,152446,EUR,694224000,D,20,20,False,13.0,8.0,1.0,,4.0,4.0,10.0,3.0,5.0,,,90.0,50.0,6.4,12.0,0.00779491,0,,4.0,1.0,1.0,1.0,5.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
11368631,home,Rayo Vallecano,Abdul Mumin,,,abdul-mumin,A. Mumin,D,16,188,1245,M,846147,EUR,897091200,D,16,16,False,21.0,13.0,4.0,,10.0,4.0,11.0,3.0,,,,90.0,34.0,7.0,10.0,0.0129669,0,,9.0,,1.0,,1.0,1.0,,3.0,1.0,1.0,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,
11368631,home,Rayo Vallecano,Florian Lejeune,,,florian-lejeune,F. Lejeune,D,24,190,1047,M,88528,EUR,674697600,D,24,24,False,23.0,16.0,6.0,1.0,12.0,5.0,11.0,6.0,2.0,,,90.0,36.0,7.4,9.0,0.0070935,3,,11.0,,2.0,1.0,3.0,1.0,,1.0,,,1.0,,,1.0,,1.0,2.0,1.0,1.0,0.5636,0.9678,,,,,,,,,,,,,,,,
11368631,home,Rayo Vallecano,Alfonso Espino,,,alfonso-espino,A. Espino,D,22,172,656,M,542634,EUR,694569600,D,12,12,False,16.0,11.0,1.0,1.0,6.0,7.0,11.0,1.0,4.0,,,90.0,35.0,6.6,15.0,0.0154394,0,,4.0,1.0,,,7.0,3.0,2.0,1.0,1.0,,2.0,2.0,2.0,1.0,1.0,1.0,,,,,,2.0,1.0,,,,,,,,,,,,,,
11368631,home,Rayo Vallecano,Unai López,,,unai-lopez,U. López,M,17,169,518,M,588566,EUR,815011200,M,17,17,False,22.0,14.0,6.0,1.0,7.0,9.0,17.0,1.0,2.0,,,45.0,30.0,6.6,9.0,0.162098,1,,6.0,2.0,1.0,1.0,3.0,4.0,,,1.0,,,2.0,1.0,,1.0,,1.0,,,0.0424,,1.0,,1.0,,,,,,,,,,,,,
11368631,home,Rayo Vallecano,Óscar Valentín,,,oscar-valentin,Ó. Valentín,M,23,177,443,M,900008,EUR,777340800,M,23,23,False,15.0,11.0,1.0,,4.0,9.0,11.0,,4.0,,,78.0,24.0,6.5,6.0,0.00481724,0,,2.0,,2.0,,5.0,2.0,,1.0,2.0,2.0,2.0,,2.0,,,,,,,,,1.0,,,True,,,,,,,,,,,,
11368631,home,Rayo Vallecano,Isi Palazón,,,isi-palazon,I. Palazón,M,7,169,2151,M,899982,EUR,788486400,M,7,7,False,27.0,19.0,1.0,1.0,7.0,14.0,25.0,3.0,4.0,,,88.0,66.0,7.8,22.0,0.071133,5,,6.0,5.0,8.0,6.0,14.0,18.0,4.0,,4.0,3.0,5.0,5.0,1.0,,2.0,4.0,1.0,3.0,,0.3975,0.6109,,,1.0,,3.0,1.0,1.0,1.0,,,,,,,,
11368631,home,Rayo Vallecano,Óscar Trejo,,,oscar-trejo,Ó. Trejo,M,8,177,550,M,21949,EUR,578016000,M,8,8,False,2.0,1.0,,,,1.0,2.0,,,,,5.0,4.0,3.0,1.0,0.00140484,1,,,,,,1.0,1.0,,,,,,1.0,1.0,,,,,,,0.0249,,,,,,,,1.0,,,,,,,,,
11368631,home,Rayo Vallecano,Álvaro García,,,alvaro-garcia,Á. García,M,18,168,1132,M,345111,EUR,720144000,M,18,18,False,13.0,8.0,,,4.0,4.0,11.0,2.0,5.0,,,88.0,26.0,6.8,7.0,0.00303559,1,,4.0,2.0,1.0,,2.0,3.0,1.0,3.0,2.0,1.0,,,,,,,1.0,,,0.5892,,1.0,,,,1.0,1.0,,,,,,,,,,
