match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_totalCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalClearance,stat_outfielderBlock,stat_interceptionWon,stat_unsuccessfulTouch,stat_keyPass,stat_totalContest,stat_wonContest,stat_aerialLost,stat_wasFouled,stat_accurateCross,stat_totalTackle,stat_wonTackle,stat_fouls,stat_totalOffside,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_errorLeadToAShot,captain,stat_dispossessed,stat_shotOffTarget,stat_goals,stat_bigChanceCreated,stat_goalAssist,stat_blockedScoringAttempt,player_sofascoreId
10433804,home,Kasımpaşa,Ertuğrul Taşkıran,,,ertugrul-taskiran,E. Taşkıran,G,1,191,138,M,105974,EUR,626227200,G,1,1,False,26.0,14.0,16.0,4.0,13.0,15.0,1.0,11.0,11.0,1.0,3.0,3.0,90.0,37.0,7.5,12.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10433804,home,Kasımpaşa,Florent Hadergjonaj,,,florent-hadergjonaj,F. Hadergjonaj,D,94,183,408,M,354860,EUR,775612800,D,94,94,False,31.0,19.0,9.0,2.0,10.0,12.0,9.0,20.0,4.0,,,,90.0,57.0,7.4,18.0,0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,5.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,
10433804,home,Kasımpaşa,Daniel Graovac,,,daniel-graovac,D. Graovac,D,4,186,248,M,94815,EUR,744768000,D,6,6,False,24.0,21.0,1.0,,19.0,21.0,2.0,3.0,5.0,,,,90.0,31.0,7.1,3.0,0,,,,1.0,,3.0,1.0,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,
10433804,home,Kasımpaşa,Sadık Çiftpınar,,,sadik-ciftpinar,S. Çiftpınar,D,5,181,74,M,111811,EUR,725846400,D,18,18,False,27.0,20.0,6.0,2.0,18.0,19.0,2.0,8.0,3.0,,,,90.0,38.0,7.0,7.0,0,,2.0,2.0,3.0,,8.0,,1.0,,,,,2.0,1.0,,,,,,,,,,,,,,,,
10433804,home,Kasımpaşa,Mortadha Ben Ouanes,,,mortadha-ben-ouanes,M. B. Ouanes,M,12,182,1220,M,919225,EUR,773107200,D,12,12,False,36.0,28.0,3.0,,15.0,17.0,14.0,21.0,7.0,,,,90.0,55.0,7.6,11.0,0,2.0,,1.0,6.0,,1.0,,2.0,,3.0,,,,3.0,1.0,3.0,2.0,1.0,1.0,,,,,,,,,,,
10433804,home,Kasımpaşa,Turgay Gemicibaşı,,,turgay-gemicibasi,T. Gemicibaşi,M,8,180,33,M,807398,EUR,830217600,M,81,81,False,24.0,23.0,,,14.0,15.0,9.0,9.0,1.0,,,,74.0,34.0,6.7,3.0,0,,,7.0,4.0,2.0,2.0,,1.0,1.0,,2.0,1.0,,1.0,,2.0,1.0,4.0,,,,,,,,,,,,
10433804,home,Kasımpaşa,Mamadou Fall,,,mamadou-fall,M. Fall,M,7,184,384,M,822228,EUR,694137600,M,7,7,False,17.0,7.0,3.0,,2.0,5.0,5.0,15.0,8.0,,,,90.0,31.0,6.6,15.0,1,3.0,3.0,3.0,5.0,1.0,2.0,,2.0,2.0,,1.0,1.0,2.0,1.0,,,,,2.0,1.0,1.0,1.0,,,,,,,,
10433804,home,Kasımpaşa,Haris Hajradinović,,,haris-hajradinovic,H. Hajradinović,M,10,179,1202,M,254979,EUR,761529600,M,10,10,False,28.0,21.0,5.0,4.0,7.0,9.0,14.0,23.0,7.0,,,,86.0,43.0,7.1,15.0,2,4.0,,6.0,4.0,3.0,,,,2.0,1.0,2.0,1.0,,1.0,,2.0,,1.0,,,1.0,,True,1.0,1.0,1.0,,,,
10433804,home,Kasımpaşa,Valentin Eysseric,,,valentin-eysseric,V. Eysseric,M,,181,140,M,139798,EUR,701481600,M,13,13,False,30.0,25.0,7.0,4.0,10.0,11.0,15.0,20.0,4.0,,,,74.0,44.0,6.7,9.0,4,1.0,1.0,9.0,6.0,3.0,,,,,2.0,1.0,,1.0,3.0,,2.0,2.0,2.0,,1.0,2.0,,,2.0,2.0,,1.0,,,
10433804,home,Kasımpaşa,Bersant Celina,,,bersant-celina,B. Celina,M,10,181,394,M,281013,EUR,842227200,M,59,59,False,23.0,21.0,,,8.0,8.0,14.0,18.0,3.0,,,,82.0,41.0,8.0,7.0,2,3.0,1.0,4.0,6.0,2.0,2.0,1.0,,1.0,3.0,1.0,1.0,1.0,,1.0,4.0,1.0,1.0,,,1.0,,,,,,3.0,1.0,1.0,
