match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_fouls,stat_keyPass,player_firstName,player_lastName,stat_totalCross,stat_accurateCross,stat_totalContest,stat_wonContest,stat_bigChanceCreated,stat_errorLeadToAShot,stat_unsuccessfulTouch,player_sofascoreId,stat_blockedScoringAttempt,stat_outfielderBlock,stat_expectedGoals,stat_dispossessed,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_shotOffTarget,stat_totalOffside,stat_goals,stat_penaltyWon,stat_penaltyFaced,stat_penaltyConceded,stat_errorLeadToAGoal
12530887,home,Beşiktaş JK,Mert Günok,mert-gunok,M. Günok,G,34,196,4070,M,39573,EUR,604713600,G,34,34,False,True,33.0,18.0,20.0,5.0,0.0,15.0,19.0,3.0,14.0,13.0,2.0,1.0,2.0,1.0,1.0,90.0,46.0,7.1,16.0,0.00096246,0,0.3297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12530887,home,Beşiktaş JK,Jonas Svensson,jonas-svensson,J. Svensson,D,71,170,1475,M,98199,EUR,731376000,D,2,2,False,,62.0,55.0,2.0,1.0,0.0,34.0,39.0,21.0,23.0,5.0,,,,,,90.0,82.0,7.0,7.0,0.157141,0,,2.0,1.0,7.0,4.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
12530887,home,Beşiktaş JK,Felix Uduokhai,felix-uduokhai,F. Uduokhai,D,14,193,1725,M,792142,EUR,873763200,D,14,14,False,,74.0,62.0,5.0,2.0,0.0,56.0,63.0,6.0,11.0,4.0,,,,,,90.0,83.0,7.0,12.0,0.00365216,0,,2.0,5.0,3.0,6.0,,5.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
12530887,home,Beşiktaş JK,Emirhan Topçu,emirhan-topcu,E. Topçu,D,53,188,2617,M,895009,EUR,971222400,D,53,53,False,,64.0,53.0,9.0,3.0,0.0,35.0,39.0,19.0,26.0,1.0,,,,,,90.0,75.0,7.0,12.0,0.0969502,0,,1.0,,2.0,2.0,,5.0,,1.0,1.0,,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,
12530887,home,Beşiktaş JK,Arthur Masuaku,arthur-masuaku,A. Masuaku,D,27,179,10350,M,174975,EUR,752630400,D,26,26,False,,48.0,46.0,2.0,2.0,0.0,25.0,25.0,23.0,32.0,5.0,,,,,,90.0,77.0,7.6,11.0,0.0510738,1,,2.0,,4.0,4.0,,1.0,,1.0,1.0,2.0,2.0,2.0,,,9.0,2.0,1.0,1.0,,,2.0,masuaku26,1.0,1.0,0.0793,,,,,,,,,,,
12530887,home,Beşiktaş JK,Cher Ndour,ndour-cher,C. Ndour,M,27,190,2165,M,1114422,EUR,1090886400,M,73,73,False,,58.0,49.0,3.0,,0.0,29.0,29.0,20.0,29.0,2.0,,,,,,90.0,74.0,6.9,13.0,0.0228508,1,,1.0,,5.0,6.0,,1.0,,4.0,4.0,,,1.0,,,,,2.0,2.0,,,,,,,0.3868,4.0,1.0,1.0,0.2597,,,,,,,
12530887,home,Beşiktaş JK,Gedson Fernandes,gedson-fernandes,G. Fernandes,M,83,184,5232,M,862055,EUR,915840000,M,83,83,False,,38.0,31.0,2.0,2.0,0.0,14.0,16.0,17.0,23.0,7.0,,,,,,86.0,59.0,7.1,14.0,0.320296,4,,1.0,,7.0,5.0,1.0,,2.0,1.0,1.0,1.0,1.0,,,,1.0,,5.0,3.0,,,2.0,gedson_83,1.0,1.0,0.6648,2.0,1.0,1.0,0.1366,2.0,,,,,,
12530887,home,Beşiktaş JK,Ernest Muçi,ernest-muci,E. Muçi,M,10,180,5691,M,924670,EUR,984960000,M,23,23,False,,34.0,26.0,3.0,1.0,1.0,5.0,8.0,21.0,28.0,8.0,,,,,,90.0,50.0,7.4,15.0,0.35662,3,,4.0,,7.0,1.0,1.0,,2.0,,,1.0,2.0,2.0,,,2.0,,,,1.0,,3.0,ernest_muci,1.0,,0.1429,1.0,,,,2.0,1.0,,,,,
12530887,home,Beşiktaş JK,Rafa Silva,rafa-silva,R. Silva,M,27,170,17005,M,252577,EUR,737596800,M,27,27,False,,24.0,22.0,2.0,1.0,0.0,4.0,4.0,18.0,21.0,2.0,,,,,,86.0,41.0,7.0,13.0,0.0870097,2,,1.0,1.0,8.0,4.0,1.0,,,,,2.0,1.0,1.0,,,1.0,,4.0,1.0,,,3.0,Rafa_Silva,,,0.6016,3.0,1.0,2.0,0.5844,,,1.0,,,,
12530887,home,Beşiktaş JK,Semih Kılıçsoy,semih-kilicsoy,S. Kilicsoy,F,9,178,11924,M,1142606,EUR,1124064000,M,9,9,False,,15.0,13.0,,,0.0,2.0,2.0,11.0,13.0,2.0,,,,,,68.0,27.0,7.0,6.0,0.205519,2,,,1.0,10.0,2.0,3.0,,2.0,,,1.0,4.0,,,,,,1.0,,,,1.0,semihkilicsoy9,1.0,,0.1384,2.0,,1.0,0.6319,,,,1.0,,,
