match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_aerialLost,stat_aerialWon,stat_fouls,stat_dispossessed,captain,stat_totalCross,stat_shotOffTarget,stat_expectedGoals,stat_accurateCross,stat_wonContest,stat_bigChanceCreated,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,stat_keyPass,stat_bigChanceMissed,stat_blockedScoringAttempt,stat_totalOffside,stat_savedShotsFromInsideTheBox,stat_punches,stat_lastManTackle,stat_outfielderBlock
12437737,home,Valencia,Giorgi Mamardashvili,giorgi-mamardashvili,G. Mamardashvili,G,25,200,17187,M,mamardashvili,930997,EUR,970185600,G,25,25,False,34.0,20.0,22.0,8.0,0.0,13.0,14.0,7.0,20.0,1.0,6.0,1.0,1.0,3.0,3.0,90.0,38.0,6.7,14.0,0.00295147,0,-0.3997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12437737,home,Valencia,Dimitri Foulquier,dimitri-foulquier,D. Foulquier,D,20,183,461,M,,151138,EUR,732844800,D,20,20,False,34.0,31.0,1.0,,0.0,15.0,15.0,16.0,19.0,3.0,4.0,,,,,81.0,56.0,6.7,11.0,0.0163994,0,,,,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
12437737,home,Valencia,César Tárrega,cesar-tarrega,C. Tárrega,D,5,193,816,M,,996928,EUR,1014681600,D,15,15,False,62.0,54.0,7.0,5.0,0.0,38.0,42.0,16.0,20.0,9.0,6.0,,,,,90.0,81.0,7.3,9.0,0.00772166,0,,,,4.0,8.0,1.0,,2.0,3.0,3.0,1.0,3.0,1.0,2.0,2.0,,,,,,,,,,,,,,,,,,,
12437737,home,Valencia,Cristhian Mosquera,cristhian-mosquera,C. Mosquera,D,3,191,15807,M,,1144630,EUR,1088294400,D,3,3,False,60.0,56.0,6.0,4.0,0.0,44.0,46.0,12.0,14.0,2.0,5.0,,,,,90.0,76.0,7.2,7.0,0.00713275,0,,Cristhian Mosquera,,2.0,6.0,,,2.0,5.0,4.0,2.0,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,
12437737,home,Valencia,José Luis Gayà,jose-luis-gaya,J. L. Gayà,D,14,172,1685,M,,227922,EUR,801360000,D,14,14,False,41.0,29.0,9.0,1.0,0.0,16.0,19.0,13.0,24.0,,5.0,,,,,90.0,69.0,6.2,23.0,0.00699869,1,,,,5.0,3.0,1.0,3.0,1.0,3.0,1.0,1.0,,,,,1.0,True,2.0,1.0,0.0895,,,,,,,,,,,,,,
12437737,home,Valencia,Javier Guerra,javier-guerra,J. Guerra,M,8,187,1800,M,,1122610,EUR,1052784000,M,8,8,False,32.0,25.0,4.0,2.0,1.0,12.0,14.0,14.0,20.0,,2.0,,,,,80.0,48.0,8.5,13.0,0.445689,1,,,,3.0,7.0,,2.0,,,,2.0,5.0,1.0,1.0,1.0,1.0,,2.0,,0.0496,1.0,1.0,2.0,1.0,1.0,0.3197,2.0,,,,,,,
12437737,home,Valencia,Enzo Barrenechea,enzo-barrenechea,E. Barrenechea,M,5,186,6499,M,,1087316,EUR,990489600,M,5,5,False,44.0,41.0,3.0,2.0,0.0,25.0,27.0,16.0,17.0,2.0,4.0,,,,,87.0,58.0,7.0,6.0,0.0140145,0,,,,1.0,5.0,,1.0,4.0,3.0,1.0,1.0,,,2.0,,,,,,,,,,,,,,,,,,,,
12437737,home,Valencia,Diego López,diego-lopez,D. López,M,16,172,1350,M,,998950,EUR,1021248000,M,16,16,False,20.0,13.0,1.0,,0.0,6.0,9.0,7.0,11.0,1.0,2.0,,,,,87.0,35.0,6.2,12.0,0.0076408,2,,,,6.0,2.0,,2.0,1.0,,,1.0,2.0,4.0,,,,,,,0.6226,,,,1.0,,0.3005,,1.0,1.0,1.0,,,,
12437737,home,Valencia,André Almeida,andre-almeida,A. Almeida,M,10,176,1200,M,,845693,EUR,959644800,M,10,10,False,51.0,46.0,1.0,1.0,0.0,15.0,15.0,31.0,38.0,,2.0,,,,,90.0,65.0,6.9,12.0,0.0428777,0,,,,4.0,5.0,1.0,2.0,,2.0,1.0,3.0,2.0,,,1.0,1.0,,2.0,,,,1.0,,,,,1.0,,,,,,,
12437737,home,Valencia,Luis Rioja,luis-rioja,L. Rioja,M,11,173,860,M,,900433,EUR,750729600,M,22,22,False,28.0,25.0,1.0,1.0,1.0,11.0,11.0,15.0,21.0,,3.0,,,,,90.0,48.0,8.5,9.0,0.3797,1,,,,5.0,7.0,1.0,5.0,2.0,,,,2.0,1.0,2.0,,1.0,,4.0,,0.2442,1.0,3.0,1.0,1.0,1.0,0.4346,3.0,,,,,,,
12437737,home,Valencia,Hugo Duro,hugo-duro,H. Duro,F,9,180,2868,M,,909119,EUR,942192000,F,9,9,False,18.0,13.0,,,0.0,5.0,6.0,8.0,12.0,,1.0,,,,,66.0,27.0,6.3,8.0,0.0532182,1,,,,6.0,5.0,,1.0,2.0,,,,1.0,1.0,4.0,2.0,2.0,,,1.0,0.554,,,,,,,1.0,1.0,,,,,,
12437737,home,Valencia,Umar Sadiq,umar-sadiq,U. Sadiq,F,6,192,2879,M,,754710,EUR,854841600,F,12,12,True,9.0,7.0,,,0.0,1.0,1.0,6.0,8.0,,2.0,,,,,24.0,14.0,6.7,4.0,0.00746094,0,,,,5.0,3.0,,1.0,,,,,1.0,2.0,1.0,3.0,1.0,,,,,,1.0,,,,,,,,1.0,,,,
12437737,home,Valencia,Pepelu,pepelu,Pepelu,M,18,185,1838,M,,826948,EUR,902793600,M,18,18,True,10.0,7.0,,,0.0,2.0,4.0,5.0,6.0,1.0,2.0,,,,,10.0,15.0,6.9,3.0,0.00238431,0,,,,,3.0,,1.0,1.0,2.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,
12437737,home,Valencia,Mouctar Diakhaby,mouctar-diakhaby,M. Diakhaby,D,4,192,4026,M,mouctar_dkh,797306,EUR,850953600,D,4,4,True,2.0,2.0,,,0.0,1.0,1.0,1.0,1.0,,,,,,,9.0,6.0,6.8,2.0,0.0111351,1,,,,1.0,,,,1.0,,,1.0,,,,,1.0,,,,0.0891,,,,1.0,,0.6276,,,,,,,,
12437737,home,Valencia,Fran Pérez,fran-perez,F. Pérez,M,21,176,466,M,,966637,EUR,1031529600,M,23,23,True,,,,,0.0,,,,1.0,,1.0,,,,,12.0,5.0,6.8,3.0,,1,,,,1.0,1.0,,2.0,,,,,,,,,,,1.0,,0.0242,,1.0,,1.0,,0.3664,,,,,,,,
