match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,captain,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_wonContest,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_fouls,stat_dispossessed,stat_shotOffTarget,stat_blockedScoringAttempt,stat_unsuccessfulTouch,stat_totalOffside,stat_keyPass,stat_onTargetScoringAttempt,stat_accurateCross,stat_errorLeadToAShot,stat_goals,stat_bigChanceMissed,stat_goalAssist,stat_bigChanceCreated
10385376,home,Chelsea,Edouard Mendy,,,edouard-mendy,E. Mendy,G,16,195,19994,M,edou_mendy,845074,EUR,699408000,G,16,16,False,33.0,23.0,16.0,6.0,18.0,20.0,5.0,13.0,1.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,90.0,42.0,6.8,10.0,0.0,0.0,0.00061583,0,0.0897,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10385376,home,Chelsea,César Azpilicueta,,,cesar-azpilicueta,C. Azpilicueta,D,3,178,4642,M,Dave,21555,EUR,620265600,D,28,28,False,39.0,26.0,5.0,,19.0,26.0,7.0,15.0,4.0,4.0,,,,,,,90.0,73.0,7.0,20.0,0.0,0.0,0.00344592,0,,True,2.0,1.0,4.0,7.0,10.0,1.0,2.0,1.0,1.0,2.0,4.0,4.0,1.0,4.0,,,,,,,,,,,,,
10385376,home,Chelsea,Trevoh Chalobah,,,trevoh-chalobah,T. Chalobah,D,23,190,14453,M,yungchalobah,826134,EUR,931132800,D,14,14,False,42.0,37.0,5.0,1.0,30.0,32.0,7.0,11.0,3.0,6.0,,,,,,,90.0,52.0,6.8,6.0,0.0,0.0,0.0081495,0,,,1.0,1.0,3.0,4.0,6.0,2.0,,,,2.0,3.0,1.0,,1.0,,,,,,,,,,,,,
10385376,home,Chelsea,Thiago Silva,,,thiago-silva,T. Silva,D,3,181,42659,M,ThiagoSilva,33541,EUR,464659200,D,6,6,False,58.0,44.0,15.0,4.0,34.0,36.0,10.0,22.0,2.0,5.0,,,,,,,90.0,72.0,6.8,17.0,0.1287,0.0,0.0099147,1,,,,,1.0,3.0,4.0,1.0,,,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,
10385376,home,Chelsea,Marc Cucurella,,,marc-cucurella,M. Cucurella,D,3,175,37239,M,cucurella3,794939,EUR,901065600,D,32,32,False,27.0,18.0,4.0,,12.0,15.0,6.0,14.0,1.0,5.0,,,,,,,90.0,46.0,6.8,13.0,0.0502,0.0,0.00201808,1,,,2.0,,1.0,4.0,9.0,,,,,,5.0,2.0,3.0,3.0,1.0,,1.0,1.0,,,,,,,,,
10385376,home,Chelsea,Ruben Loftus-Cheek,,,ruben-loftus-cheek,R. Loftus-Cheek,M,8,191,7232,M,rlc,284441,EUR,822355200,M,12,12,False,25.0,21.0,1.0,1.0,8.0,11.0,13.0,15.0,1.0,3.0,,,,,,,78.0,32.0,6.7,6.0,0.0,0.0,0.0167508,0,,,1.0,3.0,2.0,4.0,5.0,1.0,,,,,2.0,,1.0,,,,,1.0,,,,,,,,,
10385376,home,Chelsea,Jorginho,,,jorginho,Jorginho,M,21,180,32466,M,jorginhofrello,132874,EUR,693187200,M,5,5,False,34.0,22.0,7.0,3.0,12.0,19.0,10.0,15.0,2.0,12.0,,,,,,,90.0,43.0,6.7,12.0,0.0,0.0,0.0123564,0,,,,,1.0,3.0,5.0,3.0,1.0,1.0,,2.0,2.0,2.0,1.0,,,,,,,,,,,,,,
10385376,home,Chelsea,Raheem Sterling,,,raheem-sterling,R. Sterling,F,,170,36469,M,Sterling7,138534,EUR,786844800,M,17,17,False,24.0,19.0,2.0,2.0,4.0,4.0,15.0,21.0,,6.0,,,,,,,90.0,39.0,5.9,15.0,0.0,0.0,0.0323233,0,,,1.0,1.0,,11.0,3.0,,6.0,1.0,,,1.0,,1.0,2.0,3.0,,,1.0,1.0,1.0,,,,,,,
10385376,home,Chelsea,Kai Havertz,,,kai-havertz,K. Havertz,F,29,193,67778,M,KaiHav,836705,EUR,929059200,M,29,29,False,17.0,11.0,,,1.0,2.0,10.0,17.0,2.0,2.0,,,,,,,64.0,35.0,6.8,13.0,0.0198,0.0776,0.0804956,1,,,2.0,,2.0,2.0,3.0,,,,,,1.0,1.0,,2.0,1.0,,,4.0,,1.0,1.0,,,,,,
10385376,home,Chelsea,Mason Mount,,,mason-mount,M. Mount,M,7,181,41304,M,MMount,836694,EUR,915926400,M,19,19,False,21.0,13.0,1.0,1.0,8.0,12.0,6.0,13.0,1.0,4.0,,,,,,,78.0,38.0,6.7,16.0,0.0437,0.0,0.0727796,1,,,4.0,1.0,2.0,4.0,6.0,1.0,,,,,1.0,,3.0,2.0,,,1.0,5.0,,1.0,,1.0,,,,,
