match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_dispossessed,stat_totalContest,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_challengeLost,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_interceptionWon,player_lastName,stat_bigChanceMissed,stat_outfielderBlock,stat_errorLeadToAGoal,stat_wonContest,stat_keyPass,stat_accurateCross,stat_bigChanceCreated,stat_blockedScoringAttempt,player_sofascoreId,stat_totalOffside,captain,stat_hitWoodwork,stat_punches,stat_goals,stat_goalAssist
10390103,home,Montpellier,Jonas Omlin,jonas-omlin,J. Omlin,G,18,189,392,M,571622,EUR,758160000,G,1,1,False,15.0,6.0,14.0,5.0,4.0,4.0,2.0,11.0,1.0,10.0,2.0,2.0,4.0,90.0,31.0,6.4,9.0,0.0,0.0,0.000628839,0,-1.1988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10390103,home,Montpellier,Enzo Tchato Mbiayi,enzo-tchato-mbiayi,E. T. Mbiayi,D,29,180,511,M,1103548,EUR,1038009600,D,29,29,False,37.0,25.0,3.0,,12.0,17.0,13.0,23.0,2.0,3.0,,,,90.0,66.0,6.0,20.0,0.0,0.0,0.0278834,0,,Enzo Tchato Mbiayi,3.0,1.0,1.0,4.0,5.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
10390103,home,Montpellier,Christopher Jullien,christopher-jullien,C. Jullien,D,6,195,127,M,229598,EUR,732758400,D,6,6,False,40.0,30.0,7.0,5.0,22.0,28.0,8.0,12.0,7.0,6.0,,,,86.0,55.0,6.7,11.0,0.0574,0.2624,0.00609371,2,,,,2.0,2.0,3.0,2.0,,,,,1.0,,,1.0,1.0,1.0,3.0,,,,,,,,,,,,,,,,
10390103,home,Montpellier,Mamadou Sakho,mamadou-sakho,M. Sakho,D,,187,317,,21134,EUR,634867200,D,75,75,False,49.0,37.0,3.0,,29.0,32.0,8.0,17.0,9.0,7.0,,,,90.0,63.0,6.0,13.0,0.1396,0.1515,0.00160081,1,,,,3.0,4.0,3.0,4.0,,,,,,,,,,1.0,,,1.0,2.0,1.0,,,,,,,,,,,,
10390103,home,Montpellier,Faitout Maouassa,faitout-maouassa,F. Maouassa,M,27,172,207,M,801287,EUR,899683200,D,27,27,False,39.0,30.0,5.0,2.0,15.0,17.0,15.0,25.0,1.0,8.0,,,,78.0,65.0,6.7,14.0,0.0,0.0,0.0157378,0,,,3.0,1.0,1.0,2.0,7.0,,5.0,2.0,,1.0,,,,,,,,,,,4.0,1.0,,,,,,,,,,
10390103,home,Montpellier,Jordan Ferri,jordan-ferri,J. Ferri,M,4,172,146,M,123229,EUR,700358400,M,12,12,False,56.0,48.0,5.0,3.0,25.0,29.0,24.0,29.0,1.0,3.0,,,,78.0,70.0,7.0,14.0,0.0354,0.1113,0.187733,1,,,2.0,,1.0,4.0,4.0,2.0,,1.0,,3.0,2.0,2.0,,,1.0,,,,,,,2.0,1.0,,,,,,,,,
10390103,home,Montpellier,Leo Leroy,leo-leroy,L. Leroy,M,22,185,170,M,976001,EUR,950486400,M,18,18,False,29.0,24.0,,,15.0,18.0,9.0,11.0,1.0,2.0,,,,64.0,40.0,6.9,8.0,0.1487,0.0,0.39375,2,,,,1.0,4.0,5.0,6.0,,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,,,,,,,,1.0,,1.0,1.0,,,,,,,
10390103,home,Montpellier,Elye Wahi,elye-wahi,E. Wahi,F,11,180,3162,M,979315,EUR,1041465600,M,21,21,False,12.0,11.0,,,3.0,3.0,8.0,11.0,,2.0,,,,67.0,34.0,5.5,16.0,0.2218,0.0984,0.133885,1,,,2.0,2.0,,8.0,4.0,3.0,3.0,1.0,,6.0,2.0,2.0,,,1.0,,,,,,1.0,1.0,,,,e.wahi7,1.0,,,,,
10390103,home,Montpellier,Teji Savanier,teji-savanier,T. Savanier,M,11,171,790,M,156682,EUR,693360000,M,11,11,False,37.0,30.0,8.0,5.0,11.0,14.0,20.0,30.0,1.0,3.0,,,,90.0,61.0,6.5,19.0,0.0437,0.1571,0.188723,1,,,7.0,1.0,,8.0,4.0,1.0,1.0,,,3.0,4.0,4.0,1.0,,1.0,,,,,,,4.0,1.0,,,,,True,,,,
10390103,home,Montpellier,Wahbi Khazri,wahbi-khazri,W. Khazri,F,,176,1610,M,51640,EUR,665971200,M,99,99,False,14.0,11.0,1.0,1.0,4.0,4.0,7.0,10.0,1.0,2.0,,,,42.0,17.0,5.5,5.0,0.0,0.0,0.0196064,0,,,,,1.0,3.0,1.0,,2.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
