match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_aerialWon,stat_duelWon,stat_shotOffTarget,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_expectedGoals,stat_interceptionWon,stat_unsuccessfulTouch,stat_errorLeadToAShot,stat_totalCross,stat_keyPass,stat_accurateCross,stat_aerialLost,stat_duelLost,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_wonContest,stat_outfielderBlock,stat_fouls,stat_expectedGoalsOnTarget,captain,stat_totalOffside,stat_bigChanceCreated,stat_goals,stat_accurateKeeperSweeper,player_sofascoreId,stat_clearanceOffLine,stat_bigChanceMissed
12764113,home,Maccabi Tel Aviv,Elad Madmon,Elad Madmon,,madmon-elad,E. Madmon,F,19,175,125,M,1434753,EUR,1076371200,F,19,19,False,13.0,12.0,,,0.0,4.0,4.0,8.0,10.0,,1.0,,,,,,76.0,26.0,6.7,8.0,0.0137689,2,,1.0,3.0,1.0,,,2.0,0.1107,,5.0,,1.0,,,2.0,5.0,1.0,1.0,,1.0,,,,1.0,0.2075,,1.0,,,,,,
12764113,home,Maccabi Tel Aviv,Sagiv Jehezkel,Sagiv,Jehezkel,sagiv-jehezkel,S. Jehezkel,D,11,184,114,M,1513792,EUR,795744000,D,11,11,True,8.0,7.0,,,0.0,4.0,4.0,3.0,5.0,,2.0,,,,,,20.0,12.0,6.5,4.0,0.0118972,0,,,,,,,,,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,
12764113,home,Maccabi Tel Aviv,Joris van Overeem,,,joris-van-overeem,J. v. Overeem,M,6,181,103,M,138842,EUR,770428800,M,14,14,True,16.0,14.0,2.0,1.0,0.0,5.0,5.0,9.0,11.0,,2.0,,,,,,20.0,17.0,6.6,2.0,0.00974081,0,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,1.0,,,,,,,,,
12764113,home,Maccabi Tel Aviv,Henry Addo,,,addo-henry,H. Addo,M,43,180,226,M,1183887,EUR,1051747200,F,20,20,True,2.0,2.0,,,0.0,1.0,1.0,1.0,1.0,,,,,,,,19.0,3.0,6.6,,0.00031534,1,,,,1.0,,,,0.0239,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
12764113,home,Maccabi Tel Aviv,Osher Davida,Osher,Davida,davida-osher,O. Davida,M,77,175,195,M,1004222,EUR,982454400,F,77,77,True,9.0,6.0,,,1.0,1.0,2.0,6.0,8.0,,1.0,,,,,,17.0,16.0,7.1,5.0,0.132744,0,,,3.0,,1.0,1.0,,,1.0,1.0,,1.0,1.0,1.0,,2.0,,,3.0,,,2.0,,1.0,,,,1.0,,,,,
12764113,home,Maccabi Tel Aviv,Dor Turgeman,,,dor-turgeman,D. Turgeman,F,11,185,711,M,1005586,EUR,1066953600,F,9,9,True,3.0,2.0,,,0.0,1.0,1.0,1.0,2.0,,,,,,,,14.0,6.0,7.3,3.0,0.00018419,1,,1.0,1.0,,,,,0.0727,,1.0,,,,,,1.0,,1.0,,1.0,,,,,0.6442,,,,1.0,,,,
12764113,home,Maccabi Tel Aviv,Simon Sluga,,,simon-sluga,S. Sluga,G,21,191,300,M,94234,EUR,732326400,G,23,23,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12764113,home,Maccabi Tel Aviv,Avishai Cohen,,,avishai-cohen,A. Cohen,D,2,181,23,M,552982,EUR,803520000,D,2,2,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12764113,home,Maccabi Tel Aviv,Idan Nachmias,,,idan-nachmias,I. Nachmias,D,55,190,152,M,827424,EUR,858556800,D,5,5,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12764113,home,Maccabi Tel Aviv,Tyrese Asante,,,tyrese-asante,T. Asante,D,6,188,205,M,1130884,EUR,1018310400,D,6,6,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12764113,home,Maccabi Tel Aviv,Nir Bitton,,,nir-bitton,N. Bitton,D,5,196,53,M,82488,EUR,688780800,M,55,55,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12764113,home,Maccabi Tel Aviv,Hisham Layous,Hisham,Layous,layous-hisham,H. Layous,M,7,175,101,M,1002898,EUR,973987200,F,33,33,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12764113,home,Maccabi Tel Aviv,Yonas Malede,Yonas,Malede,yonas-malede,Y. Malede,F,15,188,72,M,921826,EUR,942537600,F,15,15,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12764113,away,Real Sociedad,Unai Marrero,Unai Marrero,,unai-marrero,U. Marrero,G,13,187,283,M,1094782,EUR,1002585600,G,13,13,False,37.0,31.0,8.0,3.0,0.0,31.0,34.0,,3.0,1.0,3.0,,1.0,2.0,,1.0,90.0,42.0,6.7,6.0,8.581e-05,0,-0.1288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,
12764113,away,Real Sociedad,Jon Aramburu,Jon Aramburu,,jon-aramburu,J. Aramburu,D,2,176,6573,M,1116388,EUR,1027382400,D,27,27,False,39.0,37.0,2.0,1.0,0.0,15.0,15.0,22.0,26.0,1.0,3.0,,,,,,76.0,60.0,6.9,7.0,0.0312927,0,,,2.0,,2.0,1.0,,,,,,2.0,1.0,,,3.0,,1.0,1.0,,,,,1.0,,,,,,,ElBufalo,,
12764113,away,Real Sociedad,Nayef Aguerd,,,nayef-aguerd,N. Aguerd,D,21,188,25685,M,877102,EUR,828144000,D,21,21,False,87.0,83.0,7.0,7.0,0.0,60.0,64.0,23.0,23.0,2.0,4.0,,,,,,90.0,98.0,8.0,5.0,0.0154947,1,,1.0,5.0,1.0,1.0,1.0,1.0,0.0711,,,,,1.0,,2.0,3.0,,,2.0,,,2.0,2.0,1.0,,,1.0,,,,nayefaguard,1.0,
12764113,away,Real Sociedad,Jon Pacheco,,,jon-pacheco,J. Pacheco,D,5,184,536,M,934383,EUR,978912000,D,20,20,False,77.0,73.0,5.0,1.0,0.0,55.0,55.0,18.0,22.0,2.0,2.0,,,,,,90.0,92.0,7.4,7.0,0.0061344,1,,2.0,4.0,,2.0,2.0,,0.2094,4.0,1.0,1.0,,,,2.0,4.0,,1.0,,1.0,,,,2.0,0.9027,,,,1.0,,,,
12764113,away,Real Sociedad,Javi López,,,lopez-javi,J. López,D,25,183,403,M,945404,EUR,1009843200,D,12,12,False,63.0,59.0,5.0,4.0,0.0,38.0,38.0,21.0,29.0,1.0,6.0,,,,,,90.0,87.0,6.6,14.0,0.605509,1,,,1.0,1.0,1.0,1.0,,0.0723,1.0,,,4.0,,,,6.0,,3.0,,,,,,3.0,,,,,,,,,
12764113,away,Real Sociedad,Martín Zubimendi,,,martin-zubimendi,M. Zubimendi,M,36,180,26374,M,966837,EUR,917913600,M,4,4,False,87.0,78.0,7.0,5.0,0.0,48.0,50.0,30.0,37.0,1.0,6.0,,,,,,90.0,98.0,7.5,11.0,0.0286927,1,,2.0,5.0,1.0,3.0,2.0,,0.0424,2.0,1.0,,,,,,1.0,,,,,,,1.0,1.0,,,,,,,martin_zubimendi,,
12764113,away,Real Sociedad,Mikel Oyarzabal,,,mikel-oyarzabal,M. Oyarzabal,F,10,181,11885,M,823622,EUR,861580800,M,10,10,False,19.0,15.0,,,0.0,3.0,3.0,12.0,16.0,,3.0,,,,,,59.0,24.0,6.9,8.0,0.197607,0,,,,,,,,,1.0,2.0,,,2.0,,,2.0,1.0,,1.0,,,,,,,True,,1.0,,,mikel10oyar,,
12764113,away,Real Sociedad,Beñat Turrientes,,,benat-turrientes,B. Turrientes,M,8,179,777,M,980410,EUR,1012435200,M,22,22,False,38.0,34.0,2.0,2.0,0.0,17.0,18.0,17.0,21.0,2.0,1.0,,,,,,59.0,47.0,6.8,7.0,0.0407374,0,,1.0,4.0,,1.0,,1.0,,,,,1.0,1.0,,1.0,5.0,2.0,2.0,1.0,,,1.0,,,,,,,,,,,
12764113,away,Real Sociedad,Brais Méndez,,,brais-mendez,B. Méndez,M,23,184,2008,M,845385,EUR,852595200,M,23,23,False,51.0,47.0,5.0,3.0,1.0,15.0,16.0,36.0,43.0,1.0,2.0,,,,,,84.0,67.0,7.7,9.0,0.269492,1,,1.0,4.0,,1.0,,1.0,0.0405,,1.0,,8.0,3.0,4.0,,2.0,1.0,,1.0,,1.0,1.0,,1.0,,,,1.0,,,,,
12764113,away,Real Sociedad,Takefusa Kubo,,,kubo-takefusa,T. Kubo,M,14,174,23735,M,880218,EUR,991612800,M,14,14,False,35.0,27.0,2.0,2.0,0.0,5.0,10.0,23.0,26.0,,2.0,,,,,,75.0,52.0,6.9,16.0,0.346094,2,,,3.0,1.0,1.0,1.0,2.0,0.0668,,3.0,,1.0,,1.0,,6.0,,2.0,3.0,1.0,,,,1.0,0.2061,,,,,,KuboTake,,
12764113,away,Real Sociedad,Umar Sadiq,,,umar-sadiq,U. Sadiq,F,6,192,2967,M,754710,EUR,854841600,F,19,19,False,10.0,10.0,2.0,2.0,0.0,1.0,1.0,9.0,9.0,,2.0,,,,,,90.0,19.0,6.5,4.0,0.030971,2,,,2.0,,,,2.0,0.2974,,2.0,,,,,5.0,8.0,,,2.0,2.0,,,,3.0,0.2946,,,,,,,,1.0
12764113,away,Real Sociedad,Sergio Gómez,,,sergio-gomez,S. Gómez,M,17,171,4433,M,855835,EUR,968025600,D,17,17,True,26.0,22.0,2.0,1.0,0.0,13.0,16.0,9.0,10.0,,3.0,,,,,,31.0,27.0,7.1,4.0,0.00566144,1,,,,,,,,0.3791,,,,,,,,1.0,1.0,,,1.0,,,,,0.7424,,,,1.0,,sergiogm_10,,
12764113,away,Real Sociedad,Sheraldo Becker,,,sheraldo-becker,S. Becker,F,23,180,1512,M,352544,EUR,792288000,F,11,11,True,15.0,15.0,,,1.0,3.0,3.0,13.0,13.0,1.0,3.0,,,,,,31.0,18.0,7.2,,0.513759,1,,,,1.0,,,,0.0296,,,,1.0,2.0,1.0,,1.0,,,,,,,,1.0,,,,1.0,,,,,
12764113,away,Real Sociedad,Ander Barrenetxea,,,ander-barrenetxea,A. Barrenetxea,F,7,174,1649,M,966862,EUR,1009411200,F,7,7,True,6.0,4.0,,,0.0,,1.0,4.0,5.0,,3.0,,,,,,15.0,11.0,6.2,7.0,0.00099501,0,,,,,,,,,,3.0,,,,,,2.0,,1.0,1.0,,,,,,,,1.0,,,,,,
12764113,away,Real Sociedad,Aritz Elustondo,,,aritz-elustondo,A. Elustondo,D,6,178,410,M,785468,EUR,764812800,D,6,6,True,10.0,8.0,2.0,,0.0,5.0,6.0,3.0,4.0,1.0,,,,,,,14.0,15.0,6.6,2.0,0.00112388,0,,1.0,1.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,
12764113,away,Real Sociedad,Jon Ander Olasagasti,,,jon-ander-olasagasti,J. A. Olasagasti,M,8,176,269,M,1010383,EUR,966384000,M,16,16,True,7.0,5.0,,,0.0,,1.0,5.0,6.0,,1.0,,,,,,12.0,10.0,6.5,2.0,0.00106041,1,,,1.0,,,,1.0,0.055,,,,,,,,1.0,1.0,,,,1.0,,,,,,,,,,,,
12764113,away,Real Sociedad,Aitor Fraga,,,aitor-fraga,A. Fraga,G,1,194,113,M,1000247,EUR,1047168000,G,32,32,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12764113,away,Real Sociedad,Álvaro Odriozola,,,alvaro-odriozola,Á. Odriozola,D,20,175,2586,M,353250,EUR,818899200,D,2,2,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12764113,away,Real Sociedad,Jon Martin,Jon Martín,,vicente-jon-martin,J. Martin,D,31,185,1266,M,1466116,EUR,1145750400,D,31,31,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12764113,away,Real Sociedad,Urko González,,,urko-gonzalez,U. González,M,4,189,459,M,1064009,EUR,985046400,M,15,15,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12764113,away,Real Sociedad,Jon Magunazelaia,Jon Magunacelaya,,jon-magunazelaia,J. Magunazelaia,M,11,180,127,M,1134396,EUR,994982400,M,25,25,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12764113,away,Real Sociedad,Orri Steinn Óskarsson,,,orri-steinn-oskarsson,O. S. Óskarsson,F,9,186,2688,M,1026015,EUR,1093737600,F,9,9,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
