match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_totalCross,stat_aerialLost,stat_duelLost,stat_challengeLost,stat_onTargetScoringAttempt,stat_goals,stat_totalTackle,stat_unsuccessfulTouch,stat_fouls,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_keyPass,captain,stat_outfielderBlock,stat_wonTackle,stat_totalContest,stat_wonContest,stat_accurateCross,stat_dispossessed,stat_bigChanceCreated,stat_interceptionWon,stat_wasFouled,stat_bigChanceMissed,stat_shotOffTarget,stat_totalOffside,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_blockedScoringAttempt
12514077,home,Moreirense,Kewin,kewin,Kewin,G,1,187,111,M,865371,EUR,790992000,G,40,40,False,24.0,19.0,6.0,1.0,0.0,18.0,19.0,1.0,5.0,1.0,1.0,1.0,6.0,1.0,2.0,3.0,90.0,34.0,6.7,5.0,7.598e-05,0,-0.3783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12514077,home,Moreirense,Dinis Pinto,dinis-pinto,D. Pinto,D,76,178,150,M,1160980,EUR,967075200,D,76,76,False,47.0,38.0,5.0,2.0,0.0,20.0,25.0,18.0,24.0,1.0,3.0,2.0,1.0,,,,90.0,72.0,7.1,14.0,0.0195933,1,,Dinis Pinto,,2.0,2.0,5.0,1.0,1.0,1.0,2.0,2.0,2.0,0.0679,0.1064,1.0,,,,,,,,,,,,,,,,
12514077,home,Moreirense,Marcelo,marcelo,Marcelo,D,44,182,57,M,156318,EUR,617500800,D,44,44,False,68.0,61.0,6.0,2.0,0.0,46.0,47.0,15.0,21.0,4.0,5.0,11.0,3.0,,,,90.0,82.0,6.9,7.0,0.00896928,0,,,,,6.0,6.0,,,,1.0,,1.0,,,,True,1.0,1.0,,,,,,,,,,,,,
12514077,home,Moreirense,Carlos Ponck,carlos-ponck,C. Ponck,D,26,183,62,M,584116,EUR,789955200,D,14,14,False,53.0,50.0,5.0,4.0,0.0,41.0,43.0,9.0,10.0,1.0,3.0,4.0,6.0,,,,90.0,65.0,6.8,5.0,0.0152536,0,,,,,2.0,2.0,,,,1.0,1.0,,,,1.0,,,1.0,1.0,1.0,,,,,,,,,,,
12514077,home,Moreirense,Godfried Frimpong,godfried-frimpong,G. Frimpong,D,21,180,173,M,931743,EUR,924652800,D,23,23,False,32.0,25.0,5.0,1.0,1.0,16.0,17.0,11.0,20.0,,6.0,3.0,3.0,,,,90.0,66.0,7.3,18.0,0.14742,1,,,,5.0,2.0,6.0,,1.0,,3.0,4.0,3.0,0.0297,0.018,1.0,,,2.0,1.0,,2.0,1.0,1.0,2.0,3.0,,,,,,
12514077,home,Moreirense,Rúben Ramos Ismael,ruben-ramos-ismael,Ismael,M,16,184,179,M,1469058,EUR,922320000,M,6,6,False,38.0,35.0,1.0,1.0,0.0,17.0,17.0,18.0,23.0,,3.0,1.0,5.0,,,,65.0,46.0,6.7,5.0,0.0420494,0,,,,2.0,2.0,6.0,,,,1.0,,4.0,,,1.0,,,1.0,,,,,,1.0,2.0,,,,,,
12514077,home,Moreirense,Lawrence Ofori,lawrence-ofori,L. Ofori,M,80,181,149,M,892170,EUR,898992000,M,80,80,False,60.0,58.0,6.0,4.0,0.0,29.0,29.0,29.0,32.0,,3.0,1.0,3.0,,,,90.0,72.0,6.9,5.0,0.0689803,0,,,,1.0,,2.0,1.0,,,1.0,1.0,,,,1.0,,,1.0,,,,1.0,,,2.0,,,,,,
12514077,home,Moreirense,Madson de Souza Silva,madson-de-souza-silva,M. d. S. Silva,M,9,164,238,M,937555,EUR,935625600,M,31,31,False,17.0,12.0,,,0.0,,2.0,12.0,16.0,,4.0,1.0,2.0,,,,56.0,32.0,6.6,12.0,0.0131298,3,,,,1.0,1.0,5.0,,3.0,,,2.0,,0.3666,0.5323,,,,,2.0,1.0,,3.0,,,3.0,1.0,,,,,
12514077,home,Moreirense,Alan,alan,Alan,M,11,163,525,M,905455,EUR,952473600,M,11,11,False,33.0,27.0,2.0,1.0,0.0,9.0,9.0,18.0,26.0,,5.0,,2.0,,,,65.0,43.0,6.9,10.0,0.180325,1,,,,2.0,,2.0,1.0,,,2.0,,,0.0301,,1.0,,,1.0,1.0,1.0,,1.0,,,2.0,,1.0,,,,
12514077,home,Moreirense,Bernardo Martins,bernardo-martins,B. Martins,M,8,176,81,M,845811,EUR,881193600,M,20,20,False,19.0,15.0,1.0,,0.0,4.0,4.0,12.0,16.0,1.0,6.0,,2.0,,,,56.0,31.0,6.8,7.0,0.352186,0,,,,1.0,,6.0,4.0,,,2.0,2.0,1.0,,,1.0,,,1.0,,,1.0,1.0,1.0,,3.0,,,,,,
