match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,captain,stat_totalCross,stat_aerialLost,stat_duelLost,stat_challengeLost,stat_totalContest,stat_interceptionWon,stat_unsuccessfulTouch,stat_wasFouled,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,stat_shotOffTarget,stat_blockedScoringAttempt,stat_fouls,stat_keyPass,stat_accurateCross,stat_wonContest,stat_onTargetScoringAttempt,stat_penaltyWon,player_sofascoreId,stat_dispossessed,stat_totalOffside,stat_goals,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_bigChanceCreated,stat_bigChanceMissed,stat_penaltyConceded
11399415,home,PEC Zwolle,Jasper Schendelaar,Jasper,Schendelaar,jasper-schendelaar,J. Schendelaar,G,1,182,179,M,856636,EUR,967852800,G,1,1,False,44.0,25.0,30.0,11.0,18.0,20.0,7.0,24.0,2.0,2.0,1.0,12.0,1.0,1.0,1.0,1.0,1.0,90.0,50.0,7.1,19.0,0.0,0.0,0.00511065,0,0.1325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11399415,home,PEC Zwolle,Bram van Polen,,,bram-van-polen,B. v. Polen,D,,179,52,M,17032,EUR,497836800,D,2,2,False,31.0,22.0,7.0,3.0,14.0,17.0,8.0,17.0,,1.0,1.0,3.0,,,,,,90.0,54.0,6.9,16.0,0.0,0.0,0.0133652,0,,True,3.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
11399415,home,PEC Zwolle,Sam Kersten,,,sam-kersten,S. Kersten,D,4,191,83,M,847072,EUR,886118400,D,4,4,False,38.0,32.0,4.0,1.0,23.0,27.0,9.0,11.0,2.0,5.0,3.0,7.0,,,,,,90.0,47.0,7.3,6.0,0.0,0.0,0.0126726,0,,,,1.0,1.0,,,1.0,,,1.0,3.0,1.0,,,,,,,,,,,,,,,,,
11399415,home,PEC Zwolle,Thomas Lam,,,thomas-lam,T. Lam,D,3,188,86,M,110934,EUR,756172800,D,13,13,False,64.0,50.0,14.0,4.0,37.0,40.0,13.0,24.0,4.0,5.0,5.0,2.0,,,,,,90.0,74.0,7.0,14.0,0.1039,0.0,0.0152353,2,,,,2.0,3.0,,,1.0,,1.0,,,,1.0,1.0,1.0,,,,,,,,,,,,,,
11399415,home,PEC Zwolle,Lennart Czyborra,,,lennart-czyborra,L. Czyborra,M,25,181,99,M,942990,EUR,925689600,D,20,20,False,38.0,26.0,8.0,4.0,13.0,17.0,13.0,23.0,4.0,5.0,1.0,8.0,,,,,,79.0,52.0,6.6,16.0,0.0,0.0,0.0311547,0,,,2.0,1.0,7.0,3.0,,1.0,1.0,,,1.0,,,,4.0,1.0,,,,,,,,,,,,,
11399415,home,PEC Zwolle,Younes Namli,,,younes-namli,Y. Namli,M,9,180,239,M,235538,EUR,772070400,M,7,7,False,33.0,28.0,4.0,4.0,8.0,8.0,21.0,29.0,,2.0,,7.0,,,,,,89.0,52.0,7.1,14.0,0.0421,0.0,0.0630554,2,,,4.0,1.0,2.0,,2.0,2.0,4.0,,,1.0,,1.0,1.0,,1.0,1.0,1.0,,,,,,,,,,,
11399415,home,PEC Zwolle,Zico Buurmeester,Zico Buurmeester,,zico-buurmeester,Z. Buurmeester,M,8,182,150,M,1050828,EUR,1023408000,M,28,28,False,31.0,25.0,4.0,3.0,12.0,13.0,13.0,18.0,1.0,2.0,3.0,5.0,,,,,,90.0,50.0,7.5,9.0,0.0611,0.0792,0.0198145,2,,,,4.0,6.0,,1.0,3.0,2.0,1.0,1.0,,,1.0,,1.0,,,,1.0,1.0,,,,,,,,,
11399415,home,PEC Zwolle,Davy van den Berg,,,davy-van-den-berg,D. v. d. Berg,M,6,185,272,M,1001468,EUR,949622400,M,11,11,False,45.0,34.0,3.0,2.0,18.0,19.0,17.0,27.0,,6.0,2.0,5.0,,,,,,90.0,65.0,7.4,13.0,0.0466,0.0,0.0911511,1,,,1.0,1.0,5.0,1.0,3.0,,2.0,,,3.0,3.0,1.0,,3.0,1.0,1.0,3.0,,,,,,,,,,,
11399415,home,PEC Zwolle,Eliano Reijnders,,,eliano-reijnders,E. Reijnders,D,2,168,8068,M,960112,EUR,972259200,M,23,23,False,18.0,15.0,2.0,1.0,6.0,7.0,9.0,12.0,,3.0,,4.0,,,,,,61.0,34.0,6.2,11.0,0.0,0.0,0.027698,0,,,1.0,2.0,10.0,2.0,4.0,,2.0,2.0,,,,,,2.0,,,1.0,,,eliano.r,1.0,1.0,,,,,,
11399415,home,PEC Zwolle,Lennart Thy,,,lennart-thy,L. Thy,F,9,184,263,M,109126,EUR,698976000,F,9,9,False,11.0,8.0,,,1.0,1.0,7.0,10.0,1.0,1.0,,1.0,,,,,,61.0,18.0,6.5,8.0,0.0,0.0,0.00775684,0,,,,3.0,4.0,1.0,,,4.0,,,,,,,,,,,,,,,,,,,,,
11399415,home,PEC Zwolle,Ferdy Druijf,,,ferdy-druijf,F. Druijf,F,9,190,223,M,893741,EUR,887241600,F,10,10,False,28.0,16.0,2.0,1.0,4.0,6.0,12.0,22.0,3.0,5.0,,3.0,,,,,,90.0,37.0,7.3,15.0,0.8631,0.9951,0.0247114,2,,,,4.0,6.0,,1.0,,3.0,1.0,,,,,1.0,2.0,,,1.0,1.0,,,,,1.0,,,,,
11399415,home,PEC Zwolle,Nico Serrano,,,nico-serrano,N. Serrano,M,22,178,464,M,1019318,EUR,1046822400,F,19,19,True,2.0,2.0,,,1.0,1.0,1.0,2.0,,2.0,,1.0,,,,,,29.0,9.0,6.6,4.0,0.0,0.0,0.00030923,0,,,1.0,,1.0,,1.0,,2.0,,,2.0,2.0,,,,,,,,,,,,,,,,,
11399415,home,PEC Zwolle,Odysseus Velanas,Odysseus,Velanas,odysseus-velanas,O. Velanas,M,18,180,83,M,846003,EUR,897004800,M,18,18,True,8.0,6.0,,,,,6.0,8.0,1.0,2.0,1.0,2.0,,,,,,29.0,13.0,6.6,3.0,0.0,0.0,0.0228496,0,,,,3.0,4.0,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,
11399415,home,PEC Zwolle,Anselmo Garcia McNulty,,,anselmo-garcia-mcnulty,A. G. McNulty,D,4,187,281,M,1005693,EUR,1045612800,D,15,15,True,5.0,2.0,3.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,2.0,,,,,,11.0,7.0,6.5,3.0,0.0,0.0,0.00055416,0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
