match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_errorLeadToAGoal,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_duelLost,stat_challengeLost,stat_totalContest,stat_wonContest,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_outfielderBlock,stat_interceptionWon,stat_dispossessed,stat_onTargetScoringAttempt,stat_shotOffTarget,stat_blockedScoringAttempt,stat_wasFouled,stat_keyPass,stat_bigChanceCreated,stat_bigChanceMissed,captain,stat_hitWoodwork,stat_totalOffside,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_clearanceOffLine,player_sofascoreId,stat_goals,stat_errorLeadToAShot,stat_goalAssist
10382058,home,SC Cambuur,João Virgínia,João,Virgínia,joao-virginia,J. Virgínia,G,12,191,817,M,930666,EUR,939513600,G,1,1,False,53.0,29.0,33.0,9.0,22.0,25.0,7.0,28.0,1.0,1.0,2.0,10.0,1.0,1.0,2.0,2.0,90.0,62.0,6.0,25.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10382058,home,SC Cambuur,Sai Van Wermeskerken,,,wermeskerken-sai-van,S. V. Wermeskerken,D,,178,82,M,795221,EUR,772761600,D,24,24,False,28.0,21.0,5.0,3.0,12.0,14.0,10.0,15.0,,13.0,1.0,4.0,,,,,90.0,59.0,7.8,15.0,0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,12.0,9.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
10382058,home,SC Cambuur,Marco Tol,,,marco-tol,M. Tol,D,3,188,40,M,860162,EUR,893462400,D,15,15,False,44.0,37.0,8.0,5.0,26.0,29.0,11.0,15.0,,,3.0,1.0,,,,,90.0,52.0,6.7,7.0,0,,,3.0,5.0,1.0,,,,,,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,
10382058,home,SC Cambuur,Floris Smand,Floris Smand,,floris-smand,F. Smand,D,3,185,51,M,1394011,EUR,1043020800,D,33,33,False,43.0,39.0,4.0,1.0,35.0,36.0,4.0,7.0,,1.0,7.0,5.0,,,,,90.0,59.0,7.3,4.0,0,,,1.0,1.0,,,,1.0,,,,3.0,2.0,,,,,,,,,,,,,,,,,,,
10382058,home,SC Cambuur,Alex Bangura,,,alex-bangura,A. Bangura,D,24,183,149,M,967178,EUR,931824000,D,16,16,False,25.0,18.0,6.0,5.0,14.0,17.0,4.0,9.0,1.0,1.0,4.0,4.0,,,,,90.0,40.0,6.8,11.0,1,1.0,,,1.0,,,,,,1.0,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,
10382058,home,SC Cambuur,Jamie Jacobs,,,jamie-jacobs,J. Jacobs,M,23,182,92,M,893744,EUR,881107200,M,8,8,False,18.0,12.0,1.0,,7.0,9.0,6.0,10.0,1.0,6.0,,7.0,,,,,55.0,30.0,6.2,9.0,2,1.0,1.0,,4.0,2.0,,,3.0,1.0,3.0,2.0,,,,,1.0,1.0,2.0,2.0,,,,,,,,,,,,,
10382058,home,SC Cambuur,Mees Hoedemakers,,,mees-hoedemakers,M. Hoedemakers,M,4,181,102,M,893748,EUR,887760000,M,6,6,False,26.0,21.0,6.0,5.0,11.0,12.0,11.0,19.0,,1.0,4.0,1.0,,,,,90.0,45.0,7.6,11.0,2,5.0,1.0,,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,,2.0,,,,1.0,1.0,,,,,,,,,,,,
10382058,home,SC Cambuur,Mitchell Paulissen,,,mitchell-paulissen,M. Paulissen,M,6,183,32,M,192290,EUR,735350400,M,10,10,False,14.0,10.0,3.0,2.0,7.0,7.0,3.0,8.0,2.0,5.0,3.0,2.0,,,,,78.0,27.0,6.7,8.0,1,1.0,,2.0,4.0,,2.0,1.0,2.0,2.0,2.0,1.0,,1.0,,1.0,,,,1.0,,1.0,,,,,,,,,,,
10382058,home,SC Cambuur,David Sambissa,,,david-sambissa,D. Sambissa,M,7,177,220,M,280459,EUR,821318400,F,18,18,False,12.0,5.0,2.0,,2.0,5.0,3.0,8.0,,3.0,,2.0,,,,,58.0,24.0,6.4,13.0,0,1.0,,3.0,7.0,1.0,2.0,,2.0,2.0,2.0,1.0,,2.0,1.0,,,,1.0,,,,,,,,,,,,,,
10382058,home,SC Cambuur,Roberts Uldriķis,,,roberts-uldrikis,R. Uldriķis,F,28,198,415,M,883327,EUR,891561600,F,28,28,False,14.0,10.0,,,4.0,5.0,6.0,9.0,3.0,4.0,1.0,4.0,,,,,78.0,25.0,6.7,7.0,2,,,5.0,6.0,,,,,,2.0,,,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,True,1.0,1.0,,,,,,,,
