match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_errorLeadToAGoal,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_dispossessed,stat_bigChanceCreated,stat_bigChanceMissed,stat_shotOffTarget,stat_blockedScoringAttempt,stat_interceptionWon,stat_unsuccessfulTouch,stat_fouls,stat_totalOffside,stat_expectedGoals,stat_keyPass,stat_aerialLost,stat_challengeLost,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,stat_totalContest,stat_wonContest,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_wasFouled,captain,player_sofascoreId,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_punches,stat_goalAssist,stat_goals
11369476,home,Rayo Vallecano,Stole Dimitrievski,,,stole-dimitrievski,S. Dimitrievski,G,1,188,843,M,97951,EUR,756777600,G,1,1,False,25.0,13.0,18.0,7.0,7.0,12.0,6.0,13.0,1.0,8.0,1.0,3.0,1.0,1.0,90.0,36.0,6.0,12.0,0.00277453,0,-0.6991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11369476,home,Rayo Vallecano,Iván Balliu,,,ivan-balliu,I. Balliu,D,20,175,688,M,152446,EUR,694224000,D,20,20,False,20.0,16.0,2.0,2.0,5.0,6.0,13.0,18.0,1.0,1.0,,,,,82.0,40.0,6.8,11.0,0.386106,2,,4.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,0.141,2.0,,,,,,,,,,,,,,,,,
11369476,home,Rayo Vallecano,Aridane Hernández,,,aridane-hernandez,A. Hernández,D,15,186,254,M,41013,EUR,606614400,D,5,5,False,36.0,29.0,3.0,,23.0,26.0,6.0,10.0,,8.0,,,,,90.0,42.0,6.5,8.0,0.00198974,0,,,,1.0,4.0,2.0,,,,,,1.0,1.0,1.0,,,,2.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,
11369476,home,Rayo Vallecano,Florian Lejeune,,,florian-lejeune,F. Lejeune,D,24,190,1047,M,88528,EUR,674697600,D,24,24,False,42.0,31.0,7.0,2.0,21.0,22.0,10.0,21.0,4.0,7.0,,,,,90.0,54.0,6.5,14.0,0.00433045,2,,1.0,,,4.0,1.0,1.0,,,1.0,,1.0,1.0,3.0,,0.0495,,,,,,,1.0,1.0,1.0,0.0227,,,,,,,,
11369476,home,Rayo Vallecano,Alfonso Espino,,,alfonso-espino,A. Espino,D,22,172,656,M,542634,EUR,694569600,D,12,12,False,38.0,28.0,3.0,,10.0,14.0,19.0,26.0,,8.0,,,,,82.0,74.0,7.6,17.0,0.408827,1,,2.0,1.0,1.0,4.0,8.0,,2.0,1.0,1.0,,3.0,1.0,,,0.3503,3.0,,1.0,,3.0,3.0,5.0,2.0,,,2.0,,,,,,,
11369476,home,Rayo Vallecano,Isi Palazón,,,isi-palazon,I. Palazón,M,7,169,2151,M,899982,EUR,788486400,M,7,7,False,23.0,18.0,3.0,3.0,3.0,4.0,15.0,23.0,,4.0,,,,,66.0,40.0,6.2,18.0,0.0368834,1,,4.0,,,11.0,,2.0,,,,1.0,,4.0,2.0,1.0,0.0799,1.0,3.0,1.0,,,,3.0,,,,,,,,,,,
11369476,home,Rayo Vallecano,Unai López,,,unai-lopez,U. López,M,17,169,518,M,588566,EUR,815011200,M,17,17,False,47.0,42.0,6.0,5.0,17.0,17.0,26.0,36.0,1.0,9.0,,,,,90.0,70.0,6.9,15.0,0.111205,3,,6.0,1.0,,5.0,3.0,1.0,,,3.0,,,,1.0,,0.0637,1.0,,1.0,,3.0,,2.0,,,,,,,,,,,
11369476,home,Rayo Vallecano,Óscar Valentín,,,oscar-valentin,Ó. Valentín,M,23,177,443,M,900008,EUR,777340800,M,23,23,False,40.0,36.0,1.0,1.0,14.0,14.0,22.0,27.0,3.0,5.0,,,,,90.0,63.0,7.1,11.0,0.0121146,1,,1.0,,1.0,9.0,6.0,,,,1.0,,3.0,3.0,4.0,,0.0638,,3.0,1.0,,3.0,2.0,1.0,,,,2.0,True,,,,,,
11369476,home,Rayo Vallecano,Álvaro García,,,alvaro-garcia,Á. García,M,18,168,1132,M,345111,EUR,720144000,M,18,18,False,27.0,16.0,1.0,,4.0,4.0,14.0,32.0,,4.0,,,,,81.0,53.0,6.7,24.0,0.148431,3,,9.0,2.0,,7.0,2.0,,1.0,1.0,2.0,,1.0,3.0,3.0,4.0,0.5643,1.0,1.0,,,1.0,1.0,4.0,1.0,1.0,0.5581,,,,,,,,
11369476,home,Rayo Vallecano,Sergio Camello,,,sergio-camello,S. Camello,F,10,177,1019,M,910024,EUR,981763200,F,34,34,False,12.0,8.0,,,2.0,2.0,6.0,10.0,1.0,1.0,,,,,66.0,21.0,6.7,9.0,0.059879,2,,,,1.0,2.0,1.0,,,,1.0,1.0,,2.0,1.0,,0.0832,1.0,,,,,,1.0,,,,,,,,,,,
11369476,home,Rayo Vallecano,Óscar Trejo,,,oscar-trejo,Ó. Trejo,M,8,177,550,M,21949,EUR,578016000,F,8,8,False,34.0,30.0,1.0,1.0,5.0,6.0,25.0,28.0,,4.0,,,,,75.0,62.0,6.8,20.0,0.131335,0,,,,,10.0,9.0,3.0,,,,,,6.0,1.0,,,,,,,3.0,1.0,10.0,4.0,,,2.0,,,,,,,
