match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_height,player_userCount,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,player_jerseyNumber,player_gender,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_aerialWon,stat_bigChanceMissed,stat_shotOffTarget,stat_outfielderBlock,stat_keyPass,captain,stat_dispossessed,stat_onTargetScoringAttempt,stat_wasFouled,stat_wonContest,player_sofascoreId,stat_bigChanceCreated,stat_blockedScoringAttempt,stat_goalAssist,stat_penaltyWon,stat_goals,stat_totalOffside,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_penaltyConceded
10381990,home,SC Heerenveen,Xavier Mous,,,xavier-mous,X. Mous,G,188,36,352328,EUR,807494400,G,1,1,False,23.0,8.0,18.0,3.0,5.0,8.0,3.0,15.0,6.0,2.0,90.0,29.0,5.8,15.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10381990,home,SC Heerenveen,Milan van Ewijk,,,milan-van-ewijk,M. v. Ewijk,D,175,699,948723,EUR,968371200,D,27,27,False,29.0,19.0,8.0,3.0,11.0,15.0,9.0,16.0,5.0,,90.0,49.0,5.9,16.0,0,27,M,2.0,1.0,1.0,6.0,2.0,2.0,2.0,1.0,3.0,2.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
10381990,home,SC Heerenveen,Syb van Ottele,,,syb-van-ottele,S. v. Ottele,D,185,91,961686,EUR,1012608000,D,6,6,False,61.0,52.0,10.0,7.0,30.0,31.0,23.0,31.0,11.0,,90.0,72.0,6.7,9.0,1,6,M,1.0,1.0,,2.0,4.0,2.0,,1.0,1.0,3.0,2.0,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,
10381990,home,SC Heerenveen,Paweł Bochniewicz,,,pawel-bochniewicz,P. Bochniewicz,D,194,794,286097,EUR,822960000,D,5,5,False,54.0,37.0,9.0,2.0,18.0,24.0,19.0,30.0,8.0,,90.0,78.0,7.5,19.0,1,4,M,,,1.0,4.0,12.0,,1.0,8.0,,4.0,4.0,,1.0,7.0,,,5.0,,True,1.0,1.0,1.0,,,,,,,,,,,,,,
10381990,home,SC Heerenveen,Mats Köhlert,,,mats-kohlert,M. Köhlert,D,168,173,794998,EUR,894067200,D,7,7,False,51.0,47.0,3.0,1.0,17.0,18.0,30.0,36.0,6.0,,89.0,66.0,5.9,9.0,0,27,M,3.0,,,5.0,2.0,3.0,2.0,1.0,2.0,,,1.0,1.0,1.0,,,,,,,,,1.0,,,,,,,,,,,,,
10381990,home,SC Heerenveen,Thom Haye,,,thom-haye,T. Haye,M,187,10984,149666,EUR,792288000,M,33,33,False,62.0,52.0,10.0,4.0,23.0,24.0,32.0,48.0,11.0,,90.0,90.0,7.3,22.0,1,33,M,10.0,3.0,1.0,5.0,6.0,1.0,4.0,2.0,2.0,3.0,3.0,,,2.0,,,1.0,2.0,,,,,1.0,thomhaye,1.0,1.0,,,,,,,,,,
10381990,home,SC Heerenveen,Anas Tahiri,,,anas-tahiri,A. Tahiri,M,179,260,544156,EUR,800496000,M,26,26,False,75.0,67.0,1.0,,28.0,32.0,39.0,44.0,7.0,,90.0,93.0,6.5,13.0,1,19,M,1.0,,,4.0,4.0,1.0,3.0,1.0,2.0,2.0,1.0,1.0,,,,,,,,1.0,,1.0,1.0,,,1.0,,,,,,,,,,
10381990,home,SC Heerenveen,Simon Olsson,,,simon-olsson,S. Olsson,M,185,159,850851,EUR,874195200,M,19,19,False,28.0,22.0,,,6.0,9.0,16.0,19.0,5.0,,79.0,41.0,7.3,9.0,0,10,M,,,,5.0,7.0,1.0,2.0,,,5.0,3.0,,1.0,,,,,3.0,,1.0,,2.0,,,1.0,,1.0,,,,,,,,,
10381990,home,SC Heerenveen,Pelle van Amersfoort,,,pelle-van-amersfoort,P. v. Amersfoort,F,193,129,318585,EUR,828316800,M,11,11,False,28.0,23.0,1.0,1.0,11.0,12.0,12.0,16.0,3.0,,86.0,39.0,6.9,7.0,2,9,M,,,4.0,7.0,6.0,,3.0,,,1.0,,,1.0,1.0,1.0,,,2.0,,,1.0,3.0,1.0,,,1.0,,1.0,,,,,,,,
10381990,home,SC Heerenveen,Osame Sahraoui,,,osame-sahraoui,O. Sahraoui,M,170,7357,965357,EUR,992217600,M,20,20,False,34.0,31.0,,,5.0,5.0,27.0,37.0,4.0,,89.0,63.0,6.6,19.0,4,11,M,8.0,1.0,,6.0,7.0,1.0,8.0,,,,,3.0,,,,2.0,,3.0,,1.0,,3.0,4.0,osamesahraoui,,2.0,,,,,,,,,,
