match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_keyPass,stat_onTargetScoringAttempt,stat_wasFouled,stat_expectedGoals,stat_expectedGoalsOnTarget,captain,stat_dispossessed,stat_wonContest,stat_blockedScoringAttempt,player_sofascoreId,stat_bigChanceCreated,stat_bigChanceMissed,stat_shotOffTarget,stat_goals,stat_hitWoodwork,stat_lastManTackle,stat_totalOffside,stat_outfielderBlock,stat_errorLeadToAShot,stat_errorLeadToAGoal
12448220,home,FC Utrecht,Vasilis Barkas,,,vasilis-barkas,V. Barkas,G,1,196,390,M,347726,EUR,770256000,G,1,1,False,29.0,20.0,18.0,9.0,0.0,15.0,17.0,5.0,12.0,6.0,1.0,2.0,3.0,90.0,35.0,7.6,9.0,0.00090084,0,0.6159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12448220,home,FC Utrecht,Siebe Horemans,,,siebe-horemans,S. Horemans,D,2,186,201,M,794990,EUR,896745600,D,2,2,False,47.0,33.0,8.0,4.0,0.0,13.0,16.0,22.0,39.0,4.0,,,,90.0,80.0,7.4,30.0,0.25974,0,,8.0,2.0,3.0,4.0,7.0,6.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,4.0,,,,,,,,,,,,,,,,,,,
12448220,home,FC Utrecht,Mike van der Hoorn,,,mike-van-der-hoorn,M. v. d. Hoorn,D,3,190,158,M,152414,EUR,719107200,D,3,3,False,55.0,43.0,8.0,1.0,0.0,27.0,29.0,16.0,26.0,5.0,,,,90.0,66.0,7.5,12.0,0.211101,1,,,,6.0,6.0,8.0,10.0,,,4.0,,2.0,,,2.0,1.0,1.0,2.0,0.1999,0.3154,,,,,,,,,,,,,,,
12448220,home,FC Utrecht,Nick Viergever,,,nick-viergever,N. Viergever,D,24,182,150,M,46900,EUR,618105600,D,24,24,False,67.0,53.0,2.0,,0.0,35.0,40.0,18.0,27.0,3.0,,,,90.0,72.0,7.2,15.0,0.122956,0,,,,1.0,4.0,2.0,4.0,,,2.0,,,,1.0,1.0,,,,,,True,,,,,,,,,,,,,,
12448220,home,FC Utrecht,Souffian El Karouani,,,souffian-el-karouani,S. El Karouani,D,16,178,3591,M,991679,EUR,971913600,D,16,16,False,50.0,46.0,4.0,3.0,0.0,24.0,25.0,26.0,39.0,5.0,,,,90.0,89.0,8.1,20.0,0.387959,2,,14.0,4.0,,1.0,1.0,6.0,,1.0,2.0,1.0,1.0,,2.0,,2.0,,3.0,0.0357,,,1.0,1.0,2.0,,,,,,,,,,,
12448220,home,FC Utrecht,Zidane Iqbal,,,zidane-iqbal,Z. Iqbal,M,14,180,7223,M,1014225,EUR,1051401600,M,14,14,False,73.0,68.0,3.0,2.0,0.0,31.0,31.0,37.0,42.0,7.0,,,,89.0,87.0,7.5,8.0,0.0812991,1,,,,1.0,,5.0,7.0,2.0,3.0,,,1.0,1.0,2.0,1.0,1.0,,3.0,0.017,,,1.0,3.0,1.0,zidaneiqbal,1.0,,,,,,,,,
12448220,home,FC Utrecht,Jens Toornstra,,,jens-toornstra,J. Toornstra,M,18,178,203,M,99960,EUR,607651200,M,18,18,False,19.0,8.0,1.0,,0.0,3.0,4.0,7.0,18.0,2.0,,,,58.0,37.0,6.8,15.0,0.243398,2,,3.0,2.0,,,4.0,3.0,1.0,,1.0,1.0,3.0,,3.0,3.0,1.0,1.0,,0.6324,0.9839,,,,,,,1.0,1.0,,,,,,,
12448220,home,FC Utrecht,Oscar Fraulo,,,oscar-fraulo,O. Fraulo,M,29,180,841,M,1008245,EUR,1070668800,M,6,6,False,43.0,37.0,2.0,2.0,0.0,12.0,12.0,26.0,32.0,5.0,,,,90.0,63.0,8.6,9.0,0.758489,4,,1.0,1.0,3.0,3.0,7.0,7.0,1.0,1.0,1.0,,,,,,2.0,2.0,3.0,1.0725,1.5951,,3.0,1.0,1.0,,2.0,,1.0,1.0,,,,,,
12448220,home,FC Utrecht,Paxten Aaronson,Paxten Aaronson,,paxten-aaronson,P. Aaronson,M,31,175,898,M,1035515,EUR,1061856000,M,21,21,False,31.0,28.0,,,0.0,7.0,8.0,21.0,26.0,4.0,,,,77.0,48.0,7.0,9.0,0.0899963,2,,3.0,,1.0,,5.0,4.0,2.0,,,1.0,2.0,1.0,1.0,,,,2.0,0.1043,,,2.0,,1.0,,,,1.0,,,,,,,
12448220,home,FC Utrecht,David Min,,,david-min,D. Min,F,9,194,359,M,966429,EUR,930096000,F,9,9,False,24.0,18.0,1.0,,0.0,4.0,5.0,14.0,20.0,3.0,,,,89.0,43.0,6.2,15.0,0.0832387,1,,1.0,,4.0,3.0,11.0,6.0,1.0,5.0,1.0,,1.0,1.0,3.0,1.0,1.0,,2.0,0.0402,,,1.0,1.0,1.0,,,1.0,,,,,,,,
12448220,home,FC Utrecht,Sébastien Haller,,,sebastien-haller,S. Haller,F,91,190,47139,M,149731,EUR,772243200,F,91,91,False,34.0,22.0,2.0,2.0,0.0,4.0,6.0,18.0,28.0,,,,,90.0,57.0,7.3,17.0,0.0829506,5,,,,9.0,8.0,16.0,14.0,4.0,,1.0,,3.0,1.0,3.0,1.0,1.0,1.0,3.0,0.5715,0.3623,,2.0,,1.0,SebHaller,,2.0,3.0,,1.0,,,,,
12448220,home,FC Utrecht,Miliano Jonathans,,,jonathans-miliano,M. Jonathans,M,26,178,5668,M,1211982,EUR,1081123200,M,26,26,True,11.0,9.0,,,0.0,2.0,2.0,7.0,9.0,1.0,,,,32.0,15.0,7.0,2.0,0.00322682,0,,,,1.0,1.0,2.0,3.0,,,,,1.0,,,1.0,,,1.0,,,,,,,,,,,,,1.0,1.0,,,
