match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_fouls,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,player_firstName,player_lastName,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_dispossessed,stat_totalClearance,stat_ballRecovery,stat_unsuccessfulTouch,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_errorLeadToAGoal,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_wasFouled,stat_challengeLost,stat_penaltyConceded,captain,stat_totalOffside,stat_blockedScoringAttempt,stat_onTargetScoringAttempt,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_accurateCross,stat_keyPass,player_sofascoreId,stat_bigChanceMissed,stat_bigChanceCreated,stat_goals,stat_penaltyWon
11453228,home,Damac FC,Moustapha Zeghba,moustapha-zeghba,M. Zeghba,G,1,190.0,852,M,888378,EUR,659145600,G,30,30,False,9.0,7.0,7.0,5.0,6.0,6.0,1.0,3.0,1.0,1.0,1.0,23.0,9.0,4.1,2.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11453228,home,Damac FC,Alhwsawi Sanousi Mohammed,alhwsawi-sanousi-mohammed,A. S. Mohammed,D,12,172.0,20,M,1085415,EUR,902707200,D,21,21,False,26.0,22.0,1.0,1.0,17.0,19.0,5.0,8.0,1.0,,,74.0,36.0,6.2,7.0,0,Alhwsawi Sanousi Mohammed,,1.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
11453228,home,Damac FC,Noor Al-Rashidi,noor-al-rashidi,N. Al-Rashidi,D,4,179.0,18,M,1065328,EUR,794966400,D,4,4,False,46.0,44.0,5.0,4.0,39.0,40.0,5.0,6.0,,,,90.0,59.0,6.3,4.0,0,Noor Al-Rashidi,,,,,,1.0,,8.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
11453228,home,Damac FC,Abdelkader Bedrane,abdelkader-bedrane,A. Bedrane,D,3,185.0,1163,M,906407,EUR,702172800,D,3,3,False,45.0,35.0,18.0,12.0,24.0,27.0,11.0,18.0,,,,90.0,58.0,6.9,12.0,1,,,,,,2.0,3.0,,5.0,3.0,,,1.0,1.0,1.0,,3.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,
11453228,home,Damac FC,Dhari Al-Enezi,dhari-al-enezi,D. Al-Enezi,D,20,170.0,42,M,1214301,EUR,957571200,D,20,20,False,30.0,25.0,1.0,,14.0,15.0,11.0,18.0,1.0,,,90.0,46.0,6.4,9.0,0,Dhari Al-Enezi,,3.0,,,2.0,6.0,,,2.0,1.0,,1.0,2.0,1.0,,2.0,2.0,,2.0,1.0,1.0,,,,,,,,,,,,,,
11453228,home,Damac FC,Tarek Hamed,hamed-tarek,T. Hamed,M,8,165.0,561,M,560168,EUR,593654400,M,8,8,False,58.0,52.0,10.0,5.0,37.0,37.0,15.0,21.0,3.0,,,90.0,63.0,6.5,8.0,0,,,,,,3.0,2.0,,,3.0,1.0,,,,,,,,,2.0,,,,,,,,,,,,,,,,
11453228,home,Damac FC,Domagoj Antolić,domagoj-antolic,D. Antolić,M,8,180.0,103,M,67645,EUR,646704000,M,17,17,False,40.0,38.0,3.0,3.0,30.0,30.0,8.0,10.0,3.0,,,74.0,45.0,6.7,3.0,0,,,,,,3.0,2.0,,,7.0,,,1.0,1.0,1.0,,1.0,1.0,,,,,True,1.0,,,,,,,,,,,,
11453228,home,Damac FC,Abdulaziz Al-Bishi,abdulaziz-al-bishi,A. Al-Bishi,M,22,172.0,241,M,791417,EUR,763344000,M,11,11,False,26.0,17.0,4.0,2.0,7.0,10.0,10.0,17.0,2.0,,,68.0,46.0,6.9,16.0,0,,,1.0,,,7.0,11.0,2.0,,6.0,3.0,,1.0,3.0,2.0,,3.0,3.0,,5.0,3.0,,,,,,,,,,,,,,,
11453228,home,Damac FC,Nicolae Stanciu,nicolae-stanciu,N. Stanciu,M,8,171.0,4005,M,108673,EUR,736732800,M,31,31,False,33.0,26.0,4.0,,19.0,20.0,7.0,16.0,,,,68.0,40.0,6.3,12.0,1,,,3.0,,,1.0,,,,2.0,1.0,1.0,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,
11453228,home,Damac FC,Georges-Kévin N'Koudou,georges-kevin-nkoudou,G. N'Koudou,M,11,172.0,2369,M,342909,EUR,792633600,M,10,10,False,29.0,23.0,7.0,5.0,9.0,10.0,14.0,20.0,,,,90.0,48.0,7.3,11.0,2,,,1.0,,,,8.0,,,3.0,3.0,,,,,,3.0,3.0,1.0,5.0,,,,,,1.0,,,,,,,,,,
11453228,home,Damac FC,Abdulaziz Al-Shahrani,abdulaziz-al-shahrani,A. Al-Shahrani,F,80,173.0,20,M,975862,EUR,783388800,F,14,14,False,3.0,3.0,,,1.0,1.0,2.0,2.0,,,,26.0,7.0,6.5,2.0,0,,,,,,1.0,,,,1.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,
11453228,home,Damac FC,Abdulbasit Hawsawi,abdulbasit-hawsawi,A. Hawsawi,G,22,186.0,17,M,948594,EUR,851126400,G,22,22,True,17.0,16.0,4.0,3.0,13.0,13.0,3.0,4.0,,1.0,1.0,64.0,23.0,7.1,2.0,0,,,,,,,1.0,,1.0,6.0,1.0,,,1.0,1.0,,,,,,,,,,,,2.0,1.0,2.0,,,,,,,
