match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_totalCross,stat_accurateCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalContest,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,captain,stat_challengeLost,stat_wonContest,stat_errorLeadToAShot,stat_aerialLost,stat_shotOffTarget,stat_hitWoodwork,stat_outfielderBlock,stat_expectedGoals,stat_keyPass,stat_dispossessed,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_blockedScoringAttempt,stat_totalOffside,player_sofascoreId,stat_goals,stat_punches,stat_bigChanceMissed,stat_bigChanceCreated
12437752,home,Getafe,David Soria,david-soria,D. Soria,G,13,192,676,M,604258,EUR,733881600,G,13,13,False,23.0,10.0,20.0,7.0,0.0,4.0,5.0,6.0,18.0,14.0,1.0,1.0,1.0,1.0,1.0,90.0,28.0,7.1,13.0,0.0035652,0,0.0456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12437752,home,Getafe,Juan Iglesias,juan-iglesias,J. Iglesias,D,21,185,520,M,949707,EUR,899424000,D,21,21,False,29.0,19.0,8.0,2.0,0.0,9.0,10.0,11.0,21.0,4.0,,,,,,90.0,60.0,7.1,15.0,0.015016,0,,,,2.0,1.0,2.0,2.0,7.0,1.0,6.0,3.0,3.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,
12437752,home,Getafe,Djené,djene,Djené,D,2,178,2527,M,307702,EUR,694137600,D,2,2,False,31.0,28.0,7.0,6.0,0.0,14.0,14.0,14.0,17.0,2.0,,,,,,90.0,38.0,6.9,3.0,0.0192754,0,,,,,,2.0,2.0,3.0,1.0,4.0,1.0,,,,,1.0,True,1.0,1.0,1.0,,,,,,,,,,,,,,,,
12437752,home,Getafe,Omar Alderete,omar-alderete,O. Alderete,D,15,187,5163,M,805137,EUR,851558400,D,15,15,False,37.0,25.0,14.0,5.0,0.0,14.0,17.0,11.0,20.0,6.0,,,,,,90.0,47.0,7.3,12.0,0.00785312,1,,,,,,2.0,2.0,3.0,,3.0,2.0,,,,1.0,1.0,,,,,1.0,1.0,1.0,2.0,0.0225,1.0,,,,,,,,,,
12437752,home,Getafe,Diego Rico,diego-rico,D. Rico,D,16,181,662,M,350560,EUR,730425600,D,16,16,False,26.0,18.0,3.0,1.0,0.0,8.0,10.0,10.0,20.0,3.0,,,,,,90.0,58.0,7.2,19.0,0.0101905,0,,,,4.0,,,2.0,,,2.0,4.0,,,1.0,,1.0,,1.0,,,,,,1.0,,,,,,,,,,,,
12437752,home,Getafe,Allan Nyom,allan-nyom,A. Nyom,D,12,190,777,M,128637,EUR,579225600,M,12,12,False,16.0,12.0,2.0,,0.0,4.0,5.0,8.0,11.0,4.0,,,,,,90.0,29.0,6.6,10.0,0.00426237,1,,,,,,,5.0,2.0,,1.0,,2.0,1.0,4.0,,4.0,,,,,,,,,0.0396,,1.0,1.0,0.0305,,,,,,,
12437752,home,Getafe,Mauro Arambarri,mauro-arambarri,M. Arambarri,M,8,175,1414,M,385888,EUR,812419200,M,8,8,False,35.0,31.0,4.0,2.0,0.0,13.0,14.0,18.0,22.0,6.0,,,,,,90.0,55.0,7.1,11.0,0.0156546,3,,,,1.0,,1.0,4.0,5.0,2.0,1.0,1.0,1.0,,3.0,1.0,1.0,,,2.0,,1.0,1.0,,,0.0582,2.0,2.0,1.0,0.2235,1.0,,,,,,
12437752,home,Getafe,Luis Milla,luis-milla,L. Milla,M,5,175,1429,M,811629,EUR,781488000,M,5,5,False,41.0,37.0,4.0,3.0,1.0,22.0,22.0,17.0,25.0,8.0,,,,,,90.0,60.0,7.1,12.0,0.0658044,1,,,,6.0,2.0,,5.0,5.0,2.0,1.0,,2.0,1.0,2.0,2.0,2.0,,,1.0,,1.0,1.0,,,0.0091,2.0,1.0,,,,,,,,,
12437752,home,Getafe,Coba da Costa,da-costa-coba-gomes,C. d. Costa,M,77,182,408,M,1392054,EUR,1027641600,M,29,29,False,15.0,9.0,1.0,,0.0,4.0,4.0,6.0,14.0,3.0,,,,,,75.0,42.0,7.4,14.0,0.0386856,5,,,,3.0,1.0,,6.0,6.0,2.0,,1.0,3.0,3.0,2.0,3.0,1.0,,2.0,,,,2.0,,,0.1458,1.0,1.0,2.0,0.2526,1.0,,,,,,
12437752,home,Getafe,Christantus Uche,christantus-uche,C. Uche,F,12,190,4381,M,1884145,EUR,1053302400,F,6,6,False,24.0,16.0,,,0.0,4.0,5.0,12.0,19.0,4.0,,,,,,82.0,43.0,6.9,17.0,0.0269268,2,,Christantus Uche,,,,4.0,10.0,9.0,3.0,,,1.0,1.0,3.0,2.0,,,,2.0,,6.0,1.0,,,0.0634,2.0,3.0,1.0,0.0685,,1.0,,,,,
