match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_interceptionWon,stat_ballRecovery,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalContest,stat_wonContest,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_fouls,stat_outfielderBlock,captain,stat_challengeLost,stat_dispossessed,stat_unsuccessfulTouch,stat_goalAssist,stat_totalCross,stat_accurateCross,stat_bigChanceCreated,stat_shotOffTarget,stat_totalOffside,stat_keyPass,player_firstName,player_lastName,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,player_sofascoreId,stat_goals,stat_hitWoodwork,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves
10388270,home,SV Werder Bremen,Jiří Pavlenka,jiri-pavlenka,J. Pavlenka,G,1,196,521,M,154040,EUR,703209600,G,1,1,False,30.0,22.0,14.0,6.0,16.0,16.0,6.0,14.0,1.0,1.0,9.0,1.0,90.0,37.0,6.1,8.0,0.0,0.0,0.0030735,0,-0.9809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10388270,home,SV Werder Bremen,Niklas Stark,niklas-stark,N. Stark,D,4,190,247,M,229544,EUR,797817600,D,4,4,False,64.0,51.0,11.0,4.0,34.0,37.0,17.0,27.0,5.0,,4.0,,75.0,74.0,6.6,13.0,0.0,0.0,0.0141226,0,,1.0,1.0,3.0,6.0,1.0,1.0,1.0,1.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
10388270,home,SV Werder Bremen,Miloš Veljković,milos-veljkovic,M. Veljković,D,13,188,1253,M,227224,EUR,812073600,D,13,13,False,60.0,54.0,8.0,5.0,36.0,38.0,18.0,22.0,10.0,1.0,3.0,,90.0,77.0,7.2,6.0,0.0,0.0,0.015143,0,,1.0,3.0,1.0,3.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,
10388270,home,SV Werder Bremen,Marco Friedl,marco-friedl,M. Friedl,D,32,187,536,M,825771,EUR,890006400,D,32,32,False,70.0,55.0,14.0,10.0,38.0,44.0,17.0,26.0,2.0,1.0,11.0,,90.0,92.0,7.3,17.0,0.0,0.0,0.0699681,0,,1.0,3.0,4.0,8.0,1.0,1.0,4.0,3.0,,1.0,1.0,True,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,
10388270,home,SV Werder Bremen,Mitchell Weiser,mitchell-weiser,M. Weiser,M,8,176,1411,M,138150,EUR,766886400,M,8,8,False,47.0,37.0,4.0,2.0,13.0,17.0,27.0,36.0,,,7.0,,90.0,75.0,7.7,19.0,0.0532,0.0,0.925103,1,,,,5.0,10.0,6.0,4.0,3.0,2.0,3.0,1.0,,,,2.0,2.0,1.0,6.0,3.0,1.0,1.0,1.0,4.0,,,,,,,,,,,
10388270,home,SV Werder Bremen,Christian Groß,christian-gross,C. Groß,D,,182,27,M,40323,EUR,602899200,M,36,36,False,44.0,33.0,2.0,2.0,19.0,21.0,14.0,23.0,2.0,1.0,4.0,,75.0,56.0,6.7,12.0,0.0,0.0,0.0184768,0,,,1.0,3.0,4.0,1.0,1.0,1.0,,1.0,4.0,,,,,1.0,,,,,,1.0,,,,,,,,,,,,
10388270,home,SV Werder Bremen,Niklas Schmidt,niklas-schmidt,N. Schmidt,M,31,183,151,M,795002,EUR,888710400,M,22,22,False,26.0,22.0,3.0,3.0,13.0,14.0,9.0,12.0,1.0,1.0,8.0,,60.0,37.0,6.8,5.0,0.098,0.0,0.0252181,2,,,1.0,2.0,2.0,2.0,1.0,,,,1.0,,,,,,,,,,2.0,,,,,,,,,,,,,
10388270,home,SV Werder Bremen,Anthony Jung,anthony-jung,A. Jung,D,5,186,138,M,103442,EUR,689126400,M,3,3,False,40.0,29.0,4.0,1.0,17.0,20.0,12.0,23.0,,2.0,7.0,,89.0,65.0,6.7,17.0,0.0,0.0,0.0331559,0,,2.0,6.0,5.0,11.0,1.0,1.0,2.0,1.0,2.0,,,,1.0,2.0,,,3.0,,,,,,,,,,,,,,,,
10388270,home,SV Werder Bremen,Romano Schmid,romano-schmid,R. Schmid,M,20,168,1020,M,830127,EUR,948931200,F,20,20,False,28.0,22.0,1.0,1.0,5.0,6.0,17.0,23.0,,,4.0,,60.0,43.0,6.9,14.0,0.0,0.0,0.119706,0,,,,3.0,6.0,2.0,1.0,2.0,1.0,3.0,1.0,,,,1.0,3.0,,1.0,,,,,3.0,,,,,,,,,,,
10388270,home,SV Werder Bremen,Marvin Ducksch,marvin-ducksch,M. Ducksch,F,33,187,1088,M,258325,EUR,762998400,F,7,7,False,21.0,13.0,2.0,1.0,4.0,6.0,12.0,21.0,1.0,,2.0,,90.0,40.0,6.8,17.0,0.25,0.6636,0.0465974,3,,3.0,1.0,5.0,1.0,2.0,,,,,,,,,,3.0,,6.0,3.0,,,1.0,,,,1.0,2.0,1.0,,,,,,
