match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_fouls,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_keyPass,stat_aerialLost,stat_outfielderBlock,stat_unsuccessfulTouch,stat_wasFouled,stat_dispossessed,captain,stat_totalCross,stat_bigChanceCreated,stat_goals,stat_totalContest,stat_blockedScoringAttempt,stat_wonContest,stat_goalAssist,stat_accurateCross,stat_bigChanceMissed,stat_goodHighClaim,stat_totalOffside
11369957,home,Cercle Brugge,Warleson,,,warleson,Warleson,G,1,191,144,M,861071,EUR,841449600,G,1,1,False,20.0,10.0,18.0,8.0,4.0,5.0,6.0,15.0,7.0,1.0,1.0,90.0,25.0,6.7,10.0,0.0148161,0,0.014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11369957,home,Cercle Brugge,Edgaras Utkus,,,edgaras-utkus,E. Utkus,D,3,190,321,M,921180,EUR,961632000,D,3,3,False,48.0,25.0,17.0,4.0,12.0,13.0,13.0,35.0,8.0,,,66.0,72.0,6.9,28.0,0.113118,2,,4.0,7.0,9.0,5.0,1.0,1.0,1.0,1.0,5.0,2.0,2.0,0.0468,0.0949,2.0,,,,,,,,,,,,,,,,,
11369957,home,Cercle Brugge,Boris Popović,,,boris-popovic,B. Popović,D,5,189,111,M,902050,EUR,951523200,D,5,5,False,47.0,35.0,7.0,1.0,28.0,31.0,7.0,16.0,9.0,,,90.0,60.0,6.7,13.0,0.0476528,0,,,4.0,3.0,,,,2.0,1.0,1.0,1.0,1.0,,,1.0,3.0,1.0,1.0,2.0,,,,,,,,,,,,,
11369957,home,Cercle Brugge,Jesper Daland,,,jesper-daland,J. Daland,D,2,188,224,M,958915,EUR,947116800,D,4,4,False,52.0,34.0,12.0,5.0,22.0,28.0,12.0,24.0,12.0,,,90.0,75.0,7.4,23.0,0.0176596,0,,2.0,4.0,5.0,,,,2.0,1.0,1.0,1.0,,,,1.0,3.0,3.0,4.0,2.0,1.0,,,,,,,,,,,,
11369957,home,Cercle Brugge,Thibo Somers,,,somers-thibo,T. Somers,F,24,183,225,M,1002804,EUR,921542400,M,34,34,False,30.0,17.0,1.0,,4.0,5.0,13.0,28.0,2.0,,,90.0,65.0,8.2,22.0,0.295541,3,,7.0,11.0,13.0,4.0,2.0,1.0,4.0,2.0,5.0,5.0,,0.1041,0.0616,3.0,5.0,,1.0,1.0,2.0,True,3.0,1.0,1.0,,,,,,,,
11369957,home,Cercle Brugge,Hannes Van Der Bruggen,,,hannes-van-der-bruggen,H. V. D. Bruggen,M,28,180,73,M,94290,EUR,733622400,M,28,28,False,54.0,32.0,14.0,5.0,7.0,8.0,25.0,47.0,8.0,,,90.0,69.0,6.6,29.0,0.474116,1,,4.0,9.0,5.0,3.0,,1.0,,,1.0,,2.0,0.0257,0.1313,1.0,1.0,,2.0,1.0,3.0,,1.0,,,,,,,,,,
11369957,home,Cercle Brugge,Leonardo Lopes,,,leonardo-lopes,L. Lopes,M,22,168,202,M,783478,EUR,912384000,M,22,22,False,43.0,27.0,6.0,3.0,5.0,10.0,22.0,33.0,5.0,,,71.0,59.0,6.9,21.0,0.0337397,1,,6.0,4.0,10.0,1.0,,,,1.0,2.0,1.0,1.0,0.0224,,1.0,,,3.0,2.0,1.0,,,,,1.0,1.0,,,,,,
11369957,home,Cercle Brugge,Flávio Nazinho,,,nazinho-flavio,F. Nazinho,D,20,180,637,M,1006113,EUR,1058659200,M,20,20,False,30.0,20.0,1.0,1.0,8.0,10.0,12.0,26.0,2.0,,,81.0,60.0,6.6,21.0,0.0166312,0,,2.0,4.0,5.0,,,,1.0,,1.0,,,,,1.0,,,,1.0,1.0,,6.0,,,4.0,,1.0,,,,,
11369957,home,Cercle Brugge,Félix Lemaréchal,,,felix-lemarechal,F. Lemaréchal,M,80,181,808,M,1130942,EUR,1060214400,F,6,6,False,54.0,38.0,4.0,2.0,6.0,9.0,34.0,57.0,4.0,,,90.0,90.0,7.7,35.0,0.204259,3,,3.0,8.0,10.0,2.0,,,,1.0,4.0,3.0,1.0,0.1026,,4.0,2.0,1.0,6.0,,2.0,,12.0,,,4.0,3.0,3.0,1.0,2.0,,,
11369957,home,Cercle Brugge,Kévin Denkey,,,kevin-denkey,K. Denkey,F,9,181,3511,M,862470,EUR,975542400,F,9,9,False,27.0,21.0,,,4.0,4.0,17.0,23.0,3.0,,,90.0,44.0,7.2,13.0,0.0631546,4,,6.0,11.0,8.0,,1.0,2.0,,,,,,0.4899,0.9998,,6.0,,2.0,1.0,3.0,,,,,3.0,1.0,1.0,,,1.0,,
11369957,home,Cercle Brugge,Alan Minda,,,minda-alan,A. Minda,F,27,171,2590,M,1122552,EUR,1052870400,F,11,11,False,15.0,9.0,,,1.0,1.0,8.0,14.0,3.0,,,81.0,28.0,6.5,15.0,0.0104457,2,,3.0,7.0,3.0,,,1.0,,,,,1.0,0.0982,0.0854,,5.0,,6.0,,1.0,,,,,1.0,1.0,,,,,,
11369957,home,Cercle Brugge,Kazeem Olaigbe,,,kazeem-olaigbe,K. Olaigbe,F,70,178,763,M,1004346,EUR,1041465600,F,19,19,True,7.0,6.0,1.0,1.0,,,6.0,7.0,1.0,,,24.0,12.0,6.9,2.0,0.0785049,0,,,,4.0,,,,,,1.0,1.0,,,,,,,1.0,2.0,,,,,,1.0,,1.0,,,,,
11369957,home,Cercle Brugge,Malamine Efekele,,,efekele-malamine,M. Efekele,M,21,180,214,M,1385508,EUR,1090195200,F,7,7,True,4.0,4.0,,,,,4.0,4.0,1.0,,,19.0,4.0,6.5,,0.00326284,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11369957,home,Cercle Brugge,Jordan Semedo Varela,Jordan,Semedo Varela,jordan-varela,J. Semedo Varela,D,20,175,96,M,1158020,EUR,1042588800,D,77,77,True,10.0,7.0,3.0,1.0,1.0,2.0,6.0,8.0,,,,9.0,13.0,6.5,4.0,0.00746315,0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
