match_id,text,homeScore,awayScore,isLive,time,addedTime,timeSeconds,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,length,id,injury,isHome,incidentClass,player_id,player_name,playerName,reason,rescinded
11406839,FT,2.0,0.0,False,90,999.0,5400.0,1,0.0,2700.0,period,,,,,,,,,,
11406839,,,,,90,0.0,,1,,,injuryTime,4.0,,,,,,,,,
11406839,,,,,88,,,3,,,substitution,,122418060.0,False,True,regular,,,,,
11406839,,,,,88,,,3,,,substitution,,122418054.0,False,True,regular,,,,,
11406839,,2.0,0.0,,81,,,10,,,goal,,178526781.0,,True,regular,38162.0,Duván Zapata,,,
11406839,,,,,79,,,12,,,substitution,,122418038.0,False,False,regular,,,,,
11406839,,,,,79,,,12,,,substitution,,122418039.0,False,False,regular,,,,,
11406839,,,,,78,,,13,,,card,,121146067.0,,False,yellow,1397168.0,Patrick Dorgu,Patrick Dorgu,Foul,False
11406839,,,,,76,,,15,,,substitution,,122418023.0,True,True,injury,,,,,
11406839,,,,,74,,,17,,,substitution,,122418021.0,False,False,regular,,,,,
11406839,,,,,70,,,21,,,card,,121146048.0,,False,yellowRed,847467.0,Marin Pongračić,Marin Pongračić,Foul,False
11406839,,,,,62,,,29,,,substitution,,122417981.0,False,True,regular,,,,,
11406839,,,,,62,,,29,,,substitution,,122417980.0,False,True,regular,,,,,
11406839,,,,,61,,,30,,,substitution,,122417983.0,False,False,regular,,,,,
11406839,,,,,61,,,30,,,substitution,,122417982.0,False,False,regular,,,,,
11406839,,,,,51,,,40,,,card,,121146014.0,,False,yellow,318657.0,Alexis Blin,Alexis Blin,Foul,False
11406839,,1.0,0.0,,50,,,41,,,goal,,178524998.0,,True,regular,826185.0,Raoul Bellanova,,,
11406839,HT,0.0,0.0,False,45,999.0,2700.0,1,0.0,2700.0,period,,,,,,,,,,
11406839,,,,,44,,,2,,,card,,121145986.0,,True,yellow,158235.0,Koffi Djidji,Koffi Djidji,Foul,False
11406839,,,,,41,,,5,,,card,,121145977.0,,False,yellow,847467.0,Marin Pongračić,Marin Pongračić,Foul,False
