match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_topSpeed,stat_kilometersCovered,stat_numberOfSprints,stat_totalBallCarriesDistance,stat_ballCarriesCount,stat_totalProgression,stat_bestBallCarryProgression,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_metersCoveredWalkingKm,stat_metersCoveredJoggingKm,stat_metersCoveredRunningKm,stat_metersCoveredHighSpeedRunningKm,stat_metersCoveredSprintingKm,player_firstName,player_lastName,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_duelLost,stat_challengeLost,stat_totalContest,stat_wonContest,stat_bigChanceCreated,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_keyPass,stat_bigChanceMissed,stat_blockedScoringAttempt,stat_outfielderBlock,stat_expectedGoals,stat_shotValueNormalized,player_sofascoreId,stat_totalOffside,stat_dispossessed,stat_shotOffTarget,stat_fouls,captain,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_penaltyMiss,stat_penaltyWon,stat_goals,stat_penaltySave,stat_penaltyFaced,stat_penaltyConceded,stat_hitWoodwork
14566928,home,AS Monaco,Lukáš Hrádecký,lukas-hradecky,L. Hrádecký,G,1,190.0,2539,M,15219,EUR,627868800,G,1,1,False,23.0,12.0,15.0,4.0,0.0,10.0,13.0,2.0,10.0,1.0,1.0,1.0,7.0,1.0,1.0,2.0,1.0,1.0,1.0,90.0,30.0,6.8,11.0,0.00063245,22.788,4.91509,0.0,20.922781810202,4.0,15.54,6.195,0.0002,0,0.0523,0.03,-0.03,0.21,0.0,3.76,1.09,0.06,0.01,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14566928,home,AS Monaco,Vanderson,vanderson,Vanderson,D,2,173.0,6128,M,1090694,EUR,993081600,D,2,2,False,36.0,24.0,10.0,5.0,0.0,12.0,16.0,12.0,20.0,2.0,8.0,3.0,10.0,,,,,,,90.0,60.0,7.4,18.0,0.115526,32.04,10.54269,18.0,52.514645036948,5.0,43.89,33.705,,0,,0.29,0.19,-0.06,,3.04,4.82,1.55,0.75,0.38,Vanderson,,2.0,1.0,3.0,5.0,2.0,2.0,2.0,1.0,4.0,3.0,3.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,
14566928,home,AS Monaco,Thilo Kehrer,thilo-kehrer,T. Kehrer,D,5,186.0,1906,M,281277,EUR,843264000,D,5,5,False,34.0,28.0,4.0,1.0,0.0,14.0,15.0,14.0,19.0,4.0,5.0,6.0,2.0,,,,,,,90.0,45.0,7.1,6.0,0.0065997,31.356,9.65445,7.0,7.0895542935679,2.0,4.305,2.94,,1,,0.08,0.01,0.68,,3.08,4.85,1.18,0.4,0.14,,,,,7.0,10.0,3.0,,,,,1.0,1.0,,,,1.0,1.0,2.0,0.126,-0.35,,,,,,,,,,,,,,,
14566928,home,AS Monaco,Mohammed Salisu,mohammed-salisu,M. Salisu,D,22,188.0,5698,M,946158,EUR,924307200,D,22,22,False,29.0,22.0,6.0,1.0,0.0,16.0,19.0,6.0,10.0,3.0,5.0,8.0,1.0,,,,,,,90.0,41.0,8.0,7.0,0.373664,29.196,9.2167,5.0,51.903508387544,6.0,37.17,12.6,,0,,0.61,0.01,0.62,,3.25,4.23,1.24,0.4,0.09,,,,,3.0,3.0,,,,1.0,,1.0,1.0,,1.0,1.0,,,1.0,,,salisu_sarki,1.0,,,,,,,,,,,,,
14566928,home,AS Monaco,Caio Henrique,caio-henrique,C. Henrique,D,12,178.0,3728,M,845170,EUR,870307200,D,12,12,False,28.0,21.0,2.0,,0.0,8.0,8.0,13.0,20.0,1.0,3.0,2.0,5.0,,,,,,,90.0,48.0,7.4,15.0,0.127955,31.644,10.74853,15.0,105.85087945165,11.0,91.14,26.565,,0,,0.39,0.28,0.19,,3.04,4.65,1.8,0.91,0.34,,,5.0,,1.0,1.0,,1.0,1.0,1.0,1.0,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,
14566928,home,AS Monaco,Lamine Camara,camara-lamine,L. Camara,M,15,174.0,20386,M,1389846,EUR,1072915200,M,15,15,False,39.0,33.0,6.0,2.0,0.0,11.0,13.0,22.0,26.0,,8.0,5.0,9.0,,,,,,,90.0,69.0,7.1,16.0,0.237973,30.276,11.03101,11.0,192.9528862141,16.0,23.31,16.905,,1,,0.42,0.16,-0.03,,3.0,5.23,1.84,0.75,0.21,Lamine Camara,,9.0,4.0,1.0,10.0,2.0,2.0,,1.0,,5.0,2.0,1.0,3.0,3.0,1.0,,,0.233,-0.5,lamine_camara_5,,2.0,1.0,3.0,,,,,,,,,,
14566928,home,AS Monaco,Denis Zakaria,denis-zakaria,D. Zakaria,M,6,191.0,3240,M,770677,EUR,848448000,M,6,6,False,35.0,31.0,3.0,2.0,0.0,11.0,14.0,20.0,21.0,3.0,4.0,,2.0,,,,,,,90.0,49.0,6.6,7.0,0.0244047,30.42,10.5972,9.0,108.27501294951,11.0,52.92,31.815,,4,,0.03,0.22,0.28,,3.04,5.23,1.5,0.63,0.19,,,,,,2.0,1.0,1.0,,,1.0,1.0,,1.0,,,2.0,,1.0,0.9018,-0.97,,,,3.0,,True,1.0,0.8421,1.0,,,,,,
14566928,home,AS Monaco,Maghnes Akliouche,maghnes-akliouche,M. Akliouche,M,11,183.0,5956,M,1130939,EUR,1014595200,M,11,11,False,39.0,34.0,5.0,4.0,0.0,9.0,10.0,25.0,29.0,1.0,6.0,1.0,3.0,,,,,,,90.0,63.0,7.4,16.0,0.0878981,32.004,10.62363,12.0,173.59469298252,18.0,102.27,42.21,,4,,0.51,0.26,-0.08,,3.08,4.98,1.69,0.67,0.21,,,,,3.0,10.0,2.0,4.0,2.0,,1.0,2.0,2.0,8.0,2.0,1.0,,2.0,,0.2146,0.14,,,1.0,,2.0,,2.0,0.755,,,,,,,
14566928,home,AS Monaco,Takumi Minamino,takumi-minamino,T. Minamino,M,18,174.0,8843,M,155818,EUR,790214400,M,18,18,False,17.0,10.0,1.0,,0.0,5.0,7.0,5.0,10.0,,3.0,,,,,,,,,75.0,32.0,7.6,13.0,0.717448,30.204,8.98243,13.0,83.542574379587,7.0,48.825,32.865,,3,,0.7,0.14,-0.06,,2.15,4.45,1.46,0.69,0.23,,,2.0,2.0,1.0,4.0,1.0,,,3.0,,2.0,,3.0,1.0,4.0,1.0,,,0.5316,-0.55,Minamino,1.0,2.0,2.0,,,1.0,0.1872,,1.0,,,,,
14566928,home,AS Monaco,Aleksandr Golovin,aleksandr-golovin,A. Golovin,M,10,180.0,8571,M,318963,EUR,833414400,M,10,10,False,25.0,20.0,1.0,1.0,0.0,3.0,3.0,17.0,22.0,,7.0,2.0,5.0,,,,,,,82.0,42.0,7.2,10.0,0.05211,31.716,9.2064,16.0,111.61526779017,11.0,65.73,21.315,,1,,0.19,0.05,-0.02,,2.51,4.14,1.43,0.77,0.35,,,1.0,,1.0,4.0,2.0,1.0,1.0,,,4.0,2.0,2.0,2.0,,,,,0.0268,-0.05,alex_golovin17,,1.0,1.0,,,,,,,,,,,
