match_id,text,homeScore,awayScore,isLive,time,addedTime,timeSeconds,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,id,injury,isHome,incidentClass,length,playerName,reason,rescinded,player_id,player_name,from
14572995,FT,1.0,2.0,False,90,999.0,5400.0,1,0.0,2700.0,period,,,,,,,,,,,
14572995,,,,,90,2.0,,1,,,substitution,124666694.0,False,True,regular,,,,,,,
14572995,,,,,90,0.0,,1,,,injuryTime,,,,,4.0,,,,,,
14572995,,,,,87,,,4,,,substitution,124666670.0,False,False,regular,,,,,,,
14572995,,,,,87,,,4,,,card,123993420.0,,False,yellow,,Kendry Páez,Time wasting,False,1464025.0,Kendry Páez,
14572995,,,,,83,,,8,,,substitution,124666622.0,False,True,regular,,,,,,,
14572995,,,,,70,,,21,,,card,123993367.0,,False,yellow,,Guéla Doué,Foul,False,1002033.0,Guéla Doué,
14572995,,,,,69,,,22,,,substitution,124666476.0,False,False,regular,,,,,,,
14572995,,,,,68,,,23,,,substitution,124666481.0,False,False,regular,,,,,,,
14572995,,1.0,2.0,,64,,,27,,,goal,323679472.0,,True,regular,,,,,1109961.0,Rahim Ibrahim,
14572995,,,,,64,,,27,,,substitution,124666436.0,False,True,regular,,,,,,,
14572995,,,,,64,,,27,,,substitution,124666423.0,False,True,regular,,,,,,,
14572995,,,,,53,,,38,,,card,123993322.0,,True,yellow,,Marko Tolić,Foul,False,784673.0,Marko Tolić,
14572995,,,,,49,,,42,,,card,123993309.0,,False,yellow,,Samuel Amo-Ameyaw,Foul,False,1407484.0,Samuel Amo-Ameyaw,
14572995,,,,,46,,,45,,,substitution,124666304.0,False,False,regular,,,,,,,
14572995,,,,,46,,,45,,,substitution,124666297.0,False,False,regular,,,,,,,
14572995,HT,0.0,2.0,False,45,999.0,2700.0,1,0.0,2700.0,period,,,,,,,,,,,
14572995,,,,,45,0.0,,1,,,injuryTime,,,,,1.0,,,,,,
14572995,,0.0,2.0,,41,,,5,,,goal,323677685.0,,False,regular,,,,,1930811.0,Abdoul Ouattara,
14572995,,0.0,1.0,,26,,,20,,,goal,323677121.0,,False,ownGoal,,,,,1804850.0,Alasana Yirajang,owngoal
