match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_shotOffTarget,stat_totalTackle,stat_unsuccessfulTouch,stat_expectedGoals,stat_keyPass,stat_shotValueNormalized,captain,stat_duelLost,stat_interceptionWon,stat_wonTackle,stat_fouls,stat_totalCross,stat_accurateCross,stat_wasFouled,stat_totalContest,stat_wonContest,stat_aerialLost,stat_challengeLost,stat_dispossessed,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_totalOffside,stat_expectedGoalsOnTarget,player_firstName,player_lastName,stat_goals,stat_ownGoals,stat_blockedScoringAttempt,stat_goodHighClaim,stat_clearanceOffLine,stat_outfielderBlock,stat_errorLeadToAShot,player_sofascoreId,stat_bigChanceCreated
14572995,home,ŠK Slovan Bratislava,Dominik Takáč,dominik-takac,D. Takáč,G,71,195.0,239,M,886365,EUR,916099200,G,71,71,False,33.0,27.0,12.0,6.0,0.0,24.0,27.0,3.0,6.0,1.0,1.0,1.0,8.0,3.0,3.0,1.0,90.0,38.0,6.5,6.0,0.00168102,0.1412,0,-0.4693,0.09,0.02,-0.18,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14572995,home,ŠK Slovan Bratislava,Kenan Bajrić,kenan-bajric,K. Bajrić,D,12,190.0,155,M,230932,EUR,787881600,D,12,12,False,94.0,89.0,6.0,5.0,0.0,56.0,57.0,33.0,37.0,2.0,3.0,1.0,5.0,,,,90.0,104.0,6.7,7.0,0.0428737,,1,,0.38,0.08,-0.32,,1.0,1.0,1.0,0.0395,2.0,-0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14572995,home,ŠK Slovan Bratislava,Guram Kashia,guram-kashia,G. Kashia,D,4,185.0,888,M,43136,EUR,552355200,D,4,4,False,88.0,80.0,5.0,4.0,0.0,55.0,60.0,25.0,28.0,,1.0,2.0,1.0,,,,83.0,96.0,6.3,9.0,0.00704895,,1,,0.03,0.0,-0.27,,1.0,1.0,,0.1007,,-0.23,True,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
14572995,home,ŠK Slovan Bratislava,Sandro Cruz,cruz-sandro,S. Cruz,D,57,182.0,281,M,982146,EUR,989625600,D,57,57,False,54.0,49.0,5.0,2.0,0.0,36.0,38.0,14.0,18.0,1.0,8.0,2.0,6.0,,,,89.0,76.0,6.7,9.0,0.128475,,0,,0.17,0.03,-0.33,,,5.0,2.0,,1.0,,,,1.0,2.0,,2.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,
14572995,home,ŠK Slovan Bratislava,César Blackman,cesar-blackman,C. Blackman,D,28,174.0,601,M,841793,EUR,891475200,M,28,28,False,54.0,47.0,1.0,1.0,0.0,16.0,17.0,33.0,43.0,,3.0,1.0,3.0,,,,90.0,76.0,6.7,15.0,0.178246,,1,,0.26,0.28,-0.07,,1.0,,1.0,0.0441,3.0,-0.39,,4.0,,,1.0,6.0,2.0,1.0,5.0,2.0,,,,,,,,,,,,,,,,,,
14572995,home,ŠK Slovan Bratislava,Tigran Barseghyan,tigran-barseghyan,T. Barseghyan,M,11,179.0,950,M,95494,EUR,748656000,M,11,11,False,41.0,32.0,6.0,2.0,1.0,4.0,4.0,32.0,45.0,,4.0,,2.0,,,,90.0,66.0,7.3,18.0,0.421721,,2,,0.58,0.31,-0.19,,1.0,,2.0,0.4812,6.0,-0.03,,6.0,,,,8.0,4.0,1.0,3.0,3.0,1.0,2.0,3.0,1.0,1.0,1.0,0.2693,,,,,,,,,,,
14572995,home,ŠK Slovan Bratislava,Rahim Ibrahim,ibrahim-rahim,R. Ibrahim,M,5,186.0,215,M,1109961,EUR,992131200,M,5,5,False,41.0,38.0,2.0,2.0,0.0,16.0,17.0,23.0,26.0,2.0,4.0,1.0,5.0,,,,90.0,54.0,7.6,8.0,0.0951314,,1,,0.28,0.1,-0.18,,,,,0.0823,2.0,0.53,,12.0,,,1.0,2.0,1.0,1.0,3.0,1.0,5.0,2.0,2.0,,1.0,1.0,0.8644,,,1.0,,,,,,,,
14572995,home,ŠK Slovan Bratislava,Kyriakos Savvidis,kyriakos-savvidis,K. Savvidis,M,88,181.0,101,M,551338,EUR,803606400,M,88,88,False,43.0,39.0,2.0,2.0,0.0,18.0,20.0,21.0,23.0,2.0,6.0,,1.0,,,,64.0,51.0,7.1,4.0,0.0115362,,0,,0.03,0.05,-0.09,,,3.0,,,,,,,1.0,2.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,
14572995,home,ŠK Slovan Bratislava,Alasana Yirajang,yirajang-alasana,A. Yirajang,F,14,184.0,217,M,1804850,EUR,1100217600,M,14,14,False,20.0,16.0,3.0,1.0,0.0,4.0,4.0,12.0,17.0,,3.0,,3.0,,,,64.0,32.0,5.8,10.0,0.0379226,,0,,-0.23,0.33,-0.65,,,1.0,3.0,,,,,5.0,,,2.0,1.0,,,3.0,2.0,1.0,,1.0,,,,,,,,1.0,,,,,,,
14572995,home,ŠK Slovan Bratislava,Marko Tolić,marko-tolic,M. Tolić,M,10,187.0,714,M,784673,EUR,836524800,F,10,10,False,68.0,61.0,9.0,7.0,0.0,25.0,27.0,37.0,44.0,,5.0,,3.0,,,,90.0,91.0,7.2,16.0,0.154724,,3,,0.44,0.34,0.13,,1.0,2.0,5.0,0.1861,2.0,-0.33,,6.0,,1.0,3.0,3.0,1.0,3.0,2.0,,1.0,,,,,,,,,,,2.0,,,,,,
